,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,123225,208000.0,,195661.2,,193011.0,120161.0,,222611.2,99023.0,84775.0,,72436.2,,69786.0,-3064.0,,99386.2,-24202.0,,True,,True,True,,False,True
Alaska,10462,18576.0,,12031.5,,,26098.1,,9874.9,7416.0,8114.0,,1569.5,,,15636.1,,-587.1,-3046.0,,True,,,False,,True,True
Arizona,276557,368872.0,,299481.9,,313983.0,392797.1,,299864.1,204239.0,92315.0,,22924.9,,37426.0,116240.1,,23307.1,-72318.0,,True,,True,False,,True,True
Arkansas,87753,139784.0,,121651.3,,136060.0,151834.2,,127277.3,58886.0,52031.0,,33898.3,,48307.0,64081.2,,39524.3,-28867.0,,True,,True,False,,True,True
California,1148332,2143576.0,,2415330.9,,1754363.0,1378994.4,,2000857.9,1103022.0,995244.0,,1266998.9,,606031.0,230662.4,,852525.9,-45310.0,,False,,True,True,,True,True
Colorado,88290,124424.0,,117987.2,,95489.0,62933.9,,99439.4,54758.0,36134.0,,29697.2,,7199.0,-25356.1,,11149.4,-33532.0,,True,,True,True,,True,True
Connecticut,89826,139016.0,,105141.6,,96997.0,222952.2,,152377.6,33403.0,49190.0,,15315.6,,7171.0,133126.2,,62551.6,-56423.0,,True,,True,False,,False,False
Delaware,27644,35200.0,,34961.8,,31238.0,27151.4,,11273.0,17695.0,7556.0,,7317.8,,3594.0,-492.6,,-16371.0,-9949.0,,True,,True,True,,False,False
District of Columbia,10969,14392.0,,14449.9,,11724.0,21433.8,,10231.5,6087.0,3423.0,,3480.9,,755.0,10464.8,,-737.5,-4882.0,,False,,True,False,,True,False
Florida,548849,721960.0,,720126.0,,457055.0,682567.4,,608159.8,352094.0,173111.0,,171277.0,,-91794.0,133718.4,,59310.8,-196755.0,,True,,True,True,,True,False
Georgia,319065,450672.0,,491983.7,,404495.0,334448.1,,394954.0,216935.0,131607.0,,172918.7,,85430.0,15383.1,,75889.0,-102130.0,,False,,True,True,,True,True
Hawaii,5524,7400.0,,7068.9,,,8506.8,,4222.6,3122.0,1876.0,,1544.9,,,2982.8,,-1301.4,-2402.0,,True,,,False,,True,False
Idaho,28941,51296.0,,46087.4,,45413.0,19605.1,,32120.1,21858.0,22355.0,,17146.4,,16472.0,-9335.9,,3179.1,-7083.0,,True,,True,True,,True,True
Illinois,210015,329680.0,,270560.9,,259244.0,185717.0,,226711.7,132619.0,119665.0,,60545.9,,49229.0,-24298.0,,16696.7,-77396.0,,True,,True,True,,True,True
Indiana,137852,248552.0,,239461.8,,214041.0,135390.0,,255761.2,109042.0,110700.0,,101609.8,,76189.0,-2462.0,,117909.2,-28810.0,,True,,True,True,,False,True
Iowa,52387,72816.0,,70596.9,,69550.0,37454.0,,22831.4,26386.0,20429.0,,18209.9,,17163.0,-14933.0,,-29555.6,-26001.0,,True,,True,True,,False,False
