,mean_rank
LNQ-ens1,7.7
Microsoft-DeepSTIA,8.2
Karlen-pypm,9.1
IEM_MED-CovidProject,9.2
RobertWalraven-ESG,9.6
BPagano-RtDriven,10.7
COVIDhub-ensemble,10.8
LANL-GrowthRate,11.0
USC-SI_kJalpha,11.9
JHU_IDD-CovidSP,12.6
Google_Harvard-CPF,13.1
JHU_UNC_GAS-StatMechPool,13.4
JHUAPL-Bucky,14.7
MIT_ISOLAT-Mixtures,14.8
CovidAnalytics-DELPHI,14.9
COVIDhub-trained_ensemble,16.4
OliverWyman-Navigator,16.7
Covid19Sim-Simulator,16.8
MOBS-GLEAM_COVID,16.8
JHU_CSSE-DECOM,17.0
UCLA-SuEIR,17.5
CU-select,17.7
IowaStateLW-STEM,19.2
CEID-Walk,19.5
COVIDhub-baseline,20.0
TTU-squider,20.5
UMich-RidgeTfReg,21.6
OneQuietNight-ML,21.7
DDS-NBDS,21.9
