,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,72002,129186.0,106901.0,,135285.6,86270.0,,140264.0,104142.2,96010.9,78606.5,,112259.6,88490.0,57184.0,34899.0,,63283.6,14268.0,,68262.0,32140.2,24008.9,6604.5,,40257.6,16488.0,True,,False,True,,False,True,True,True,,True,True
Alaska,6610,10170.0,3994.0,,9893.6,36270.0,,,12107.7,6994.1,8969.0,,7617.4,6207.0,3560.0,-2616.0,,3283.6,29660.0,,,5497.7,384.1,2359.0,,1007.4,-403.0,True,,True,False,,,False,True,True,,True,True
Arizona,148806,357336.0,515161.0,,367942.3,232051.0,,321193.0,294829.1,236803.7,302638.0,,247899.1,252911.0,208530.0,366355.0,,219136.3,83245.0,,172387.0,146023.1,87997.7,153832.0,,99093.1,104105.0,False,,False,True,,True,True,True,True,,True,True
Arkansas,49017,110592.0,77653.0,,110088.9,61965.0,,124917.0,63805.4,65296.4,89769.0,,78033.5,67987.0,61575.0,28636.0,,61071.9,12948.0,,75900.0,14788.4,16279.4,40752.0,,29016.5,18970.0,True,,True,True,,False,True,True,True,,True,True
California,580429,1707606.0,2252715.0,,1569091.5,459313.0,,1602948.0,1005493.3,1093035.3,1478693.0,,1461217.3,1103953.0,1127177.0,1672286.0,,988662.5,-121116.0,,1022519.0,425064.3,512606.3,898264.0,,880788.3,523524.0,False,,True,True,,True,True,True,True,,True,True
Colorado,53979,87216.0,69561.0,,88981.6,12186.0,,83002.0,59522.4,84704.9,73913.0,,53164.2,55800.0,33237.0,15582.0,,35002.6,-41793.0,,29023.0,5543.4,30725.9,19934.0,,-814.8,1821.0,True,,False,False,,True,True,True,True,,True,True
Connecticut,56524,104568.0,134494.0,,108942.6,249310.0,,106527.0,95949.7,84004.5,100272.5,,52425.8,45249.0,48044.0,77970.0,,52418.6,192786.0,,50003.0,39425.7,27480.5,43748.5,,-4098.2,-11275.0,False,,False,False,,False,True,True,True,,True,True
Delaware,17145,29382.0,21003.0,,29765.1,9536.0,,30101.0,21587.6,19945.3,30245.5,,19098.7,18575.0,12237.0,3858.0,,12620.1,-7609.0,,12956.0,4442.6,2800.3,13100.5,,1953.7,1430.0,True,,False,True,,False,True,True,False,,True,True
District of Columbia,6941,12480.0,12417.0,,12113.8,30461.0,,11983.0,38777.0,13576.5,13989.5,,13347.8,8392.0,5539.0,5476.0,,5172.8,23520.0,,5042.0,31836.0,6635.5,7048.5,,6406.8,1451.0,True,,True,False,,True,False,False,False,,False,True
Florida,343496,572934.0,502757.0,,612309.6,3173141.0,,553837.0,574833.3,504228.2,554457.5,,427778.4,388460.0,229438.0,159261.0,,268813.6,2829645.0,,210341.0,231337.3,160732.2,210961.5,,84282.4,44964.0,True,,False,False,,True,False,True,True,,True,True
Georgia,194524,364866.0,279837.0,,409351.4,395041.0,,381376.0,248952.2,240700.9,374468.5,,345829.8,263448.0,170342.0,85313.0,,214827.4,200517.0,,186852.0,54428.2,46176.9,179944.5,,151305.8,68924.0,True,,False,False,,False,True,True,False,,True,True
Hawaii,3231,6396.0,3339.0,,7678.2,22520.0,,,12555.2,16924.9,6433.5,,5112.4,4931.0,3165.0,108.0,,4447.2,19289.0,,,9324.2,13693.9,3202.5,,1881.4,1700.0,True,,False,False,,,False,False,False,,True,True
Idaho,15864,36246.0,36021.0,,32951.8,10292.0,,37017.0,17907.9,27173.3,29960.0,,21785.1,20913.0,20382.0,20157.0,,17087.8,-5572.0,,21153.0,2043.9,11309.3,14096.0,,5921.1,5049.0,True,,True,True,,False,True,True,True,,True,True
Illinois,120700,243768.0,249892.0,,214391.3,19585.0,,233450.0,188207.1,181281.3,220593.0,,146730.6,144349.0,123068.0,129192.0,,93691.3,-101115.0,,112750.0,67507.1,60581.3,99893.0,,26030.6,23649.0,False,,True,True,,True,True,True,True,,True,True
Indiana,73893,170934.0,125127.0,,162000.1,70006.0,,179378.0,105735.2,116714.0,137914.5,,83964.3,106115.0,97041.0,51234.0,,88107.1,-3887.0,,105485.0,31842.2,42821.0,64021.5,,10071.3,32222.0,True,,True,True,,False,True,True,True,,True,True
Iowa,31534,51462.0,34606.0,,52530.7,372573.0,,55911.0,24308.9,44096.1,34738.0,,34633.2,29454.0,19928.0,3072.0,,20996.7,341039.0,,24377.0,-7225.1,12562.1,3204.0,,3099.2,-2080.0,True,,False,False,,False,True,True,True,,True,True
Kansas,37643,82626.0,62901.0,,79096.9,81439.0,,88147.0,50148.4,55276.3,17764.5,,80778.1,45444.0,44983.0,25258.0,,41453.9,43796.0,,50504.0,12505.4,17633.3,-19878.5,,43135.1,7801.0,True,,True,True,,False,True,True,True,,True,True
Kentucky,79623,143562.0,111542.0,,164881.2,55832.0,,146076.0,288824.2,96511.8,99047.5,,75938.4,100252.0,63939.0,31919.0,,85258.2,-23791.0,,66453.0,209201.2,16888.8,19424.5,,-3684.6,20629.0,True,,False,True,,False,False,True,True,,True,True
Louisiana,63739,140532.0,138878.0,,144192.6,70013.0,,145918.0,122280.5,99292.1,110108.5,,94332.0,84256.0,76793.0,75139.0,,80453.6,6274.0,,82179.0,58541.5,35553.1,46369.5,,30593.0,20517.0,True,,False,True,,False,True,True,True,,True,True
Maine,11274,25200.0,30613.0,,24528.2,11062.0,,23293.0,14079.9,27780.7,26957.0,,20951.1,20768.0,13926.0,19339.0,,13254.2,-212.0,,12019.0,2805.9,16506.7,15683.0,,9677.1,9494.0,False,,True,True,,True,True,False,False,,True,True
