,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,37101,64560.0,56369.5,58604.1,59506.0,57169.0,60624.0,,67497.3,39665.0,78578.5,,78050.2,,55707.3,71709.0,68104.9,74851.0,48024.0,62893.5,37228.5,82693.5,55950.9,48576.0,62878.0,56299.4,54316.0,,48038.3,64560.0,61605.3,,63362.8,54917.5,74904.0,58751.3,,27459.0,19268.5,21503.1,22405.0,20068.0,23523.0,,30396.3,2564.0,41477.5,,40949.2,,18606.3,34608.0,31003.9,37750.0,10923.0,25792.5,127.5,45592.5,18849.9,11475.0,25777.0,19198.4,17215.0,,10937.3,27459.0,24504.3,,26261.8,17816.5,37803.0,21650.3,,True,True,True,True,True,,False,True,False,,False,,True,False,False,False,True,True,True,False,True,True,True,True,True,,True,False,True,,True,True,False,True,
Alaska,4047,4264.0,4673.6,4136.3,3379.0,5510.0,2164.0,,4204.0,5367.0,3458.8,,5036.6,,2674.8,,6084.6,4214.0,3665.0,2726.0,3122.2,2668.0,2912.6,1201.8,8766.7,4027.0,6815.0,,2672.8,3540.0,2424.0,,3916.8,3411.9,3716.0,2913.0,,217.0,626.6,89.3,-668.0,1463.0,-1883.0,,157.0,1320.0,-588.2,,989.6,,-1372.2,,2037.6,167.0,-382.0,-1321.0,-924.8,-1379.0,-1134.4,-2845.2,4719.7,-20.0,2768.0,,-1374.2,-507.0,-1623.0,,-130.2,-635.1,-331.0,-1134.0,,False,True,False,False,False,,True,False,False,,False,,False,,False,True,False,False,False,False,False,False,False,True,False,,False,False,False,,True,False,False,False,
Arizona,62328,152088.0,127994.4,152985.4,123592.0,114424.0,159121.0,,151544.1,131759.0,173823.5,,158481.3,,107157.4,153840.0,89450.7,140094.0,105986.8,121280.5,105699.4,91406.5,89573.5,47248.7,100871.1,124412.6,96020.0,,89176.4,134698.0,119505.8,,138374.3,164020.7,115928.0,141749.9,,89760.0,65666.4,90657.4,61264.0,52096.0,96793.0,,89216.1,69431.0,111495.5,,96153.3,,44829.4,91512.0,27122.7,77766.0,43658.8,58952.5,43371.4,29078.5,27245.5,-15079.3,38543.1,62084.6,33692.0,,26848.4,72370.0,57177.8,,76046.3,101692.7,53600.0,79421.9,,True,False,True,True,False,,True,True,False,,False,,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,
Arkansas,24808,45568.0,35118.6,45719.0,36276.0,41880.0,34971.0,,42917.3,37820.0,47182.9,,36896.2,,29042.5,48245.0,17775.4,47505.0,31265.4,33791.5,30540.1,28673.5,27502.3,24593.5,25516.3,43341.4,43476.0,,26331.6,50587.0,25396.6,,39382.5,60196.6,33924.0,46135.5,,20760.0,10310.6,20911.0,11468.0,17072.0,10163.0,,18109.3,13012.0,22374.9,,12088.2,,4234.5,23437.0,-7032.6,22697.0,6457.4,8983.5,5732.1,3865.5,2694.3,-214.5,708.3,18533.4,18668.0,,1523.6,25779.0,588.6,,14574.5,35388.6,9116.0,21327.5,,True,False,True,True,True,,True,True,False,,True,,True,False,True,False,True,True,True,True,True,True,True,True,True,,True,False,True,,True,False,True,False,
California,252629,571684.0,563594.9,591578.4,372816.0,368446.0,563479.0,,452918.1,183807.0,621381.9,,426388.8,,308967.2,405355.0,377014.8,508756.0,461892.3,216922.0,233893.9,301161.0,348222.3,103344.3,571140.4,424995.4,264959.0,,288746.4,411542.0,663586.5,,577855.2,337144.5,359872.0,411740.1,,319055.0,310965.9,338949.4,120187.0,115817.0,310850.0,,200289.1,-68822.0,368752.9,,173759.8,,56338.2,152726.0,124385.8,256127.0,209263.3,-35707.0,-18735.1,48532.0,95593.3,-149284.7,318511.4,172366.4,12330.0,,36117.4,158913.0,410957.5,,325226.2,84515.5,107243.0,159111.1,,True,False,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,False,True,True,True,
Colorado,32443,40212.0,20669.1,45002.0,28767.0,42640.0,47301.0,,34046.6,35879.0,32758.6,,43641.5,,27140.2,34435.0,12791.4,38761.0,41544.8,30233.5,28063.6,27633.5,27380.4,16845.3,23346.9,31152.9,53072.0,,18108.5,5020.0,11824.1,,35207.5,11595.9,29854.0,22491.6,,7769.0,-11773.9,12559.0,-3676.0,10197.0,14858.0,,1603.6,3436.0,315.6,,11198.5,,-5302.8,1992.0,-19651.6,6318.0,9101.8,-2209.5,-4379.4,-4809.5,-5062.6,-15597.7,-9096.1,-1290.1,20629.0,,-14334.5,-27423.0,-20618.9,,2764.5,-20847.1,-2589.0,-9951.4,,False,False,True,False,False,,True,True,True,,False,,True,True,False,True,False,True,True,True,True,False,False,True,False,,False,False,False,,True,False,True,False,
Connecticut,29923,48832.0,38805.0,49587.9,46629.0,45839.0,53852.0,,46833.8,50741.0,3097452.1,,63778.8,,31744.8,47578.0,20812.4,50856.0,36958.2,47653.0,46742.5,38106.0,35830.0,13374.9,42562.8,49372.4,46443.0,,33746.2,48832.0,30356.7,,61402.0,58625.1,30048.0,50863.4,,18909.0,8882.0,19664.9,16706.0,15916.0,23929.0,,16910.8,20818.0,3067529.1,,33855.8,,1821.8,17655.0,-9110.6,20933.0,7035.2,17730.0,16819.5,8183.0,5907.0,-16548.1,12639.8,19449.4,16520.0,,3823.2,18909.0,433.7,,31479.0,28702.1,125.0,20940.4,,True,False,True,True,False,,True,False,False,,False,,True,True,True,False,True,True,True,True,True,True,True,False,True,,True,False,True,,False,False,True,False,
Delaware,8966,14544.0,13687.4,14068.6,12262.0,11510.0,12529.0,,14295.6,9304.0,15480.3,,11529.0,,10583.6,13361.0,7165.5,13177.0,9897.4,12080.5,8845.7,10861.5,10323.0,16522.9,12349.5,13723.4,9870.0,,9169.1,14397.0,13601.8,,14417.1,12262.6,11622.0,13024.1,,5578.0,4721.4,5102.6,3296.0,2544.0,3563.0,,5329.6,338.0,6514.3,,2563.0,,1617.6,4395.0,-1800.5,4211.0,931.4,3114.5,-120.3,1895.5,1357.0,7556.9,3383.5,4757.4,904.0,,203.1,5431.0,4635.8,,5451.1,3296.6,2656.0,4058.1,,True,True,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,True,True,True,True,
District of Columbia,3816,6340.0,5438.0,6454.0,5435.0,4345.0,11805.0,,5774.1,7936.0,5707.7,,2860.8,,5242.7,5694.0,4680.6,6413.0,4384.4,5006.5,5448.1,4907.0,4826.1,,,,3267.0,,5278.4,6340.0,5995.4,,6643.0,,5113.0,4783.7,,2524.0,1622.0,2638.0,1619.0,529.0,7989.0,,1958.1,4120.0,1891.7,,-955.2,,1426.7,1878.0,864.6,2597.0,568.4,1190.5,1632.1,1091.0,1010.1,,,,-549.0,,1462.4,2524.0,2179.4,,2827.0,,1297.0,967.7,,True,False,True,True,False,,True,False,True,,True,,True,True,True,False,True,True,True,True,True,,,,True,,True,False,True,,False,,True,True,
Florida,190093,294700.0,256390.4,300593.1,254157.0,277815.0,370613.0,,276581.9,386401.0,421683.6,,228786.2,,245570.4,241775.0,184603.4,287806.0,242085.1,210998.5,205741.3,228206.0,210019.3,251130.5,245532.7,265399.0,276918.0,,199359.8,282879.0,202889.5,,254328.5,307465.6,245674.0,230297.8,,104607.0,66297.4,110500.1,64064.0,87722.0,180520.0,,86488.9,196308.0,231590.6,,38693.2,,55477.4,51682.0,-5489.6,97713.0,51992.1,20905.5,15648.3,38113.0,19926.3,61037.5,55439.7,75306.0,86825.0,,9266.8,92786.0,12796.5,,64235.5,117372.6,55581.0,40204.8,,True,False,True,True,False,,True,False,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,
