,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,485,396.1,377.0,420.3,463.0,401.0,309.0,314.0,,353.1,395.1,516.0,400.9,380.3,-88.9,-108.0,-64.7,-22.0,-84.0,-176.0,-171.0,,-131.9,-89.9,31.0,-84.1,-104.7,False,True,True,True,False,False,,False,False,True,True,False
Alaska,10,9.0,10.0,14.5,15.0,11.0,,,,10.0,15.3,15.0,17.3,17.7,-1.0,-0.0,4.5,5.0,1.0,,,,-0.0,5.3,5.0,7.3,7.7,True,False,False,False,,,,True,False,False,False,False
Arizona,679,535.0,552.1,561.8,674.0,498.0,564.2,536.0,,514.2,434.9,665.0,501.9,525.2,-144.0,-126.9,-117.2,-5.0,-181.0,-114.8,-143.0,,-164.8,-244.1,-14.0,-177.1,-153.8,True,True,True,False,True,True,,False,False,True,False,False
Arkansas,98,85.3,78.0,124.8,99.0,141.0,117.7,124.0,,76.9,98.1,209.0,86.4,88.5,-12.7,-20.0,26.8,1.0,43.0,19.7,26.0,,-21.1,0.1,111.0,-11.6,-9.5,False,False,True,False,False,False,,False,True,False,True,True
California,3208,3290.7,3335.9,3381.6,4345.0,3096.0,2035.2,3203.0,,3129.1,2211.9,4379.0,2729.0,3102.0,82.7,127.9,173.6,1137.0,-112.0,-1172.8,-5.0,,-78.9,-996.1,1171.0,-479.0,-106.0,False,False,False,False,False,True,,True,False,False,False,False
Colorado,1192,1453.7,1569.0,1370.3,1131.0,1254.0,1039.2,1184.0,,1617.7,957.2,1834.0,1166.1,1231.1,261.7,377.0,178.3,-61.0,62.0,-152.8,-8.0,,425.7,-234.8,642.0,-25.9,39.1,False,True,True,True,True,True,,False,True,False,True,True
Connecticut,3339,4201.1,4201.6,3755.0,3627.0,4493.0,3213.0,2952.0,,2964.9,2231.7,5209.0,3003.7,3489.9,862.1,862.6,416.0,288.0,1154.0,-126.0,-387.0,,-374.1,-1107.3,1870.0,-335.3,150.9,False,True,True,False,True,True,,True,False,False,True,True
Delaware,286,271.4,246.9,307.8,456.0,307.0,156.6,349.0,,197.1,152.7,387.0,244.1,239.2,-14.6,-39.1,21.8,170.0,21.0,-129.4,63.0,,-88.9,-133.3,101.0,-41.9,-46.8,False,False,False,False,False,False,,False,False,False,False,False
District of Columbia,375,412.3,387.1,391.5,,372.0,254.5,381.0,,347.9,,467.0,438.9,335.7,37.3,12.1,16.5,,-3.0,-120.5,6.0,,-27.1,,92.0,63.9,-39.3,True,True,,True,False,True,,True,,False,False,False
Florida,1964,1935.0,1976.0,1772.4,1848.0,1841.0,1741.1,1961.0,,1633.1,2010.2,2062.0,1501.1,1776.9,-29.0,12.0,-191.6,-116.0,-123.0,-222.9,-3.0,,-330.9,46.2,98.0,-462.9,-187.1,True,False,False,False,False,True,,False,False,False,False,False
Georgia,1598,1570.3,1609.0,1468.2,1358.0,1285.0,1894.5,1366.0,,1340.2,1723.3,2200.0,1180.7,1441.3,-27.7,11.0,-129.8,-240.0,-313.0,296.5,-232.0,,-257.8,125.3,602.0,-417.3,-156.7,True,False,False,False,False,False,,False,False,False,False,False
Hawaii,17,25.4,25.0,20.6,13.0,19.0,22.7,,,16.1,22.7,22.0,27.0,27.3,8.4,8.0,3.6,-4.0,2.0,5.7,,,-0.9,5.7,5.0,10.0,10.3,True,True,True,True,True,,,True,True,True,False,False
Idaho,73,90.3,95.1,88.9,76.0,84.0,66.0,100.0,,67.1,87.5,100.0,114.1,93.9,17.3,22.1,15.9,3.0,11.0,-7.0,27.0,,-5.9,14.5,27.0,41.1,20.9,False,True,True,True,True,False,,True,True,False,False,False
Illinois,4129,3770.1,3723.6,4128.7,4174.0,4549.0,2292.1,3732.0,,3936.0,2586.9,5698.0,2973.1,3442.5,-358.9,-405.4,-0.3,45.0,420.0,-1836.9,-397.0,,-193.0,-1542.1,1569.0,-1155.9,-686.5,False,True,True,False,False,False,,True,False,False,False,False
Indiana,1741,1530.1,1508.9,1458.3,1111.0,1583.0,1017.6,1293.0,,1514.5,1128.3,1706.0,1349.1,1368.7,-210.9,-232.1,-282.7,-630.0,-158.0,-723.4,-448.0,,-226.5,-612.7,-35.0,-391.9,-372.3,False,False,False,True,False,False,,False,False,True,False,False
Iowa,346,240.9,226.0,533.6,803.0,486.0,264.4,323.0,,380.4,171.7,970.0,220.9,255.5,-105.1,-120.0,187.6,457.0,140.0,-81.6,-23.0,,34.4,-174.3,624.0,-125.1,-90.5,False,False,False,False,True,True,,True,False,False,False,True
Kansas,195,201.0,225.0,296.2,176.0,331.0,264.8,250.0,,213.0,203.2,611.0,184.7,212.8,6.0,30.0,101.2,-19.0,136.0,69.8,55.0,,18.0,8.2,416.0,-10.3,17.8,False,False,False,False,False,False,,False,False,False,False,False
Kentucky,334,385.1,388.0,411.9,241.0,412.0,450.0,309.0,,350.0,316.7,733.0,379.1,357.9,51.1,54.0,77.9,-93.0,78.0,116.0,-25.0,,16.0,-17.3,399.0,45.1,23.9,False,False,False,False,False,True,,True,True,False,True,True
Louisiana,2479,2966.1,3026.9,2243.5,2090.0,2119.0,2030.0,2817.0,,1919.7,2214.2,2371.0,2148.6,2768.0,487.1,547.9,-235.5,-389.0,-360.0,-449.0,338.0,,-559.3,-264.8,-108.0,-330.4,289.0,False,True,True,True,True,True,,False,True,True,True,True
Maine,70,95.7,92.0,82.9,57.0,79.0,66.5,67.0,,60.5,72.6,98.0,113.6,96.6,25.7,22.0,12.9,-13.0,9.0,-3.5,-3.0,,-9.5,2.6,28.0,43.6,26.6,True,True,True,True,True,True,,True,True,False,False,False
Maryland,1957,2192.9,2236.9,2171.6,2611.0,2019.0,1196.0,1633.0,,2200.5,1187.5,3006.0,1424.1,1848.9,235.9,279.9,214.6,654.0,62.0,-761.0,-324.0,,243.5,-769.5,1049.0,-532.9,-108.1,False,True,False,True,False,False,,False,False,False,False,True
Massachusetts,5705,6307.6,6707.5,6840.3,8061.0,6783.0,5273.2,5364.0,,7266.5,3350.9,9219.0,4921.9,6144.8,602.6,1002.5,1135.3,2356.0,1078.0,-431.8,-341.0,,1561.5,-2354.1,3514.0,-783.1,439.8,False,False,False,False,True,True,,False,False,False,False,True
Michigan,5114,5955.0,5696.3,4916.5,4530.0,5351.0,3817.8,4756.0,,4290.1,4538.9,5514.0,4541.6,5357.7,1031.0,772.3,-7.5,-394.0,427.0,-1106.2,-168.0,,-633.9,-385.1,590.0,-382.4,433.7,True,True,True,True,False,True,,True,True,True,True,True
Minnesota,709,666.3,613.0,601.7,293.0,598.0,677.5,403.0,,661.6,334.4,854.0,759.4,579.3,-42.7,-96.0,-107.3,-416.0,-111.0,-31.5,-306.0,,-47.4,-374.6,145.0,50.4,-129.7,False,False,False,False,True,False,,False,False,False,False,False
Mississippi,510,421.3,428.0,420.8,251.0,520.0,372.7,290.0,,303.6,395.3,676.0,387.3,390.2,-88.7,-82.0,-89.2,-259.0,10.0,-137.3,-220.0,,-206.4,-114.7,166.0,-122.7,-119.8,True,False,False,True,False,False,,False,False,False,False,False
Missouri,691,523.0,533.0,499.8,592.0,508.0,564.5,486.0,,373.9,558.6,577.0,468.3,483.6,-77.0,-67.0,-100.2,-8.0,-92.0,-35.5,-114.0,,-226.1,-41.4,-23.0,-131.7,-116.4,True,False,True,False,True,False,,False,True,True,False,False
Montana,16,25.4,26.0,20.9,15.0,12.0,26.8,19.0,,14.8,23.4,21.0,35.9,29.0,9.4,10.0,4.9,-1.0,-4.0,10.8,3.0,,-1.2,7.4,5.0,19.9,13.0,False,True,True,True,False,True,,True,True,True,False,False
Nebraska,123,136.0,128.0,213.5,15.0,265.0,211.8,186.0,,205.7,79.3,511.0,136.6,106.6,13.0,5.0,90.5,-108.0,142.0,88.8,63.0,,82.7,-43.7,388.0,13.6,-16.4,True,False,False,False,False,False,,False,False,False,False,False
Nevada,347,343.1,367.0,342.1,362.0,370.0,259.2,469.0,,329.6,324.0,374.0,280.6,335.2,-3.9,20.0,-4.9,15.0,23.0,-87.8,122.0,,-17.4,-23.0,27.0,-66.4,-11.8,False,False,False,False,False,False,,False,False,False,False,False
New Hampshire,171,122.9,98.0,127.9,186.0,127.0,71.6,116.0,,99.6,82.5,148.0,109.4,109.0,-48.1,-73.0,-43.1,15.0,-44.0,-99.4,-55.0,,-71.4,-88.5,-23.0,-61.6,-62.0,False,True,True,True,False,False,,False,False,True,False,False
New Jersey,12013,10440.9,11446.2,10068.3,11896.0,10910.0,7047.2,10454.0,,9475.0,,12632.0,7385.3,9685.3,-180.1,825.2,-552.7,1275.0,289.0,-3573.8,-167.0,,-1146.0,,2011.0,-3235.7,-935.7,False,False,False,False,False,True,,False,,False,False,False
New Mexico,259,224.7,213.0,259.7,319.0,222.0,199.7,176.0,,210.9,134.5,310.0,294.1,202.6,-34.3,-46.0,0.7,60.0,-37.0,-59.3,-83.0,,-48.1,-124.5,51.0,35.1,-56.4,False,True,False,False,False,False,,False,False,False,False,False
New York,28845,32803.3,31755.9,26827.8,26573.0,29131.0,24073.7,27310.0,,31289.3,26362.1,34858.0,19261.9,30021.0,4599.3,3551.9,-1376.2,-1631.0,927.0,-4130.3,-894.0,,3085.3,-1841.9,6654.0,-8942.1,1817.0,True,True,True,True,True,True,,True,True,False,False,True
North Carolina,676,678.3,659.1,651.4,423.0,649.0,375.4,489.0,,658.8,451.5,975.0,718.6,635.3,2.3,-16.9,-24.6,-253.0,-27.0,-300.6,-187.0,,-17.2,-224.5,299.0,42.6,-40.7,False,False,False,False,False,False,,False,False,False,False,False
North Dakota,42,39.9,37.0,37.9,12.0,52.0,113.3,40.0,,27.4,27.5,67.0,39.3,30.4,-2.1,-5.0,-4.1,-30.0,10.0,71.3,-2.0,,-14.6,-14.5,25.0,-2.7,-11.6,False,False,False,False,False,True,,False,False,False,False,False
Ohio,1610,1462.3,1491.3,1733.9,1507.0,2033.0,835.5,1279.0,,1025.8,1012.4,2838.0,1244.9,1336.3,-147.7,-118.7,123.9,-103.0,423.0,-774.5,-331.0,,-584.2,-597.6,1228.0,-365.1,-273.7,True,True,True,False,False,False,,False,False,False,False,False
Oklahoma,288,352.1,368.0,316.7,249.0,333.0,,289.0,,282.6,372.8,358.0,295.6,332.0,64.1,80.0,28.7,-39.0,45.0,,1.0,,-5.4,84.8,70.0,7.6,44.0,False,True,True,True,,True,,True,False,False,True,True
