,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,GT-DeepCOVID,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,Quantori-Multiagents,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_40,UChicago-CovidIL_60,UChicago-CovidIL_80,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-Quantori-Multiagents,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_40,error-UChicago-CovidIL_60,error-UChicago-CovidIL_80,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-Quantori-Multiagents,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_40,beat_baseline-UChicago-CovidIL_60,beat_baseline-UChicago-CovidIL_80,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,485,481.3,492.0,470.1,453.0,445.0,,,504.5,,,468.3,513.1,,,448.8,,,,,,490.0,461.1,473.1,-3.7,7.0,-14.9,-32.0,-40.0,,,19.5,,,-16.7,28.1,,,-36.2,,,,,,5.0,-23.9,-11.9,False,False,False,False,,,False,,,False,False,,,False,,,,,,False,False,False
Alaska,10,10.9,11.0,11.7,16.0,9.0,,,5.0,,,10.1,10.6,,,10.8,,,,,,10.0,11.0,10.8,0.9,1.0,1.7,6.0,-1.0,,,-5.0,,,0.1,0.6,,,0.8,,,,,,0.0,1.0,0.8,False,False,False,False,,,False,,,True,True,,,True,,,,,,True,False,True
Arizona,679,685.1,734.0,644.5,633.0,613.0,,,658.6,,,639.5,623.1,,,604.6,,,,,,723.0,662.7,678.9,6.1,55.0,-34.5,-46.0,-66.0,,,-20.4,,,-39.5,-55.9,,,-74.4,,,,,,44.0,-16.3,-0.1,False,False,False,False,,,False,,,False,False,,,False,,,,,,False,False,True
Arkansas,98,103.9,104.0,105.4,98.0,105.0,104.2,,105.6,,,111.9,106.9,,,104.6,,,,,,108.0,109.1,105.4,5.9,6.0,7.4,0.0,7.0,6.2,,7.6,,,13.9,8.9,,,6.6,,,,,,10.0,11.1,7.4,False,False,True,False,False,,False,,,False,False,,,False,,,,,,False,False,False
California,3208,3144.6,3194.0,3164.0,3388.0,3318.0,3049.7,,3231.1,,,3018.6,3143.2,,,3124.4,,,,,,3170.0,3105.0,3097.0,-63.4,-14.0,-44.0,180.0,110.0,-158.3,,23.1,,,-189.4,-64.8,,,-83.6,,,,,,-38.0,-103.0,-111.0,True,True,False,False,False,,True,,,False,False,,,False,,,,,,True,False,False
Colorado,1192,1081.6,1102.0,1110.5,1128.0,1245.0,,,1141.6,,,1080.1,1048.2,,,1100.2,,,,,,1088.0,1051.6,1084.7,-110.4,-90.0,-81.5,-64.0,53.0,,,-50.4,,,-111.9,-143.8,,,-91.8,,,,,,-104.0,-140.4,-107.3,True,True,True,True,,,True,,,False,False,,,True,,,,,,True,False,True
Connecticut,3339,3422.1,3428.0,3354.0,3291.0,3427.0,,,3381.8,,,3317.5,3504.9,,,3265.5,,,,,,3341.0,3251.3,3336.9,83.1,89.0,15.0,-48.0,88.0,,,42.8,,,-21.5,165.9,,,-73.5,,,,,,2.0,-87.7,-2.1,False,True,True,False,,,True,,,True,False,,,True,,,,,,True,False,True
Delaware,286,258.7,274.0,266.9,278.0,275.0,260.8,,269.3,,,256.5,280.6,,,260.1,,,,,,262.0,260.1,261.6,-27.3,-12.0,-19.1,-8.0,-11.0,-25.2,,-16.7,,,-29.5,-5.4,,,-25.9,,,,,,-24.0,-25.9,-24.4,True,True,True,True,True,,True,,,False,True,,,True,,,,,,True,True,True
District of Columbia,375,384.7,382.0,390.9,,413.0,386.4,,384.1,,,390.9,,,,364.4,,,,,,407.0,391.0,383.1,9.7,7.0,15.9,,38.0,11.4,,9.1,,,15.9,,,,-10.6,,,,,,32.0,16.0,8.1,True,False,,False,False,,True,,,False,,,,False,,,,,,False,False,True
Florida,1964,2014.1,2066.0,1982.9,2007.0,1891.0,2091.0,,2064.1,,,1960.5,2025.8,,,1897.4,,,,,,1996.0,1960.4,1981.3,50.1,102.0,18.9,43.0,-73.0,127.0,,100.1,,,-3.5,61.8,,,-66.6,,,,,,32.0,-3.6,17.3,False,True,True,False,False,,False,,,True,False,,,False,,,,,,True,True,True
Georgia,1598,1596.3,1629.0,1584.8,1572.0,1542.0,1565.1,,1788.2,,,1605.9,1614.8,,,1631.7,,,,,,1586.0,1546.7,1567.9,-1.7,31.0,-13.2,-26.0,-56.0,-32.9,,190.2,,,7.9,16.8,,,33.7,,,,,,-12.0,-51.3,-30.1,False,False,False,False,False,,False,,,False,False,,,False,,,,,,False,False,False
Hawaii,17,17.0,18.0,18.6,18.0,19.0,,,19.0,,,17.2,19.2,,,18.5,,,,,,19.0,19.4,18.7,0.0,1.0,1.6,1.0,2.0,,,2.0,,,0.2,2.2,,,1.5,,,,,,2.0,2.4,1.7,False,False,False,False,,,False,,,False,False,,,False,,,,,,False,False,False
Idaho,73,69.6,70.0,72.9,70.0,76.0,72.0,,74.5,,,72.4,74.5,,,74.9,,,,,,70.0,74.6,71.1,-3.4,-3.0,-0.1,-3.0,3.0,-1.0,,1.5,,,-0.6,1.5,,,1.9,,,,,,-3.0,1.6,-1.9,True,True,True,True,True,,True,,,True,True,,,True,,,,,,True,True,True
Illinois,4129,4081.4,4139.0,3702.0,4282.0,4503.0,4083.5,,4156.5,,,3868.3,4190.7,3848.5,,3956.5,3696.8,3696.8,3714.7,3690.5,3707.6,4158.0,3954.0,4061.8,-47.6,10.0,-427.0,153.0,374.0,-45.5,,27.5,,,-260.7,61.7,-280.5,,-172.5,-432.2,-432.2,-414.3,-438.5,-421.4,29.0,-175.0,-67.2,True,False,False,False,True,,True,,,False,False,False,,False,False,False,False,False,False,True,False,False
Indiana,1741,1830.3,1865.0,1797.1,1626.0,1884.0,,,1912.5,,,1724.2,1925.8,1771.5,,1713.0,,,,,,1902.0,1854.9,1801.1,89.3,124.0,56.1,-115.0,143.0,,,171.5,,,-16.8,184.8,30.5,,-28.0,,,,,,161.0,113.9,60.1,False,True,False,False,,,False,,,True,False,True,,True,,,,,,False,False,True
Iowa,346,334.4,329.0,354.1,365.0,404.0,379.5,,343.0,,,301.9,352.0,,,346.5,,,,,,348.0,357.0,335.6,-11.6,-17.0,8.1,19.0,58.0,33.5,,-3.0,,,-44.1,6.0,,,0.5,,,,,,2.0,11.0,-10.4,False,True,False,False,False,,True,,,False,True,,,True,,,,,,True,True,True
Kansas,195,199.7,206.0,217.4,205.0,297.0,,,198.9,,,190.9,203.0,,,230.1,,,,,,202.0,201.3,194.7,4.7,11.0,22.4,10.0,102.0,,,3.9,,,-4.1,8.0,,,35.1,,,,,,7.0,6.3,-0.3,False,False,False,False,,,True,,,True,False,,,False,,,,,,False,False,True
Kentucky,334,347.7,360.0,357.6,350.0,394.0,380.0,,374.6,,,327.0,352.5,272.0,,364.9,,,,,,351.0,345.4,342.6,13.7,26.0,23.6,16.0,60.0,46.0,,40.6,,,-7.0,18.5,-62.0,,30.9,,,,,,17.0,11.4,8.6,False,False,False,False,False,,False,,,True,False,False,,False,,,,,,False,True,True
Louisiana,2479,2520.9,2541.0,2465.5,2344.0,2281.0,,,2562.2,,,2470.2,2479.7,,,2526.6,,,,,,2484.0,2447.6,2491.4,41.9,62.0,-13.5,-135.0,-198.0,,,83.2,,,-8.8,0.7,,,47.6,,,,,,5.0,-31.4,12.4,False,True,False,False,,,False,,,True,True,,,False,,,,,,True,True,True
Maine,70,70.0,72.0,74.4,76.0,80.0,,,64.1,,,79.3,70.9,,,71.8,,,,,,72.0,72.6,70.9,0.0,2.0,4.4,6.0,10.0,,,-5.9,,,9.3,0.9,,,1.8,,,,,,2.0,2.6,0.9,False,False,False,False,,,False,,,False,False,,,False,,,,,,False,False,False
Maryland,1957,1955.1,1977.0,2016.3,1906.0,2239.0,2044.3,,1875.7,,,1963.1,2087.4,,,1888.2,,,,,,2097.0,1992.8,1927.4,-1.9,20.0,59.3,-51.0,282.0,87.3,,-81.3,,,6.1,130.4,,,-68.8,,,,,,140.0,35.8,-29.6,False,False,False,False,False,,False,,,False,False,,,False,,,,,,False,False,False
Massachusetts,5705,5814.7,5834.0,5780.7,5763.0,6283.0,5581.3,,5867.8,,,5590.8,5996.9,,5493.0,5472.7,,,,,,5836.0,5648.7,5745.1,109.7,129.0,75.7,58.0,578.0,-123.7,,162.8,,,-114.2,291.9,,-212.0,-232.3,,,,,,131.0,-56.3,40.1,False,True,True,False,False,,False,,,False,False,,False,False,,,,,,False,True,True
Michigan,5114,4985.3,5039.0,4915.3,4837.0,5064.0,4658.8,,5109.5,,,4875.3,5049.8,4659.0,,4980.4,,,,,,4932.0,4868.6,4963.3,99.3,153.0,29.3,-49.0,178.0,-227.2,,223.5,,,-10.7,163.8,-227.0,,94.4,,,,,,46.0,-17.4,77.3,False,True,True,False,False,,False,,,True,False,False,,True,,,,,,True,True,True
Minnesota,709,715.1,722.0,779.8,716.0,1061.0,,,830.2,,,705.7,783.5,736.0,,701.2,,,,,,773.0,766.3,716.2,6.1,13.0,70.8,7.0,352.0,,,121.2,,,-3.3,74.5,27.0,,-7.8,,,,,,64.0,57.3,7.2,False,False,False,False,,,False,,,True,False,False,,False,,,,,,False,False,False
Mississippi,510,538.9,551.0,513.6,479.0,497.0,,,526.2,,,505.6,548.5,,,485.8,,,,,,550.0,525.9,531.5,28.9,41.0,3.6,-31.0,-13.0,,,16.2,,,-4.4,38.5,,,-24.2,,,,,,40.0,15.9,21.5,False,True,False,True,,,True,,,True,False,,,True,,,,,,False,True,True
Missouri,691,607.6,612.0,582.6,542.0,556.0,621.8,,587.1,,,570.6,600.9,,,556.3,,,,,,613.0,609.0,600.2,18.6,23.0,-6.4,-47.0,-33.0,32.8,,-1.9,,,-18.4,11.9,,,-32.7,,,,,,24.0,20.0,11.2,False,True,False,False,False,,True,,,True,True,,,False,,,,,,False,False,True
Montana,16,16.0,16.0,17.0,17.0,15.0,,,14.0,,,16.0,17.9,,,17.3,,,,,,17.0,19.1,17.1,0.0,0.0,1.0,1.0,-1.0,,,-2.0,,,0.0,1.9,,,1.3,,,,,,1.0,3.1,1.1,True,False,False,False,,,False,,,False,False,,,False,,,,,,False,False,False
Nebraska,123,100.3,107.0,134.9,189.0,187.0,,,119.0,,,100.0,107.7,,,137.2,,,,,,120.0,113.6,103.7,-22.7,-16.0,11.9,66.0,64.0,,,-4.0,,,-23.0,-15.3,,,14.2,,,,,,-3.0,-9.4,-19.3,True,True,False,False,,,True,,,False,True,,,True,,,,,,True,True,True
Nevada,347,354.6,371.0,356.4,350.0,347.0,,,359.3,,,343.5,363.7,,,345.3,,,,,,394.0,381.3,351.4,7.6,24.0,9.4,3.0,0.0,,,12.3,,,-3.5,16.7,,,-1.7,,,,,,47.0,34.3,4.4,False,False,True,True,,,False,,,True,False,,,True,,,,,,False,False,True
New Hampshire,171,173.3,178.0,168.4,175.0,156.0,,,134.6,,,158.4,195.5,,,147.8,,,,,,182.0,168.7,164.3,2.3,7.0,-2.6,4.0,-15.0,,,-36.4,,,-12.6,24.5,,,-23.2,,,,,,11.0,-2.3,-6.7,False,False,False,False,,,False,,,False,False,,,False,,,,,,False,True,False
New Jersey,12013,10443.1,10490.0,10284.7,10170.0,10543.0,,,10943.8,,,10043.6,10367.7,,,10149.2,,,,,,10350.0,9978.3,10357.2,136.1,183.0,-22.3,-137.0,236.0,,,636.8,,,-263.4,60.7,,,-157.8,,,,,,43.0,-328.7,50.2,False,True,False,False,,,False,,,False,True,,,False,,,,,,True,False,True
New Mexico,259,242.0,244.0,241.4,206.0,261.0,254.6,,239.7,,,234.8,248.2,,,226.7,,,,,,256.0,252.9,243.9,-17.0,-15.0,-17.6,-53.0,2.0,-4.4,,-19.3,,,-24.2,-10.8,,,-32.3,,,,,,-3.0,-6.1,-15.1,True,False,False,True,True,,False,,,False,True,,,False,,,,,,True,True,True
New York,28845,28297.9,29026.0,28353.8,27627.0,28508.0,,,28845.7,,,27817.4,29333.9,,,29100.0,,,,,,28048.0,27503.4,28128.5,438.9,1167.0,494.8,-232.0,649.0,,,986.7,,,-41.6,1474.9,,,1241.0,,,,,,189.0,-355.6,269.5,False,False,True,False,,,False,,,True,False,,,False,,,,,,True,True,True
North Carolina,676,675.4,671.0,681.6,703.0,750.0,,,692.8,,,671.4,666.7,,,631.9,,,,,,689.0,672.9,660.4,-0.6,-5.0,5.6,27.0,74.0,,,16.8,,,-4.6,-9.3,,,-44.1,,,,,,13.0,-3.1,-15.6,False,False,False,False,,,False,,,False,False,,,False,,,,,,False,False,False
North Dakota,42,43.6,46.0,44.3,21.0,45.0,,,37.1,,,41.5,50.5,,,40.8,,,,,,44.0,44.6,44.0,1.6,4.0,2.3,-21.0,3.0,,,-4.9,,,-0.5,8.5,,,-1.2,,,,,,2.0,2.6,2.0,False,False,False,False,,,False,,,True,False,,,True,,,,,,False,False,False
Ohio,1610,1599.9,1640.0,1601.8,1648.0,1625.0,,,1749.5,,,1561.1,1685.4,1423.0,,1520.8,,,,,,1593.0,1560.6,1575.3,-10.1,30.0,-8.2,38.0,15.0,,,139.5,,,-48.9,75.4,-187.0,,-89.2,,,,,,-17.0,-49.4,-34.7,False,True,False,False,,,False,,,False,False,False,,False,,,,,,False,False,False
