,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51.0,25.5,10.4,35.2,0.1,2.0,30.0,150.7
Baseline_0.98,51.0,30.0,11.6,45.4,0.0,3.3,29.8,211.5
UMass-MechBayes,51.0,34.0,16.0,47.8,0.0,3.0,39.0,182.0
Baseline,51.0,34.2,10.1,58.6,0.0,2.1,33.9,256.9
COVIDhub-ensemble,51.0,40.6,14.9,76.8,0.1,4.9,40.9,427.0
LANL-GrowthRate,51.0,41.4,12.6,68.6,0.0,4.3,38.7,260.7
UT-Mobility,51.0,48.0,15.7,92.7,0.7,4.5,42.6,545.6
CU-select,51.0,60.9,30.0,87.1,0.0,6.5,65.0,422.0
UCLA-SuEIR,51.0,65.0,23.2,155.5,0.5,5.2,67.7,1051.0
IHME-CurveFit,51.0,74.9,16.2,165.9,0.5,5.0,65.9,796.7
MOBS_NEU-GLEAM_COVID,51.0,75.3,16.8,192.3,0.6,5.7,64.5,1284.9
MIT_CovidAnalytics-DELPHI,51.0,89.3,46.0,126.5,0.0,8.0,101.0,578.0
CovidActNow-SEIR_CAN,51.0,251.6,68.2,540.0,3.9,25.1,207.2,3368.8
