,actual_deaths,Baseline,Baseline_0.98,CU-select,IHME-CurveFit,LANL-GrowthRate,MOBS_NEU-GLEAM_COVID,UT-Mobility,YYG-ParamSearch,error-Baseline,error-CU-select,error-IHME-CurveFit,error-LANL-GrowthRate,error-MOBS_NEU-GLEAM_COVID,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,485,403.9,349.2,275.0,290.0,301.5,541.7,352.4,368.8,-81.1,-210.0,-195.0,-183.5,56.7,-132.6,-116.2,False,False,False,True,False,False
Alaska,10,12.9,12.0,15.0,16.5,11.7,,22.1,20.4,2.9,5.0,6.5,1.7,,12.1,10.4,False,False,True,,False,False
Arizona,679,411.6,361.2,431.0,430.0,465.5,463.3,509.1,429.8,-267.4,-248.0,-249.0,-213.5,-215.7,-169.9,-249.2,True,True,True,True,True,True
Arkansas,98,85.3,75.0,73.0,109.5,57.1,141.6,74.9,92.1,-12.7,-25.0,11.5,-40.9,43.6,-23.1,-5.9,False,True,False,False,False,True
California,3208,3248.3,2789.7,4499.0,1743.4,3139.3,1909.6,2305.4,2616.4,40.3,1291.0,-1464.6,-68.7,-1298.4,-902.6,-591.6,False,False,False,False,False,False
Colorado,1192,925.3,813.4,862.0,647.8,936.9,869.3,615.0,761.6,-266.7,-330.0,-544.2,-255.1,-322.7,-577.0,-430.4,False,False,True,False,False,False
Connecticut,3339,3337.1,2847.8,3970.0,2848.1,2048.5,1747.4,1941.5,2910.3,-1.9,631.0,-490.9,-1290.5,-1591.6,-1397.5,-428.7,False,False,False,False,False,False
Delaware,286,190.4,163.1,829.0,135.9,122.3,111.9,172.8,186.0,-95.6,543.0,-150.1,-163.7,-174.1,-113.2,-100.0,False,False,False,False,False,False
District of Columbia,375,273.4,234.1,,212.7,234.4,,251.7,241.4,-101.6,,-162.3,-140.6,,-123.3,-133.6,,False,False,,False,False
Florida,1964,1981.3,1714.0,3036.0,1487.0,1573.4,2676.1,1286.6,1549.1,17.3,1072.0,-477.0,-390.6,712.1,-677.4,-414.9,False,False,False,False,False,False
Georgia,1598,1666.7,1449.8,1229.0,1814.2,1393.9,,976.0,1428.4,68.7,-369.0,216.2,-204.1,,-622.0,-169.6,False,False,False,,False,False
Hawaii,17,13.9,13.0,17.0,26.1,14.0,,20.1,25.6,-3.1,0.0,9.1,-3.0,,3.1,8.6,True,False,True,,True,False
Idaho,73,109.6,95.1,59.0,61.2,57.9,94.5,122.1,95.2,36.6,-14.0,-11.8,-15.1,21.5,49.1,22.2,True,True,True,True,False,True
Illinois,4129,3488.6,3001.8,5693.0,2092.9,3000.7,2665.1,2254.1,2772.9,-640.4,1564.0,-2036.1,-1128.3,-1463.9,-1874.9,-1356.1,False,False,False,False,False,False
Indiana,1741,1406.7,1219.7,1278.0,930.5,1379.2,841.9,1016.1,1157.1,-334.3,-463.0,-810.5,-361.8,-899.1,-724.9,-583.9,False,False,False,False,False,False
Iowa,346,206.1,177.1,167.0,333.3,325.0,146.1,170.4,205.4,-139.9,-179.0,-12.7,-21.0,-199.9,-175.6,-140.6,False,True,True,False,False,False
Kansas,195,235.7,204.1,143.0,241.3,157.0,200.3,161.3,199.6,40.7,-52.0,46.3,-38.0,5.3,-33.7,4.6,False,False,True,True,True,True
Kentucky,334,335.0,293.2,190.0,439.9,347.0,,244.3,278.8,1.0,-144.0,105.9,13.0,,-89.7,-55.2,False,False,False,,False,False
Louisiana,2479,3054.9,2665.4,2302.0,1703.7,1637.8,,1654.0,2369.0,575.9,-177.0,-775.3,-841.2,,-825.0,-110.0,True,False,False,,False,True
Maine,70,91.9,79.0,43.0,53.3,51.6,80.1,90.6,84.4,21.9,-27.0,-16.7,-18.4,10.1,20.6,14.4,False,True,True,True,True,True
Maryland,1957,1328.9,1136.7,2539.0,1111.3,1186.7,646.3,1006.9,1242.6,-628.1,582.0,-845.7,-770.3,-1310.7,-950.1,-714.4,True,False,False,False,False,False
Massachusetts,5705,5370.3,4558.9,8189.0,3846.8,5047.5,1949.9,3656.8,3480.4,-334.7,2484.0,-1858.2,-657.5,-3755.1,-2048.2,-2224.6,False,False,False,False,False,False
Michigan,5114,6250.0,5431.0,4000.0,3361.2,3662.7,4666.3,3654.2,4664.5,1136.0,-1114.0,-1752.8,-1451.3,-447.7,-1459.8,-449.5,True,False,False,True,False,True
Minnesota,709,380.9,326.2,366.0,297.5,393.6,240.7,410.1,367.8,-328.1,-343.0,-411.5,-315.4,-468.3,-298.9,-341.2,False,False,True,False,True,False
Mississippi,510,402.0,348.2,180.0,394.0,318.9,,257.7,341.9,-108.0,-330.0,-116.0,-191.1,,-252.3,-168.1,False,False,False,,False,False
Missouri,691,569.9,497.3,596.0,372.7,302.5,782.9,354.9,404.9,-121.1,-95.0,-318.3,-388.5,91.9,-336.1,-286.1,True,False,False,True,False,False
Montana,16,25.4,22.0,13.0,14.2,11.8,31.0,28.7,27.3,9.4,-3.0,-1.8,-4.2,15.0,12.7,11.3,True,True,True,False,False,False
Nebraska,123,70.4,61.0,15.0,163.0,114.6,87.4,66.4,68.3,-52.6,-108.0,40.0,-8.4,-35.6,-56.6,-54.7,False,True,True,True,False,False
Nevada,347,335.4,296.1,263.0,240.0,282.4,366.7,258.7,287.8,-11.6,-84.0,-107.0,-64.6,19.7,-88.3,-59.2,False,False,False,False,False,False
New Hampshire,171,95.9,83.0,193.0,70.3,100.0,81.2,94.1,96.9,-75.1,22.0,-100.7,-71.0,-89.8,-76.9,-74.1,True,False,True,False,False,True
New Jersey,10261,12122.6,10404.2,12071.0,7111.7,10670.9,4870.4,5698.6,9151.2,1861.6,1810.0,-3149.3,409.9,-5390.6,-4562.4,-1109.8,True,False,True,False,False,True
New Mexico,259,166.9,142.1,111.0,104.6,128.9,69.3,181.7,153.2,-92.1,-148.0,-154.4,-130.1,-189.7,-77.3,-105.8,False,False,False,False,True,False
New York,28857,39752.3,35180.5,33800.0,23731.7,37147.9,23708.4,17247.1,28208.7,10895.3,4943.0,-5125.3,8290.9,-5148.6,-11609.9,-648.3,True,True,True,True,False,True
North Carolina,676,628.1,533.3,291.0,309.8,576.8,405.7,540.1,633.7,-47.9,-385.0,-366.2,-99.2,-270.3,-135.9,-42.3,False,False,False,False,False,True
North Dakota,42,16.7,15.0,9.0,148.0,20.5,28.9,21.4,23.2,-25.3,-33.0,106.0,-21.5,-13.1,-20.6,-18.8,False,False,True,True,True,True
Ohio,1610,1311.9,1125.7,1442.0,770.6,2377.0,960.0,1020.9,1118.3,-298.1,-168.0,-839.4,767.0,-650.0,-589.1,-491.7,True,False,False,False,False,False
Oklahoma,288,309.7,272.1,171.0,286.7,221.8,491.5,225.1,266.8,21.7,-117.0,-1.3,-66.2,203.5,-62.9,-21.2,False,True,False,False,False,True
Oregon,137,158.9,140.1,149.0,119.9,134.6,175.0,156.6,149.7,21.9,12.0,-17.1,-2.4,38.0,19.6,12.7,True,True,True,False,True,True
Pennsylvania,4480,4049.3,3435.2,5003.0,2320.3,3680.4,1847.3,3222.3,3314.0,-430.7,523.0,-2159.7,-799.6,-2632.7,-1257.7,-1166.0,False,False,False,False,False,False
Rhode Island,489,485.6,411.3,179.0,566.1,466.7,199.1,498.7,508.7,-3.4,-310.0,77.1,-22.3,-289.9,9.7,19.7,False,False,False,False,False,False
South Carolina,380,266.6,234.1,375.0,252.4,228.6,423.7,199.4,233.0,-113.4,-5.0,-127.6,-151.4,43.7,-180.6,-147.0,True,False,False,True,False,False
South Dakota,44,10.9,10.0,478.0,57.3,30.1,95.5,31.6,31.9,-33.1,434.0,13.3,-13.9,51.5,-12.4,-12.1,False,True,True,False,True,True
Tennessee,295,310.0,274.1,452.0,234.7,289.9,606.5,289.6,272.6,15.0,157.0,-60.3,-5.1,311.5,-5.4,-22.4,False,False,True,False,True,False
Texas,1318,1288.4,1111.6,1395.0,1132.1,1076.4,1423.5,1032.3,1083.8,-29.6,77.0,-185.9,-241.6,105.5,-285.7,-234.2,False,False,False,False,False,False
Utah,78,61.7,54.0,196.0,185.2,48.2,82.1,96.6,64.8,-16.3,118.0,107.2,-29.8,4.1,18.6,-13.2,False,False,False,True,False,True
Vermont,53,80.4,71.0,49.0,42.8,45.1,114.9,62.6,67.6,27.4,-4.0,-10.2,-7.9,61.9,9.6,14.6,True,True,True,False,True,True
Virginia,1003,801.6,685.4,1060.0,751.1,851.4,567.0,657.5,695.5,-201.4,57.0,-251.9,-151.6,-436.0,-345.5,-307.5,True,False,True,False,False,False
Washington,999,1137.4,1026.4,1415.0,778.3,927.9,1863.4,789.6,894.8,138.4,416.0,-220.7,-71.1,864.4,-209.4,-104.2,False,False,True,False,False,True
West Virginia,64,64.3,54.0,19.0,34.5,28.8,24.5,66.0,75.3,0.3,-45.0,-29.5,-35.2,-39.5,2.0,11.3,False,False,False,False,False,False
Wisconsin,453,513.1,448.2,406.0,340.3,427.1,547.5,414.7,413.3,60.1,-47.0,-112.7,-25.9,94.5,-38.3,-39.7,True,False,True,False,True,True
Wyoming,7,9.7,8.0,1.0,243.2,2.5,4.5,7.6,14.9,2.7,-6.0,236.2,-4.5,-2.5,0.6,7.9,False,False,False,True,True,False
US,89892,100002.6,87086.7,101874.0,65009.5,,68798.7,58434.4,78057.3,10110.6,11982.0,-24882.5,,-21093.3,-31457.6,-11834.7,False,False,,False,False,False
