,mean_rank
COVIDhub-ensemble,4.5
YYG-ParamSearch,5.4
LANL-GrowthRate,5.4
IHME-CurveFit,6.1
CU-select,6.3
UT-Mobility,6.3
UMass-MechBayes,6.7
UCLA-SuEIR,7.3
IowaStateLW-STEM,7.5
MIT_CovidAnalytics-DELPHI,7.8
MOBS_NEU-GLEAM_COVID,8.0
Auquan-SEIR,9.3
GT-DeepCOVID,10.3
