,count,mean,median,std,min,25%,75%,max
COVIDhub-ensemble,51.0,147.9,81.4,255.2,0.2,13.0,180.9,1221.2
IowaStateLW-STEM,51.0,164.9,83.0,204.7,1.0,11.0,269.0,1035.0
YYG-ParamSearch,51.0,173.1,56.4,335.4,1.9,17.6,155.3,1972.0
MIT_CovidAnalytics-DELPHI,51.0,181.2,84.0,276.4,1.0,16.0,174.0,1154.0
Baseline_0.98,51.0,198.1,55.5,464.5,0.5,11.9,160.0,2973.8
Baseline,51.0,233.9,45.9,694.9,1.0,15.1,145.9,4754.3
LANL-GrowthRate,51.0,251.7,47.4,533.4,0.0,15.3,249.6,3240.3
CU-select,51.0,276.3,99.0,464.3,1.0,19.5,298.0,2356.0
MOBS_NEU-GLEAM_COVID,51.0,317.7,114.7,506.8,0.1,15.8,311.2,2354.1
IHME-CurveFit,51.0,404.2,116.0,795.9,1.2,43.6,298.6,3975.3
UT-Mobility,51.0,410.1,63.9,1284.3,0.6,25.7,332.8,8787.1
UMass-MechBayes,51.0,522.7,111.0,1123.4,5.0,28.0,455.5,6809.0
