,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,UCLA-SuEIR,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-UCLA-SuEIR,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,549,492.9,525.2,471.4,504.0,418.0,594.0,422.0,475.6,491.8,,435.8,494.0,478.6,474.5,-56.1,-23.8,-77.6,-45.0,-131.0,45.0,-127.0,-73.4,-57.2,,-113.2,-55.0,-70.4,-74.5,True,False,True,False,True,False,False,False,,False,True,False,False
Alaska,10,9.0,9.6,12.8,15.0,10.0,5.0,,9.7,15.2,,10.2,10.0,14.6,11.5,-1.0,-0.4,2.8,5.0,0.0,-5.0,,-0.3,5.2,,0.2,0.0,4.6,1.5,True,False,False,True,False,,True,False,,True,True,False,False
Arizona,801,610.6,501.2,599.2,754.0,600.0,606.3,553.0,610.8,512.6,,523.7,593.0,590.5,607.7,-190.4,-299.8,-201.8,-47.0,-201.0,-194.7,-248.0,-190.2,-288.4,,-277.3,-208.0,-210.5,-193.3,False,False,True,False,False,False,True,False,,False,False,False,False
Arkansas,115,147.4,144.0,131.3,106.0,146.0,110.2,108.0,86.5,157.0,,104.0,157.0,165.4,129.8,32.4,29.0,16.3,-9.0,31.0,-4.8,-7.0,-28.5,42.0,,-11.0,42.0,50.4,14.8,True,True,True,True,True,True,True,False,,True,False,False,True
California,3737,3618.9,3652.9,3615.9,3861.0,3851.0,3475.0,3843.0,3316.5,4550.5,,3170.9,3608.0,3222.9,3378.4,-118.1,-84.1,-121.1,124.0,114.0,-262.0,106.0,-420.5,813.5,,-566.1,-129.0,-514.1,-358.6,True,False,False,True,False,True,False,False,,False,False,False,False
Colorado,1327,1282.0,1276.0,1340.4,1154.0,1501.0,1164.1,1237.0,1193.2,1748.8,,1201.8,1452.0,1137.9,1335.3,-45.0,-51.0,13.4,-173.0,174.0,-162.9,-90.0,-133.8,421.8,,-125.2,125.0,-189.1,8.3,False,True,False,False,False,False,False,False,,False,False,False,True
Connecticut,3675,3898.9,4148.9,3708.6,3570.0,4794.0,3517.6,3122.0,2928.1,4457.6,,3397.1,3671.0,3364.7,3541.9,223.9,473.9,33.6,-105.0,1119.0,-157.4,-553.0,-746.9,782.6,,-277.9,-4.0,-310.3,-133.1,False,True,True,False,True,False,False,False,,False,True,False,True
Delaware,322,339.9,336.0,346.4,342.0,384.0,349.9,302.0,231.1,494.2,,275.1,381.0,343.1,320.4,17.9,14.0,24.4,20.0,62.0,27.9,-20.0,-90.9,172.2,,-46.9,59.0,21.1,-1.6,True,False,False,False,False,False,False,False,,False,False,False,True
District of Columbia,427,459.6,465.0,456.6,,495.0,460.5,414.0,509.7,,,340.5,512.0,454.1,426.6,32.6,38.0,29.6,,68.0,33.5,-13.0,82.7,,,-86.5,85.0,27.1,-0.4,False,True,,False,False,True,False,,,False,False,True,True
Florida,2233,2247.6,2291.1,2015.5,2205.0,1920.0,2187.2,2205.0,1981.3,2395.3,,1836.7,1869.0,1889.9,2031.0,14.6,58.1,-217.5,-28.0,-313.0,-45.8,-28.0,-251.7,162.3,,-396.3,-364.0,-343.1,-202.0,False,False,False,False,False,False,False,False,,False,False,False,False
