,total_deaths_2020-05-03,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
CU-select,71056,97534.0,100655,29852.0,29599,253.0,0.9%
YYG-ParamSearch,71056,96419.7,100655,28737.7,29599,-861.3,-2.9%
COVIDhub-ensemble,71056,95013.9,100655,27331.9,29599,-2267.1,-7.7%
LANL-GrowthRate,71056,99571.7,100655,31889.7,29599,2290.7,7.7%
UCLA-SuEIR,71056,93205.4,100655,25523.4,29599,-4075.6,-13.8%
CovidAnalytics-DELPHI,71056,101648.0,100655,33966.0,29599,4367.0,14.8%
MOBS-GLEAM_COVID,71056,92779.4,100655,25097.4,29599,-4501.6,-15.2%
IHME-CurveFit,71056,103071.9,100655,35389.9,29599,5790.9,19.6%
COVIDhub-baseline,71056,104210.5,100655,36528.5,29599,6929.5,23.4%
Baseline,71056,104256.3,100655,36574.3,29599,6975.3,23.6%
IowaStateLW-STEM,71056,86775.0,100655,19093.0,29599,-10506.0,-35.5%
UT-Mobility,71056,84651.0,100655,16969.0,29599,-12630.0,-42.7%
NotreDame-FRED,71056,,100655,,29599,,
UMass-MechBayes,71056,,100655,,29599,,
