,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51,50.7,17.3,82.5,0.0,7.2,43.6,373.8
UMass-MechBayes,51,59.7,32.0,76.4,0.0,8.0,71.0,382.0
LANL-GrowthRate,51,63.7,25.7,108.0,0.1,9.9,54.1,486.5
COVIDhub-ensemble,51,66.5,21.0,129.8,1.0,7.6,51.3,764.8
CU-select,50,81.2,39.0,99.6,1.0,11.0,102.5,499.0
UT-Mobility,51,89.6,28.9,181.2,0.4,12.7,87.6,1145.4
Baseline,51,103.3,24.7,217.3,0.0,7.3,77.3,1184.9
IHME-CurveFit,51,108.0,31.7,216.8,1.5,6.7,86.5,932.3
UCLA-SuEIR,51,114.0,40.9,341.7,1.6,7.7,88.2,2379.0
COVIDhub-baseline,51,140.9,33.0,363.6,0.7,12.5,93.5,2394.0
CovidAnalytics-DELPHI,51,155.1,68.0,231.6,1.0,13.5,167.0,1105.0
MOBS-GLEAM_COVID,50,175.4,27.6,428.5,0.7,7.3,156.1,2738.2
