,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51.0,331.4,116.3,497.9,6.4,21.9,431.6,2534.6
Baseline_0.98,51.0,422.2,164.9,1108.2,2.5,32.7,414.1,7793.0
LANL-GrowthRate,51.0,509.7,161.5,1471.7,2.2,33.2,417.5,10380.9
Baseline,51.0,516.6,81.1,2060.7,0.3,28.1,228.3,14516.7
CU-select,51.0,538.7,200.0,1096.0,0.0,42.5,548.0,7158.0
IHME-CurveFit,51.0,652.5,197.3,1087.5,1.8,52.0,695.0,5290.1
UT-Mobility,51.0,798.9,192.1,1833.3,0.0,39.9,882.1,11783.0
