,actual_deaths,Baseline,Baseline_0.98,COVIDhub-ensemble,CU-select,CovidActNow-SEIR_CAN,GT-DeepCOVID,IHME-CurveFit,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_40,UChicago-CovidIL_60,UChicago-CovidIL_80,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidActNow-SEIR_CAN,error-GT-DeepCOVID,error-IHME-CurveFit,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_40,error-UChicago-CovidIL_60,error-UChicago-CovidIL_80,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-GT-DeepCOVID,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_40,beat_baseline-UChicago-CovidIL_60,beat_baseline-UChicago-CovidIL_80,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
North Dakota,52,53.6,51.5,55.5,41.0,61.7,,47.1,48.6,56.0,71.8,,48.3,,,,,,54.0,62.4,55.1,1.6,3.5,-11.0,9.7,,-4.9,-3.4,4.0,19.8,,-3.7,,,,,,2.0,10.4,3.1,False,False,False,,False,False,False,False,,False,,,,,,False,False,False
Ohio,1956,1901.9,1839.3,1866.3,1966.0,1331.8,,1992.2,1779.7,1875.0,2068.7,1754.0,1708.3,,,,,,1813.0,1836.1,1844.0,-54.1,-89.7,10.0,-624.2,,36.2,-176.3,-81.0,112.7,-202.0,-247.7,,,,,,-143.0,-119.9,-112.0,False,True,False,,True,False,False,False,False,False,,,,,,False,False,False
Oklahoma,311,335.1,328.1,333.0,308.0,388.1,322.4,349.6,336.6,348.0,333.3,,348.9,,,,,,334.0,317.7,334.3,24.1,22.0,-3.0,77.1,11.4,38.6,25.6,37.0,22.3,,37.9,,,,,,23.0,6.7,23.3,True,True,False,True,False,False,False,True,,False,,,,,,True,True,True
Oregon,147,160.4,156.7,160.6,157.0,338.8,,159.6,165.6,162.0,162.4,,158.7,,,,,,165.0,162.1,154.9,13.4,13.6,10.0,191.8,,12.6,18.6,15.0,15.4,,11.7,,,,,,18.0,15.1,7.9,False,True,False,,True,False,False,False,,True,,,,,,False,False,True
Pennsylvania,5112,5822.9,5597.7,5402.8,4613.0,3516.3,6182.1,6006.5,5255.9,5612.0,6282.1,,4424.7,,,,,,5494.0,5170.6,5352.7,710.9,290.8,-499.0,-1595.7,1070.1,894.5,143.9,500.0,1170.1,,-687.3,,,,,,382.0,58.6,240.7,True,True,False,False,False,True,True,False,,True,,,,,,True,True,True
Rhode Island,597,611.4,590.3,635.6,773.0,529.9,691.6,568.2,570.0,536.0,727.4,,582.7,,,,,,589.0,561.6,603.7,14.4,38.6,176.0,-67.1,94.6,-28.8,-27.0,-61.0,130.4,,-14.3,,,,,,-8.0,-35.4,6.7,False,False,False,False,False,False,False,False,,True,,,,,,True,False,True
South Carolina,425,435.0,423.4,447.3,442.0,514.3,,533.8,451.9,484.0,474.8,,403.6,,,,,,434.0,467.1,442.3,10.0,22.3,17.0,89.3,,108.8,26.9,59.0,49.8,,-21.4,,,,,,9.0,42.1,17.3,False,False,False,,False,False,False,False,,False,,,,,,True,False,False
South Dakota,50,58.1,55.4,66.0,81.0,79.3,,56.9,70.1,45.0,75.9,,44.2,,,,,,73.0,168.9,53.1,8.1,16.0,31.0,29.3,,6.9,20.1,-5.0,25.9,,-5.8,,,,,,23.0,118.9,3.1,False,False,False,,True,False,True,False,,True,,,,,,False,False,True
Tennessee,329,304.3,297.4,311.4,353.0,356.5,282.6,339.7,269.6,377.0,289.5,,334.3,,,,,,299.0,302.1,287.9,-24.7,-17.6,24.0,27.5,-46.4,10.7,-59.4,48.0,-39.5,,5.3,,,,,,-30.0,-26.9,-41.1,True,True,False,False,True,False,False,False,,True,,,,,,False,False,False
Texas,1478,1495.1,1450.4,1493.9,1743.0,2036.1,1433.2,1515.1,1399.7,1338.0,1481.4,,1457.5,,,,,,1598.0,1524.3,1509.0,17.1,15.9,265.0,558.1,-44.8,37.1,-78.3,-140.0,3.4,,-20.5,,,,,,120.0,46.3,31.0,True,False,False,False,False,False,False,True,,False,,,,,,False,False,False
Utah,97,98.6,95.0,99.5,145.0,180.0,,90.9,89.5,83.0,91.6,,85.8,,,,,,107.0,113.0,95.5,1.6,2.5,48.0,83.0,,-6.1,-7.5,-14.0,-5.4,,-11.2,,,,,,10.0,16.0,-1.5,False,False,False,,False,False,False,False,,False,,,,,,False,False,True
Vermont,54,53.0,53.0,59.1,55.0,69.0,,52.3,55.8,60.0,62.3,,62.5,,,,,,58.0,63.4,60.5,-1.0,5.1,1.0,15.0,,-1.7,1.8,6.0,8.3,,8.5,,,,,,4.0,9.4,6.5,False,False,False,,False,False,False,False,,False,,,,,,False,False,False
Virginia,1159,1171.4,1134.3,1268.4,1402.0,1756.5,1193.5,1127.3,1206.2,1420.0,1298.7,,1166.2,,,,,,1272.0,1232.5,1188.2,12.4,109.4,243.0,597.5,34.5,-31.7,47.2,261.0,139.7,,7.2,,,,,,113.0,73.5,29.2,False,False,False,False,False,False,False,False,,True,,,,,,False,False,False
Washington,1050,1111.1,1091.0,1075.1,1140.0,873.6,,1029.1,1086.7,981.0,1057.4,,1095.5,,,,,,1110.0,1142.3,1066.0,61.1,25.1,90.0,-176.4,,-20.9,36.7,-69.0,7.4,,45.5,,,,,,60.0,92.3,16.0,True,False,False,,True,True,False,True,,True,,,,,,True,False,True
West Virginia,72,65.1,63.9,70.4,55.0,117.7,,62.9,72.2,74.0,73.9,,63.7,,,,,,69.0,81.4,69.8,-6.9,-1.6,-17.0,45.7,,-9.1,0.2,2.0,1.9,,-8.3,,,,,,-3.0,9.4,-2.2,True,False,False,,False,True,True,True,,False,,,,,,True,False,True
Wisconsin,507,513.3,500.6,554.2,642.0,648.5,,507.5,499.4,648.0,511.5,496.5,545.9,,,,,,543.0,537.9,491.1,6.3,47.2,135.0,141.5,,0.5,-7.6,141.0,4.5,-10.5,38.9,,,,,,36.0,30.9,-15.9,False,False,False,,True,False,False,True,False,False,,,,,,False,False,False
Wyoming,12,7.0,7.0,10.4,7.0,24.8,,6.0,9.0,13.0,10.5,,9.6,,,,,,9.0,9.0,9.7,-5.0,-1.6,-5.0,12.8,,-6.0,-3.0,1.0,-1.5,,-2.4,,,,,,-3.0,-3.0,-2.3,True,False,False,,False,True,True,True,,True,,,,,,True,True,True
US,97406,101892.9,99433.0,97787.6,97731.0,,97274.0,101361.4,93996.6,102512.0,97512.8,,97354.8,,,,,,,96231.5,98365.1,4486.9,381.6,325.0,,-132.0,3955.4,-3409.4,5106.0,106.8,,-51.2,,,,,,,-1174.5,959.1,True,True,,True,True,True,False,True,,True,,,,,,,True,True
