,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MOBS-GLEAM_COVID,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,549,458.1,433.0,482.6,587.0,436.0,309.1,321.0,391.0,434.5,619.0,425.8,430.6,-90.9,-116.0,-66.4,38.0,-113.0,-239.9,-228.0,-158.0,-114.5,70.0,-123.2,-118.4,False,True,True,False,False,False,False,False,True,False,False
Alaska,10,9.0,10.3,17.0,15.0,12.0,,,10.2,16.6,16.0,27.0,20.2,-1.0,0.3,7.0,5.0,2.0,,,0.2,6.6,6.0,17.0,10.2,True,False,False,False,,,True,False,False,False,False
Arizona,801,626.0,645.4,650.0,809.0,552.0,643.4,561.0,581.8,469.4,803.0,548.4,613.7,-175.0,-155.6,-151.0,8.0,-249.0,-157.6,-240.0,-219.2,-331.6,2.0,-252.6,-187.3,True,True,True,False,True,False,False,False,True,False,False
Arkansas,115,97.3,88.0,159.0,115.0,172.0,137.3,136.0,86.5,108.8,326.0,96.7,100.3,-17.7,-27.0,44.0,0.0,57.0,22.3,21.0,-28.5,-6.2,211.0,-18.3,-14.7,False,False,True,False,False,False,False,True,False,False,True
California,3737,3838.7,3884.9,3897.1,5140.0,3477.0,2035.4,3326.0,3491.7,2314.3,5454.0,2893.6,3500.1,101.7,147.9,160.1,1403.0,-260.0,-1701.6,-411.0,-245.3,-1422.7,1717.0,-843.4,-236.9,False,False,False,False,False,False,False,False,False,False,False
Colorado,1327,1721.7,1864.0,1602.9,1277.0,1411.0,1051.2,1248.0,1898.0,1012.4,2377.0,1256.3,1410.9,394.7,537.0,275.9,-50.0,84.0,-275.8,-79.0,571.0,-314.6,1050.0,-70.7,83.9,False,True,True,True,True,True,False,True,False,True,True
Connecticut,3675,4998.1,4980.6,4227.6,3968.0,5263.0,3317.1,3124.0,3264.8,2297.5,6234.0,3065.1,3888.6,1323.1,1305.6,552.6,293.0,1588.0,-357.9,-551.0,-410.2,-1377.5,2559.0,-609.9,213.6,True,True,True,False,True,True,True,False,False,True,True
Delaware,322,324.4,291.9,369.8,563.0,371.0,156.6,386.0,220.3,160.9,503.0,264.9,277.0,2.4,-30.1,47.8,241.0,49.0,-165.4,64.0,-101.7,-161.1,181.0,-57.1,-45.0,False,False,False,False,False,False,False,False,False,False,False
District of Columbia,427,494.3,461.2,458.7,,434.0,255.2,410.0,397.6,,581.0,505.1,381.9,67.3,34.2,31.7,,7.0,-171.8,-17.0,-29.4,,154.0,78.1,-45.1,True,True,,True,False,True,True,,False,False,True
Florida,2233,2236.0,2283.3,1910.2,1965.0,2001.0,1844.0,2020.0,1748.6,2208.9,2279.0,1546.3,1970.9,3.0,50.3,-322.8,-268.0,-232.0,-389.0,-213.0,-484.4,-24.1,46.0,-686.7,-262.1,False,False,False,False,False,False,False,False,False,False,False
Georgia,1822,1799.3,1842.8,1608.1,1455.0,1337.0,2083.8,1405.0,1432.4,1881.3,2638.0,1206.3,1590.5,-22.7,20.8,-213.9,-367.0,-485.0,261.8,-417.0,-389.6,59.3,816.0,-615.7,-231.5,True,False,False,False,False,False,False,False,False,False,False
Hawaii,17,29.4,29.0,23.6,13.0,20.0,22.7,,16.6,24.7,24.0,37.3,31.4,12.4,12.0,6.6,-4.0,3.0,5.7,,-0.4,7.7,7.0,20.3,14.4,True,True,True,True,True,,True,True,True,False,False
Idaho,79,102.3,108.0,99.2,84.0,88.0,66.0,101.0,69.3,94.4,109.0,143.0,105.1,23.3,29.0,20.2,5.0,9.0,-13.0,22.0,-9.7,15.4,30.0,64.0,26.1,False,True,True,True,True,True,True,True,False,False,False
Illinois,4790,4413.1,4340.7,4796.2,4762.0,5320.0,2292.2,4032.0,4586.0,2725.7,7165.0,3045.4,3897.3,-376.9,-449.3,6.2,-28.0,530.0,-2497.8,-758.0,-204.0,-2064.3,2375.0,-1744.6,-892.7,False,True,True,False,False,False,True,False,False,False,False
Indiana,1964,1781.1,1750.1,1615.9,1221.0,1761.0,1017.9,1355.0,1713.8,1197.3,1940.0,1407.6,1530.1,-182.9,-213.9,-348.1,-743.0,-203.0,-946.1,-609.0,-250.2,-766.7,-24.0,-556.4,-433.9,False,False,False,False,False,False,False,False,True,False,False
Iowa,446,283.9,264.0,808.0,1090.0,666.0,295.5,358.0,490.7,184.3,1932.0,244.3,308.3,-162.1,-182.0,362.0,644.0,220.0,-150.5,-88.0,44.7,-261.7,1486.0,-201.7,-137.7,False,False,False,False,True,True,True,False,False,False,True
Kansas,205,229.0,260.0,395.2,192.0,394.0,303.3,302.0,248.2,221.6,1043.0,196.3,241.9,24.0,55.0,190.2,-13.0,189.0,98.3,97.0,43.2,16.6,838.0,-8.7,36.9,False,False,True,False,False,False,False,True,False,True,False
Kentucky,391,447.1,449.1,492.5,244.0,460.0,487.9,319.0,383.4,340.2,1055.0,408.9,407.2,56.1,58.1,101.5,-147.0,69.0,96.9,-72.0,-7.6,-50.8,664.0,17.9,16.2,False,False,False,False,False,False,True,True,False,True,True
Louisiana,2668,3399.1,3466.7,2346.5,2167.0,2172.0,2032.5,2894.0,1955.0,2289.6,2474.0,2181.1,3081.0,731.1,798.7,-321.5,-501.0,-496.0,-635.5,226.0,-713.0,-378.4,-194.0,-486.9,413.0,False,True,True,True,True,True,True,True,True,True,True
Maine,77,111.7,107.0,95.1,58.0,88.0,66.5,68.0,63.3,77.8,113.0,144.6,112.4,34.7,30.0,18.1,-19.0,11.0,-10.5,-9.0,-13.7,0.8,36.0,67.6,35.4,True,True,True,True,True,True,True,True,False,False,False
Maryland,2243,2641.9,2690.9,2617.7,3223.0,2397.0,1196.5,1751.0,2635.0,1254.4,3963.0,1469.0,2119.1,398.9,447.9,374.7,980.0,154.0,-1046.5,-492.0,392.0,-988.6,1720.0,-774.0,-123.9,False,True,False,True,False,False,True,False,False,False,True
Massachusetts,6304,7500.6,8032.2,8107.3,9642.0,8075.0,5510.4,5759.0,8584.1,3463.5,11912.0,5070.5,6996.8,1196.6,1728.2,1803.3,3338.0,1771.0,-793.6,-545.0,2280.1,-2840.5,5608.0,-1233.5,692.8,False,False,False,False,True,True,False,False,False,False,True
Michigan,5460,6879.0,6542.5,5243.3,4783.0,5751.0,3818.1,4909.0,4528.7,4779.9,5973.0,4610.9,5936.1,1609.0,1272.5,-26.7,-487.0,481.0,-1451.9,-361.0,-741.3,-490.1,703.0,-659.1,666.1,True,True,True,True,True,True,True,True,True,True,True
Minnesota,861,804.3,735.9,742.0,299.0,737.0,717.3,424.0,805.8,353.0,1171.0,938.6,670.1,-56.7,-125.1,-119.0,-562.0,-124.0,-143.7,-437.0,-55.2,-508.0,310.0,77.6,-190.9,False,False,False,False,False,False,True,False,False,False,False
Mississippi,616,489.3,496.8,486.8,255.0,613.0,379.4,298.0,324.7,430.8,877.0,415.9,440.4,-126.7,-119.2,-129.2,-361.0,-3.0,-236.6,-318.0,-291.3,-185.2,261.0,-200.1,-175.6,True,False,False,True,False,False,False,False,False,False,False
Missouri,765,607.0,616.9,557.6,706.0,559.0,605.5,503.0,398.1,609.5,651.0,496.5,543.7,-67.0,-57.1,-116.4,32.0,-115.0,-68.5,-171.0,-275.9,-64.5,-23.0,-177.5,-130.3,True,False,True,False,False,False,False,True,True,False,False
Montana,16,29.4,30.0,26.6,15.0,12.0,26.8,19.0,15.0,25.4,23.0,63.4,34.1,13.4,14.0,10.6,-1.0,-4.0,10.8,3.0,-1.0,9.4,7.0,47.4,18.1,False,True,True,True,True,True,True,True,True,False,False
Nebraska,147,164.0,154.0,355.9,16.0,384.0,272.8,241.0,276.1,85.2,1109.0,166.9,122.9,17.0,7.0,208.9,-131.0,237.0,125.8,94.0,129.1,-61.8,962.0,19.9,-24.1,True,False,False,False,False,False,False,False,False,False,False
Nevada,387,391.1,421.0,375.8,415.0,404.0,259.4,493.0,363.2,345.1,409.0,287.6,375.4,4.1,34.0,-11.2,28.0,17.0,-127.6,106.0,-23.8,-41.9,22.0,-99.4,-11.6,False,False,False,False,False,False,False,False,False,False,False
New Hampshire,208,144.9,113.0,148.3,222.0,149.0,71.6,118.0,108.6,88.3,181.0,119.6,124.6,-63.1,-95.0,-59.7,14.0,-59.0,-136.4,-90.0,-99.4,-119.7,-27.0,-88.4,-83.4,False,True,True,True,False,False,False,False,True,False,False
New Jersey,12869,12016.9,13290.2,11068.5,13483.0,11999.0,7051.0,11142.0,10367.9,,14265.0,7410.7,10625.3,539.9,1813.2,-408.5,2006.0,522.0,-4426.0,-335.0,-1109.1,,2788.0,-4066.3,-851.7,False,True,False,True,False,True,False,,False,False,False
New Mexico,308,268.7,252.9,320.6,392.0,261.0,208.1,183.0,246.5,143.2,409.0,383.4,232.3,-39.3,-55.1,12.6,84.0,-47.0,-99.9,-125.0,-61.5,-164.8,101.0,75.4,-75.7,False,True,False,False,False,False,False,False,False,False,False
New York,30032,36490.3,35006.3,28440.4,28942.0,31459.0,24087.2,28646.0,33022.1,26992.0,37154.0,19284.6,31804.6,7099.3,5615.3,-950.6,-449.0,2068.0,-5303.8,-745.0,3631.1,-2399.0,7763.0,-10106.4,2413.6,True,True,True,True,True,True,True,True,False,False,True
North Carolina,778,802.3,777.0,761.8,445.0,766.0,375.4,503.0,754.7,482.9,1248.0,818.9,723.7,24.3,-1.0,-16.2,-333.0,-12.0,-402.6,-275.0,-23.3,-295.1,470.0,40.9,-54.3,True,True,False,True,False,False,True,False,False,False,False
North Dakota,52,47.9,44.0,50.4,12.0,70.0,152.1,43.0,31.0,30.0,99.0,56.3,34.7,-4.1,-8.0,-1.6,-40.0,18.0,100.1,-9.0,-21.0,-22.0,47.0,4.3,-17.3,False,True,False,False,False,False,False,False,False,False,False
Ohio,1956,1719.3,1750.9,2112.3,1785.0,2475.0,835.5,1369.0,1091.8,1078.0,3988.0,1313.9,1519.2,-236.7,-205.1,156.3,-171.0,519.0,-1120.5,-587.0,-864.2,-878.0,2032.0,-642.1,-436.8,True,True,True,False,False,False,False,False,False,False,False
Oklahoma,311,407.1,426.0,345.5,267.0,359.0,,294.0,305.7,412.3,400.0,311.1,376.7,96.1,115.0,34.5,-44.0,48.0,,-17.0,-5.3,101.3,89.0,0.1,65.7,False,True,True,True,,True,True,False,True,True,True
Oregon,147,161.4,147.0,165.3,158.0,164.0,124.5,145.0,152.5,146.2,183.0,165.3,162.1,14.4,-0.0,18.3,11.0,17.0,-22.5,-2.0,5.5,-0.8,36.0,18.3,15.1,True,False,True,False,False,True,True,True,False,False,False
Pennsylvania,5112,3898.9,4799.0,4049.2,4662.0,4333.0,2318.2,3637.0,3553.4,,5676.0,3328.5,3596.0,-1213.1,-313.0,-1062.8,-450.0,-779.0,-2793.8,-1475.0,-1558.6,,564.0,-1783.5,-1516.0,True,True,True,True,False,False,False,,True,False,False
Rhode Island,619,519.1,527.1,822.7,1378.0,721.0,587.0,634.0,513.3,332.0,1363.0,441.9,510.1,-99.9,-91.9,203.7,759.0,102.0,-32.0,15.0,-105.7,-287.0,744.0,-177.1,-108.9,True,False,False,False,True,True,False,False,False,False,False
South Carolina,425,382.3,354.0,326.9,290.0,308.0,337.5,359.0,321.4,360.3,362.0,315.1,320.2,-42.7,-71.0,-98.1,-135.0,-117.0,-87.5,-66.0,-103.6,-64.7,-63.0,-109.9,-104.8,False,False,False,False,False,False,False,False,False,False,False
South Dakota,50,26.4,22.0,74.1,156.0,42.0,31.2,159.0,19.2,36.4,51.0,117.3,39.9,-23.6,-28.0,24.1,106.0,-8.0,-18.8,109.0,-30.8,-13.6,1.0,67.3,-10.1,False,False,False,True,True,False,False,True,True,False,True
Tennessee,329,308.3,317.0,410.3,496.0,410.0,247.5,747.0,382.6,415.8,535.0,288.6,297.8,-20.7,-12.0,81.3,167.0,81.0,-81.5,418.0,53.6,86.8,206.0,-40.4,-31.2,True,False,False,False,False,False,False,False,False,False,False
Texas,1629,1272.0,1285.8,1313.2,1489.0,1232.0,1401.1,1829.0,1162.8,1286.8,1684.0,1090.2,1159.7,-222.0,-208.2,-180.8,-5.0,-262.0,-92.9,335.0,-331.2,-207.2,190.0,-403.8,-334.3,True,True,True,False,True,False,False,True,True,False,False
