,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,GT-DeepCOVID,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_10_+,UChicago-CovidIL_30_+,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_10_+,error-UChicago-CovidIL_30_+,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_10_+,beat_baseline-UChicago-CovidIL_30_+,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,1822,1784.9,1919.0,1793.0,1765.2,1686.0,1714.0,1790.6,,1780.1,,,1751.5,1921.4,1719.4,1768.5,,1820.0,1747.9,,,,,1759.0,1606.3,1721.0,1766.7,-37.1,97.0,-29.0,-56.8,-136.0,-108.0,-31.4,,-41.9,,,-70.5,99.4,-102.6,-53.5,,-2.0,-74.1,,,,,-63.0,-215.7,-101.0,-55.3,False,True,False,False,False,True,,False,,,False,False,False,False,,True,False,,,,,False,False,False,False
Hawaii,17,17.0,21.0,17.0,18.5,18.0,18.0,,,19.0,,,,21.1,17.2,18.5,,17.0,18.2,,,,,17.0,18.4,18.7,18.3,0.0,4.0,0.0,1.5,1.0,1.0,,,2.0,,,,4.1,0.2,1.5,,0.0,1.2,,,,,0.0,1.4,1.7,1.3,False,True,False,False,False,,,False,,,,False,False,False,,True,False,,,,,True,False,False,False
Idaho,79,78.1,92.0,79.0,79.7,76.0,78.0,78.0,,79.5,,,74.0,111.1,78.9,78.2,,74.0,80.2,,,,,77.0,76.5,79.9,76.9,-0.9,13.0,0.0,0.7,-3.0,-1.0,-1.0,,0.5,,,-5.0,32.1,-0.1,-0.8,,-5.0,1.2,,,,,-2.0,-2.5,0.9,-2.1,False,True,True,False,False,False,,True,,,False,False,True,True,,False,False,,,,,False,False,False,False
Illinois,4790,4837.9,5392.0,4909.0,4965.0,4894.0,5194.0,4875.3,,5079.8,,,5226.0,6870.3,4682.6,4945.8,4734.5,5036.5,4849.7,5640.5,5658.3,5640.5,5652.9,4836.0,4754.0,4675.1,4852.5,47.9,602.0,119.0,175.0,104.0,404.0,85.3,,289.8,,,436.0,2080.3,-107.4,155.8,-55.5,246.5,59.7,850.5,868.3,850.5,862.9,46.0,-36.0,-114.9,62.5,False,False,False,False,False,False,,False,,,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Indiana,1964,1959.3,2178.0,1992.0,2027.5,1823.0,2071.0,2169.2,,1796.3,,,2026.0,1734.6,1957.7,2106.0,2253.5,2089.0,1909.7,,,,,1969.0,1995.6,1998.0,1974.7,-4.7,214.0,28.0,63.5,-141.0,107.0,205.2,,-167.7,,,62.0,-229.4,-6.3,142.0,289.5,125.0,-54.3,,,,,5.0,31.6,34.0,10.7,False,False,False,False,False,False,,False,,,False,False,False,False,False,False,False,,,,,False,False,False,False
Iowa,446,424.7,494.0,440.0,454.2,428.0,444.0,442.2,,439.9,,,417.0,688.2,408.9,463.4,,471.0,425.9,,,,,425.0,383.4,436.1,432.3,-21.3,48.0,-6.0,8.2,-18.0,-2.0,-3.8,,-6.1,,,-29.0,242.2,-37.1,17.4,,25.0,-20.1,,,,,-21.0,-62.6,-9.9,-13.7,False,True,True,True,True,True,,True,,,False,False,False,True,,False,True,,,,,True,False,True,True
Kansas,205,213.0,261.0,216.0,217.6,219.0,281.0,210.6,,221.3,,,221.0,284.5,204.6,215.6,,212.0,215.3,,,,,209.0,246.7,212.4,210.7,8.0,56.0,11.0,12.6,14.0,76.0,5.6,,16.3,,,16.0,79.5,-0.4,10.6,,7.0,10.3,,,,,4.0,41.7,7.4,5.7,False,False,False,False,False,True,,False,,,False,False,True,False,,True,False,,,,,True,False,True,True
Kentucky,391,359.7,404.0,364.0,373.6,385.0,428.0,368.8,,386.7,,,379.0,374.6,362.8,368.9,318.0,378.0,361.1,,,,,360.0,402.9,362.3,359.0,-31.3,13.0,-27.0,-17.4,-6.0,37.0,-22.2,,-4.3,,,-12.0,-16.4,-28.2,-22.1,-73.0,-13.0,-29.9,,,,,-31.0,11.9,-28.7,-32.0,True,True,True,True,False,True,,True,,,True,True,True,True,False,True,True,,,,,True,True,True,False
Louisiana,2668,2666.7,2812.0,2691.0,2664.3,2522.0,2460.0,2644.0,,2692.5,,,2598.0,2584.8,2756.2,2628.4,,2640.0,2637.9,,,,,2661.0,2602.2,2591.9,2652.2,-1.3,144.0,23.0,-3.7,-146.0,-208.0,-24.0,,24.5,,,-70.0,-83.2,88.2,-39.6,,-28.0,-30.1,,,,,-7.0,-65.8,-76.1,-15.8,False,False,False,False,False,False,,False,,,False,False,False,False,,False,False,,,,,False,False,False,False
Maine,77,75.1,84.0,76.0,78.4,83.0,86.0,76.2,,73.8,,,88.0,106.7,81.4,74.7,,70.0,77.6,,,,,76.0,77.7,75.9,75.2,-1.9,7.0,-1.0,1.4,6.0,9.0,-0.8,,-3.2,,,11.0,29.7,4.4,-2.3,,-7.0,0.6,,,,,-1.0,0.7,-1.1,-1.8,False,True,True,False,False,True,,False,,,False,False,False,False,,False,True,,,,,True,True,True,True
