,actual_deaths,Baseline,CU-select,IHME-CurveFit,LANL-GrowthRate,UT-Mobility,YYG-ParamSearch,error-Baseline,error-CU-select,error-IHME-CurveFit,error-LANL-GrowthRate,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,549,467.9,281.0,290.0,322.2,356.9,413.8,-81.1,-268.0,-259.0,-226.8,-192.1,-135.2,False,False,False,False,False
Alaska,10,13.9,15.0,16.5,12.2,26.7,22.9,3.9,5.0,6.5,2.2,16.7,12.9,False,False,True,False,False
Arizona,801,470.6,454.0,456.1,519.7,533.6,487.9,-330.4,-347.0,-344.9,-281.3,-267.4,-313.1,False,False,True,True,True
Arkansas,115,97.3,73.0,120.3,59.6,77.1,103.7,-17.7,-42.0,5.3,-55.4,-37.9,-11.3,False,True,False,False,True
California,3737,3785.3,5031.0,1743.4,3522.5,2335.9,2857.8,48.3,1294.0,-1993.6,-214.5,-1401.1,-879.2,False,False,False,False,False
Colorado,1327,1056.3,899.0,648.7,1032.8,615.9,827.0,-270.7,-428.0,-678.3,-294.2,-711.1,-500.0,False,False,False,False,False
Connecticut,3675,3910.1,4252.0,2878.0,2170.6,1944.4,3135.0,235.1,577.0,-797.0,-1504.4,-1730.6,-540.0,False,False,False,False,False
Delaware,322,222.4,1008.0,135.9,131.8,177.3,209.4,-99.6,686.0,-186.1,-190.2,-144.7,-112.6,False,False,False,False,False
District of Columbia,427,319.4,,213.1,255.5,255.8,267.2,-107.6,,-213.9,-171.5,-171.2,-159.8,,False,False,False,False
Florida,2233,2294.3,3444.0,1521.2,1686.2,1291.6,1653.9,61.3,1211.0,-711.8,-546.8,-941.4,-579.1,False,False,False,False,False
Georgia,1822,1920.7,1252.0,1918.1,1491.9,977.9,1548.0,98.7,-570.0,96.1,-330.1,-844.1,-274.0,False,True,False,False,False
Hawaii,17,14.9,17.0,26.1,14.6,23.0,29.1,-2.1,0.0,9.1,-2.4,6.0,12.1,True,False,False,False,False
Idaho,79,126.6,60.0,61.2,59.8,134.3,105.4,47.6,-19.0,-17.8,-19.2,55.3,26.4,True,True,True,False,True
Illinois,4790,4058.6,6339.0,2093.0,3290.0,2259.1,3026.0,-731.4,1549.0,-2697.0,-1500.0,-2530.9,-1764.0,False,False,False,False,False
Indiana,1964,1625.7,1356.0,930.5,1539.3,1020.3,1257.4,-338.3,-608.0,-1033.5,-424.7,-943.7,-706.6,False,False,False,False,False
Iowa,446,240.1,169.0,385.9,391.1,173.1,236.7,-205.9,-277.0,-60.1,-54.9,-272.9,-209.3,False,True,True,False,False
Kansas,205,272.7,145.0,258.5,166.9,163.0,217.7,67.7,-60.0,53.5,-38.1,-42.0,12.7,True,True,True,True,True
Kentucky,391,384.0,191.0,458.7,379.3,245.6,301.3,-7.0,-200.0,67.7,-11.7,-145.4,-89.7,False,False,False,False,False
Louisiana,2668,3510.9,2337.0,1703.8,1680.7,1654.7,2555.4,842.9,-331.0,-964.2,-987.3,-1013.3,-112.6,True,False,False,False,True
Maine,77,106.9,43.0,53.3,55.2,96.0,96.3,29.9,-34.0,-23.7,-21.8,19.0,19.3,False,True,True,True,True
Maryland,2243,1553.9,2833.0,1111.5,1303.2,1010.0,1368.9,-689.1,590.0,-1131.5,-939.8,-1233.0,-874.1,True,False,False,False,False
Massachusetts,6304,6320.3,9211.0,3888.7,5560.0,3672.1,3769.4,16.3,2907.0,-2415.3,-744.0,-2631.9,-2534.6,False,False,False,False,False
Michigan,5460,6820.7,4069.0,3361.2,3809.7,3656.9,5047.4,1520.7,-1231.0,-1938.8,-1490.3,-1643.1,-252.6,True,False,True,False,True
Minnesota,861,444.9,419.0,301.0,450.7,426.4,410.3,-416.1,-442.0,-560.0,-410.3,-434.6,-450.7,False,False,True,False,False
Mississippi,616,465.0,181.0,398.3,356.7,258.7,376.6,-151.0,-435.0,-217.7,-259.3,-357.3,-239.4,False,False,False,False,False
Missouri,765,592.4,640.0,382.2,316.5,357.6,442.8,-129.6,-82.0,-339.8,-405.5,-364.4,-279.2,True,False,False,False,False
Montana,16,29.4,13.0,14.2,12.1,40.0,31.7,13.4,-3.0,-1.8,-3.9,24.0,15.7,True,True,True,False,False
Nebraska,147,81.4,15.0,197.5,138.4,69.9,76.4,-65.6,-132.0,50.5,-8.6,-77.1,-70.6,False,True,True,False,False
Nevada,387,381.4,267.0,240.0,298.7,259.9,313.2,-5.6,-120.0,-147.0,-88.3,-127.1,-73.8,False,False,False,False,False
New Hampshire,208,110.9,223.0,70.3,113.1,96.4,108.5,-97.1,15.0,-137.7,-94.9,-111.6,-99.5,True,False,True,False,False
New Jersey,12869,14134.6,12907.0,7116.0,11685.9,5700.1,9886.9,2408.6,1181.0,-4610.0,-40.1,-6025.9,-1839.1,True,False,True,False,True
New Mexico,308,195.9,111.0,104.7,140.5,201.1,170.5,-112.1,-197.0,-203.3,-167.5,-106.9,-137.5,False,False,False,True,False
New York,30032,43547.7,36189.0,23740.9,39411.9,17248.0,29580.8,13632.7,6274.0,-6174.1,9496.9,-12667.0,-334.2,True,True,True,True,True
North Carolina,778,739.1,296.0,309.8,654.7,559.9,715.0,-38.9,-482.0,-468.2,-123.3,-218.1,-63.0,False,False,False,False,False
North Dakota,52,18.7,9.0,189.4,23.6,23.7,26.5,-33.3,-43.0,137.4,-28.4,-28.3,-25.5,False,False,True,True,True
Ohio,1956,1529.9,1699.0,770.6,2959.5,1036.0,1238.6,-426.1,-257.0,-1185.4,1003.5,-920.0,-717.4,True,False,False,False,False
Oklahoma,311,353.7,171.0,298.6,234.8,226.6,291.1,42.7,-140.0,-12.4,-76.2,-84.4,-19.9,False,True,False,False,True
Oregon,147,180.9,157.0,120.3,141.9,163.1,164.0,33.9,10.0,-26.7,-5.1,16.1,17.0,True,True,True,True,True
Pennsylvania,5112,4768.3,5714.0,2323.2,4041.4,3253.9,3646.7,-343.7,602.0,-2788.8,-1070.6,-1858.1,-1465.3,False,False,False,False,False
Rhode Island,619,572.6,188.0,576.8,530.1,505.9,576.9,-49.4,-434.0,-45.2,-91.9,-116.1,-45.1,False,True,False,False,True
South Carolina,425,304.6,407.0,259.4,244.8,201.7,255.0,-120.4,-18.0,-165.6,-180.2,-223.3,-170.0,True,False,False,False,False
South Dakota,50,11.9,576.0,75.8,34.3,32.9,37.4,-38.1,526.0,25.8,-15.7,-17.1,-12.6,False,True,True,True,True
Tennessee,329,352.0,491.0,234.7,315.7,293.0,296.3,23.0,162.0,-94.3,-13.3,-36.0,-32.7,False,False,True,False,False
Texas,1581,1495.4,1501.0,1158.1,1161.9,1047.4,1190.8,-10.6,-5.0,-347.9,-344.1,-458.6,-315.2,True,False,False,False,False
Utah,97,70.7,219.0,205.6,52.0,105.1,73.3,-26.3,122.0,108.6,-45.0,8.1,-23.7,False,False,False,True,True
