,count,mean,median,std,min,25%,75%,max
COVIDhub-ensemble,51.0,121496.8,9617.8,477668.1,2.6,331.1,44680.9,3251989.1
IowaStateLW-STEM,51.0,122182.3,11881.0,318982.0,1.0,926.5,135713.0,2175625.0
YYG-ParamSearch,51.0,252356.7,6954.5,1116275.0,84.8,542.3,51289.9,7692678.2
MIT_CovidAnalytics-DELPHI,51.0,292707.2,13456.0,979690.5,4.0,289.0,61258.5,5895184.0
CU-select,51.0,465209.0,11236.0,1746592.5,0.0,278.5,132505.0,11142244.0
Baseline_0.98,51.0,487489.8,6215.6,2617979.0,0.0,182.4,55759.2,18579457.6
LANL-GrowthRate,51.0,546190.6,3084.1,2339061.6,0.0,490.6,116983.0,15929021.6
MOBS_NEU-GLEAM_COVID,51.0,562134.4,14321.5,1436560.5,0.6,533.6,182729.8,8068281.4
Baseline,51.0,1283024.0,3152.0,7783596.2,1.0,472.5,32030.9,55640943.4
IHME-CurveFit,51.0,1293432.2,24830.5,4232963.9,0.0,4301.3,156708.4,24441178.2
UT-Mobility,51.0,2372773.4,7819.6,13373203.5,0.0,1850.1,273321.3,94992869.9
UMass-MechBayes,51.0,2721773.0,32761.0,10185079.8,1.0,1296.0,684050.0,65983129.0
