,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,648.0,514.5714285714286,556.0,508.00800000000004,-133.42857142857144,-92.0,-139.99199999999996,True,False
Austria,672.0,694.2857142857143,719.0,645.737,22.285714285714334,47.0,-26.263000000000034,False,False
Belgium,9580.0,11615.285714285714,9869.0,10251.474,2035.2857142857138,289.0,671.4740000000002,True,True
Brazil,35930.0,27572.428571428572,30280.0,32021.429,-8357.571428571428,-5650.0,-3908.571,True,True
Bulgaria,160.0,148.71428571428572,158.0,149.628,-11.285714285714278,-2.0,-10.372000000000014,True,True
Canada,7850.0,9245.285714285714,8627.0,8153.304,1395.2857142857138,777.0,303.3040000000001,True,True
Chile,1541.0,519.8571428571429,543.0,537.609,-1021.1428571428571,-998.0,-1003.391,True,True
Colombia,1204.0,928.4285714285713,956.0,1014.493,-275.57142857142867,-248.0,-189.50699999999995,True,True
Croatia,104.0,131.85714285714286,144.0,120.331,27.85714285714286,40.0,16.331000000000003,False,True
Cyprus,18.0,19.714285714285715,21.0,10.0,1.7142857142857153,3.0,-8.0,False,False
Czechia,327.0,393.42857142857144,350.0,360.353,66.42857142857144,23.0,33.35300000000001,True,True
Denmark,587.0,653.2857142857142,659.0,691.4019999999999,66.28571428571422,72.0,104.40199999999993,False,False
Dominican Republic,536.0,567.5714285714286,533.0,638.2669999999999,31.571428571428555,-3.0,102.26699999999994,True,False
Ecuador,3608.0,4284.428571428572,4211.0,5085.0470000000005,676.4285714285716,603.0,1477.0470000000005,True,False
Egypt,1198.0,893.2857142857142,886.0,979.2360000000001,-304.7142857142858,-312.0,-218.7639999999999,False,True
Estonia,69.0,83.28571428571428,82.0,64.46600000000001,14.285714285714278,13.0,-4.533999999999992,True,True
Finland,322.0,386.14285714285717,399.0,376.996,64.14285714285717,77.0,54.99599999999998,False,True
France,29145.0,32002.0,29570.0,30043.772999999997,2857.0,425.0,898.7729999999974,True,True
Germany,8673.0,10142.142857142857,9520.0,9182.812,1469.1428571428569,847.0,509.8119999999999,True,True
Greece,180.0,169.57142857142858,182.0,164.25900000000001,-10.428571428571416,2.0,-15.740999999999985,True,False
Hungary,545.0,681.0,609.0,594.191,136.0,64.0,49.19100000000003,True,True
Iceland,10.0,10.0,12.0,10.640999999999998,0.0,2.0,0.6409999999999982,False,False
Ireland,1678.0,2016.7142857142858,1831.0,1708.9560000000001,338.7142857142858,153.0,30.95600000000013,True,True
Israel,295.0,343.42857142857144,310.0,271.732,48.428571428571445,15.0,-23.267999999999972,True,True
Italy,33846.0,36904.71428571428,34924.0,33942.364,3058.7142857142826,1078.0,96.3640000000014,True,True
Latvia,25.0,25.428571428571427,28.0,15.932,0.42857142857142705,3.0,-9.068,False,False
Lithuania,71.0,64.85714285714286,65.0,54.413999999999994,-6.142857142857139,-6.0,-16.586000000000006,True,False
Luxembourg,110.0,119.57142857142857,119.0,114.432,9.57142857142857,9.0,4.432000000000002,True,True
Malaysia,117.0,123.85714285714286,132.0,112.053,6.857142857142861,15.0,-4.947000000000003,False,True
Mexico,13511.0,8409.0,7626.0,4835.918,-5102.0,-5885.0,-8675.082,False,False
Moldova,331.0,334.7142857142857,343.0,296.221,3.7142857142857224,12.0,-34.778999999999996,False,False
Netherlands,6030.0,6875.285714285714,6604.0,6631.495,845.2857142857138,574.0,601.4949999999999,True,True
Norway,238.0,261.14285714285717,258.0,224.91099999999997,23.142857142857167,20.0,-13.089000000000027,True,True
Panama,386.0,431.0,407.0,405.97,45.0,21.0,19.970000000000027,True,True
Peru,5301.0,4252.714285714286,3837.0,4105.31,-1048.2857142857138,-1464.0,-1195.6899999999996,False,False
Philippines,994.0,1108.5714285714284,1043.0,1251.195,114.57142857142844,49.0,257.19499999999994,True,False
Poland,1153.0,1230.7142857142858,1226.0,1197.313,77.71428571428578,73.0,44.3130000000001,True,True
Portugal,1474.0,1444.857142857143,1486.0,1446.225,-29.14285714285711,12.0,-27.77500000000009,True,True
Romania,1322.0,1591.142857142857,1595.0,1732.789,269.1428571428571,273.0,410.789,False,False
Slovakia,28.0,29.714285714285715,34.0,24.12,1.7142857142857153,6.0,-3.879999999999999,False,False
Slovenia,109.0,120.57142857142857,121.0,119.022,11.57142857142857,12.0,10.022000000000006,False,True
South Korea,273.0,272.85714285714283,291.0,304.814,-0.14285714285716722,18.0,31.81400000000002,False,False
Spain,27135.0,31632.0,29573.0,29133.07,4497.0,2438.0,1998.0699999999997,True,True
Sweden,4656.0,5064.857142857143,4929.0,4992.85,408.8571428571431,273.0,336.85000000000036,True,True
Switzerland,1921.0,2071.5714285714284,2057.0,1930.86,150.57142857142844,136.0,9.8599999999999,True,True
Turkey,4669.0,5252.428571428572,4721.0,4810.005999999999,583.4285714285716,52.0,141.0059999999994,True,True
Ukraine,785.0,798.0,785.0,734.429,13.0,0.0,-50.571000000000026,True,False
United Kingdom,40548.0,44517.0,40071.0,41103.266,3969.0,-477.0,555.2660000000033,True,True
