,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,648.0,612.7142857142858,616.0,686.265,-35.28571428571422,-32.0,38.264999999999986,True,False
Austria,672.0,661.5714285714286,664.0,642.262,-10.428571428571445,-8.0,-29.738000000000056,True,False
Belgium,9580.0,9709.714285714286,9646.0,9525.076,129.71428571428623,66.0,-54.92400000000089,True,True
Brazil,35930.0,34821.57142857143,35208.0,38803.226,-1108.4285714285725,-722.0,2873.2260000000024,True,False
Bulgaria,160.0,164.28571428571428,163.0,169.21599999999998,4.285714285714278,3.0,9.21599999999998,True,False
Canada,7850.0,7846.428571428572,7660.0,7352.26,-3.5714285714284415,-190.0,-497.7399999999998,False,False
Chile,1541.0,1246.142857142857,1211.0,1491.111,-294.8571428571429,-330.0,-49.888999999999896,False,True
Colombia,1204.0,1020.8571428571429,1048.0,1046.233,-183.1428571428571,-156.0,-157.76700000000005,True,True
Croatia,104.0,108.57142857142857,111.0,100.405,4.571428571428569,7.0,-3.594999999999999,False,True
Cyprus,18.0,17.0,18.0,12.0,-1.0,0.0,-6.0,True,False
Czechia,327.0,351.2857142857143,338.0,339.49199999999996,24.285714285714278,11.0,12.491999999999962,True,True
Denmark,587.0,588.7142857142857,595.0,596.124,1.7142857142856656,8.0,9.124000000000024,False,False
Dominican Republic,536.0,504.57142857142856,504.0,512.005,-31.428571428571445,-32.0,-23.995000000000005,False,True
Ecuador,3608.0,3895.5714285714284,3889.0,5485.241999999999,287.57142857142844,281.0,1877.2419999999993,True,False
Egypt,1198.0,1019.5714285714286,1011.0,989.6160000000001,-178.42857142857144,-187.0,-208.3839999999999,False,False
Estonia,69.0,66.71428571428571,71.0,61.01,-2.285714285714292,2.0,-7.990000000000002,True,False
Finland,322.0,321.7142857142857,335.0,316.671,-0.2857142857142776,13.0,-5.329000000000008,False,False
France,29145.0,29205.714285714286,29368.0,30058.615,60.714285714286234,223.0,913.6150000000016,False,False
Germany,8673.0,8833.57142857143,8790.0,8738.952,160.57142857142935,117.0,65.95199999999932,True,True
Greece,180.0,184.0,181.0,182.00099999999998,4.0,1.0,2.0009999999999764,True,True
Hungary,545.0,540.7142857142858,541.0,520.164,-4.285714285714221,-4.0,-24.836000000000013,True,False
Iceland,10.0,10.0,10.0,10.707,0.0,0.0,0.7070000000000007,False,False
Ireland,1678.0,1707.142857142857,1687.0,1655.239,29.14285714285711,9.0,-22.760999999999967,True,True
Israel,295.0,289.57142857142856,293.0,301.959,-5.428571428571445,-2.0,6.959000000000003,True,False
Italy,33846.0,34368.42857142857,34194.0,34396.212999999996,522.4285714285725,348.0,550.2129999999961,True,False
Japan,915.0,968.8571428571429,901.0,965.927,53.85714285714289,-14.0,50.92700000000002,True,True
Latvia,25.0,27.142857142857142,25.0,22.296,2.1428571428571423,0.0,-2.7040000000000006,True,False
Lithuania,71.0,69.85714285714286,69.0,75.179,-1.1428571428571388,-2.0,4.179000000000002,False,False
Luxembourg,110.0,115.14285714285714,114.0,109.28399999999999,5.142857142857139,4.0,-0.7160000000000082,True,True
Malaysia,117.0,118.42857142857143,120.0,115.007,1.4285714285714306,3.0,-1.992999999999995,False,False
Mexico,13511.0,11577.571428571428,11983.0,4835.918,-1933.4285714285725,-1528.0,-8675.082,True,False
Moldova,331.0,336.42857142857144,338.0,292.218,5.428571428571445,7.0,-38.78199999999998,False,False
Netherlands,6030.0,6082.142857142857,6160.0,6018.744000000001,52.14285714285688,130.0,-11.255999999999403,False,True
Norway,238.0,238.42857142857142,243.0,242.067,0.4285714285714164,5.0,4.067000000000007,False,False
Panama,386.0,363.14285714285717,360.0,346.526,-22.857142857142833,-26.0,-39.47399999999999,False,False
Peru,5301.0,5069.0,5234.0,8427.513,-232.0,-67.0,3126.513000000001,True,False
Philippines,994.0,945.0,961.0,933.17,-49.0,-33.0,-60.83000000000004,True,False
Poland,1153.0,1128.7142857142858,1156.0,1114.556,-24.28571428571422,3.0,-38.44399999999996,True,False
Portugal,1474.0,1499.7142857142858,1441.0,1442.558,25.71428571428578,-33.0,-31.442000000000007,False,False
Romania,1322.0,1350.7142857142858,1397.0,1273.764,28.71428571428578,75.0,-48.236000000000104,False,False
Russia,5717.0,5194.714285714286,5107.0,5015.8820000000005,-522.2857142857138,-610.0,-701.1179999999995,False,False
Serbia,248.0,252.71428571428572,262.0,266.605,4.714285714285722,14.0,18.605000000000018,False,False
Slovakia,28.0,28.0,30.0,22.0,0.0,2.0,-6.0,False,False
Slovenia,109.0,112.14285714285714,111.0,105.646,3.142857142857139,2.0,-3.353999999999999,True,False
South Korea,273.0,279.2857142857143,280.0,262.653,6.285714285714278,7.0,-10.34699999999998,False,False
Spain,27135.0,25334.0,29660.0,29148.15,-1801.0,2525.0,2013.1500000000015,False,False
Sweden,4656.0,4596.428571428572,4494.0,4596.31,-59.57142857142844,-162.0,-59.6899999999996,False,False
Switzerland,1921.0,1959.2857142857142,1972.0,1923.421,38.28571428571422,51.0,2.421000000000049,False,True
Turkey,4669.0,4708.428571428572,4662.0,4579.985,39.42857142857156,-7.0,-89.01500000000033,True,False
Ukraine,785.0,773.8571428571429,799.0,757.6339999999999,-11.14285714285711,14.0,-27.3660000000001,False,False
United Kingdom,40548.0,40630.28571428571,39887.0,40322.471,82.28571428571013,-661.0,-225.52900000000227,False,False
