,mean_rank
UMass-MechBayes,12.3
COVIDhub-ensemble,13.2
Karlen-pypm,14.8
SteveMcConnell-CovidComplete,15.0
LNQ-ens1,15.3
Microsoft-DeepSTIA,16.0
GT-DeepCOVID,16.1
MOBS-GLEAM_COVID,16.6
MIT_CritData-GBCF,17.0
epiforecasts-ensemble1,17.0
UT-Mobility,17.4
USC-SI_kJalpha,17.7
UA-EpiCovDA,17.8
RobertWalraven-ESG,18.0
Google_Harvard-CPF,18.0
JHU_CSSE-DECOM,18.0
Caltech-CS156,18.3
COVIDhub-baseline,18.4
UCLA-SuEIR,18.6
CEID-Walk,18.9
LANL-GrowthRate,19.2
CMU-TimeSeries,19.3
UCSD_NEU-DeepGLEAM,20.6
OliverWyman-Navigator,20.9
PSI-DRAFT,22.0
IowaStateLW-STEM,22.0
JHU_IDD-CovidSP,22.1
AIpert-pwllnod,22.6
CovidAnalytics-DELPHI,22.6
BPagano-RtDriven,22.8
MITCovAlliance-SIR,23.1
DDS-NBDS,24.0
JHUAPL-Bucky,24.7
Covid19Sim-Simulator,24.9
UMich-RidgeTfReg,25.3
TTU-squider,25.7
UCSB-ACTS,26.3
CU-select,26.5
WalmartLabsML-LogForecasting,31.4
