,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,7566,5562.6,5676.6,11443.0,6488.9,,6526.2,6230.0,8034.2,6505.0,,4832.0,4684.4,-2003.4,-1889.4,3877.0,-1077.1,,-1039.8,-1336.0,468.2,-1061.0,,-2734.0,-2881.6,True,False,True,,True,True,True,True,,False,False
Alaska,262,402.3,407.0,357.0,388.7,,305.1,,324.2,336.7,,353.5,232.4,140.3,145.0,95.0,126.7,,43.1,,62.2,74.7,,91.5,-29.6,False,True,True,,True,,True,True,,True,True
Arizona,13098,10147.9,10100.6,12272.0,10980.8,,10278.0,10446.0,13337.4,10868.6,,9390.3,8018.8,-2950.1,-2997.4,-826.0,-2117.2,,-2820.0,-2652.0,239.4,-2229.4,,-3707.7,-5079.2,False,True,True,,True,True,True,True,,False,False
Arkansas,4838,4899.3,4948.6,4637.0,3941.1,,3806.0,4964.0,4957.9,3798.8,,5194.0,3471.8,61.3,110.6,-201.0,-896.9,,-1032.0,126.0,119.9,-1039.2,,356.0,-1366.2,False,False,False,,False,False,False,False,,False,False
California,40702,28665.1,28576.0,61235.0,32437.3,,35469.6,29078.0,39089.6,40634.3,,27978.0,23087.7,-12030.9,-12120.0,20539.0,-8258.7,,-5226.4,-11618.0,-1606.4,-61.7,,-12718.0,-17608.3,False,False,True,,True,True,True,True,,False,False
Colorado,5620,8086.0,7467.2,5393.0,6103.4,,5581.9,8290.0,7351.9,4923.7,,5200.8,4505.5,2466.0,1847.2,-227.0,483.4,,-38.1,2670.0,1731.9,-696.3,,-419.2,-1114.5,True,True,True,,True,False,True,True,,True,True
Connecticut,7046,6851.0,6883.8,8273.0,7082.4,,7327.1,6996.0,7851.5,7162.5,,6240.9,5535.4,-195.0,-162.2,1227.0,36.4,,281.1,-50.0,805.5,116.5,,-805.1,-1510.6,True,False,True,,False,True,False,True,,False,False
Delaware,1301,973.7,1047.7,1140.0,1052.1,,992.6,1125.0,1115.1,1151.9,,1059.2,880.6,-243.3,-169.3,-77.0,-164.9,,-224.4,-92.0,-101.9,-65.1,,-157.8,-336.4,True,True,True,,True,True,True,True,,True,False
District of Columbia,909,838.4,839.0,990.0,888.5,,853.6,832.0,936.8,894.5,,785.2,746.1,-70.6,-70.0,81.0,-20.5,,-55.4,-77.0,27.8,-14.5,,-123.8,-162.9,True,False,True,,True,False,True,True,,False,False
Florida,26360,24590.6,24695.7,26143.0,25816.1,,25076.4,24764.0,27536.3,24135.9,,24131.0,21913.2,-1769.4,-1664.3,-217.0,-543.9,,-1283.6,-1596.0,1176.3,-2224.1,,-2229.0,-4446.8,True,True,True,,True,True,True,False,,False,False
Georgia,14196,11927.4,12050.2,19617.0,12215.5,,13840.2,12941.0,14470.5,14426.1,,11647.7,10861.8,-2268.6,-2145.8,5421.0,-1980.5,,-355.8,-1255.0,274.5,230.1,,-2548.3,-3334.2,True,False,True,,True,True,True,True,,False,False
Hawaii,406,356.3,341.7,430.0,316.2,,371.3,,350.2,336.1,,299.7,306.2,-49.7,-64.3,24.0,-89.8,,-34.7,,-55.8,-69.9,,-106.3,-99.8,False,True,False,,True,,False,False,,False,False
Idaho,1725,2135.0,2127.8,2152.0,1797.7,,1802.0,2207.0,2498.7,1808.9,,1886.9,1452.9,410.0,402.8,427.0,72.7,,77.0,482.0,773.7,83.9,,161.9,-272.1,True,False,True,,True,False,False,True,,True,True
Illinois,21213,23725.3,23739.0,19291.0,20576.2,,21426.1,23612.0,23900.1,18393.1,,21795.8,17349.9,2512.3,2526.0,-1922.0,-636.8,,213.1,2399.0,2687.1,-2819.9,,582.8,-3863.1,False,True,True,,True,True,False,False,,True,False
Indiana,11262,10665.6,10614.2,9423.0,10273.5,,9672.1,11144.0,12077.2,9030.4,,9723.3,7503.6,287.6,236.2,-955.0,-104.5,,-705.9,766.0,1699.2,-1347.6,,-654.7,-2874.4,True,False,True,,False,False,False,False,,False,False
Iowa,4651,6582.7,6890.8,3790.0,3805.9,,3760.1,6363.0,4423.0,3196.5,,4453.1,3956.3,1931.7,2239.8,-861.0,-845.1,,-890.9,1712.0,-228.0,-1454.5,,-197.9,-694.7,False,True,True,,True,True,True,True,,True,True
Kansas,3767,4033.1,4074.4,3025.0,3194.4,,3959.0,4260.0,4536.7,2714.5,,3478.4,2276.4,266.1,307.4,-742.0,-572.6,,192.0,493.0,769.7,-1052.5,,-288.6,-1490.6,False,False,False,,True,False,False,False,,False,False
Kentucky,3714,3132.7,3102.3,3443.0,3512.8,,3377.7,3668.5,3816.0,3051.0,,3225.8,2586.7,-581.3,-611.7,-271.0,-201.2,,-336.3,-45.5,102.0,-663.0,,-488.2,-1127.3,False,True,True,,True,True,True,False,,True,False
Louisiana,8801,8422.6,8302.2,7939.0,8639.8,,8164.9,8531.0,9053.1,8410.9,,8457.4,7407.4,-378.4,-498.8,-862.0,-161.2,,-636.1,-270.0,252.1,-390.1,,-343.6,-1393.6,False,False,True,,False,True,True,False,,True,False
Maine,590,462.7,467.0,692.0,550.4,,474.4,675.0,739.9,620.0,,350.8,292.5,-127.3,-123.0,102.0,-39.6,,-115.6,85.0,149.9,30.0,,-239.2,-297.5,True,True,True,,True,True,False,True,,False,False
Maryland,7107,6975.3,7060.0,6893.0,7346.4,,7691.7,6900.0,8132.8,6666.6,,6593.7,5465.0,-131.7,-47.0,-214.0,239.4,,584.7,-207.0,1025.8,-440.4,,-513.3,-1642.0,True,False,False,,False,False,False,False,,False,False
Massachusetts,14531,13714.7,13787.7,21024.0,14116.1,,13213.5,14163.0,16481.0,15398.4,,13350.6,11939.4,-816.3,-743.3,6493.0,-414.9,,-1317.5,-368.0,1950.0,867.4,,-1180.4,-2591.6,True,False,True,,False,True,False,False,,False,False
Michigan,15525,17188.1,17312.0,14452.0,16120.9,,16235.8,17088.0,19202.2,14092.6,,14150.7,12148.9,1663.1,1787.0,-1073.0,595.9,,710.8,1563.0,3677.2,-1432.4,,-1374.3,-3376.1,False,True,True,,True,True,False,True,,True,False
Minnesota,6255,7657.3,7490.8,5600.0,6891.5,,6393.5,8465.0,7656.4,5658.9,,7326.0,5249.8,1402.3,1235.8,-655.0,636.5,,138.5,2210.0,1401.4,-596.1,,1071.0,-1005.2,True,True,True,,True,False,True,True,,True,True
Mississippi,6018,5831.0,5797.1,8885.0,5691.0,,4910.8,5762.0,7121.5,6061.4,,5848.0,4671.9,-187.0,-220.9,2867.0,-327.0,,-1107.2,-256.0,1103.5,43.4,,-170.0,-1346.1,False,False,False,,False,False,False,True,,True,False
Missouri,7070,6837.6,6881.3,5853.0,6182.8,,6036.8,8387.0,6981.7,5439.5,,5652.3,5107.8,-203.4,-159.7,-1188.0,-858.2,,-1004.2,1346.0,-59.3,-1601.5,,-1388.7,-1933.2,True,False,False,,False,False,True,False,,False,False
Montana,1232,1380.3,1390.2,1019.0,1164.9,,1035.0,1560.0,1251.8,1025.4,,1463.5,1005.1,148.3,158.2,-213.0,-67.1,,-197.0,328.0,19.8,-206.6,,231.5,-226.9,False,False,True,,False,False,True,False,,False,False
Nebraska,1920,2525.0,2561.8,1963.0,2238.3,,2162.7,2871.0,2540.2,1889.1,,1828.9,1740.3,605.0,641.8,43.0,318.3,,242.7,951.0,620.2,-30.9,,-91.1,-179.7,False,True,True,,True,False,False,True,,True,True
Nevada,4264,4075.0,4053.2,4139.0,4305.2,,3900.0,3935.0,4907.0,3816.9,,3942.0,2901.9,-189.0,-210.8,-125.0,41.2,,-364.0,-329.0,643.0,-447.1,,-322.0,-1362.1,False,True,True,,False,False,False,False,,False,False
New Hampshire,1042,870.4,887.0,1319.0,909.0,,1201.7,1070.0,1283.2,1072.5,,811.6,646.9,-171.6,-155.0,277.0,-133.0,,159.7,28.0,241.2,30.5,,-230.4,-395.1,True,False,True,,True,True,False,True,,False,False
New Jersey,21455,20699.6,20727.8,20489.0,20722.3,,20667.3,20440.0,21732.5,19920.7,,21263.3,18288.3,-755.4,-727.2,-966.0,-732.7,,-787.7,-1015.0,277.5,-1534.3,,-191.7,-3166.7,True,False,True,,False,False,True,False,,True,False
New Mexico,3265,3383.3,3138.4,2509.0,3596.5,,3547.7,3513.0,3917.1,2535.0,,2350.0,2348.2,118.3,-126.6,-756.0,331.5,,282.7,248.0,652.1,-730.0,,-915.0,-916.8,False,False,False,,False,False,False,False,,False,False
New York,43453,39664.4,39420.4,43400.0,41529.4,,40969.5,40002.0,42597.5,44280.3,,40245.2,35752.1,-3725.6,-3969.6,10.0,-1860.6,,-2420.5,-3388.0,-792.5,890.3,,-3144.8,-7637.9,False,True,True,,True,True,True,True,,True,False
North Carolina,9287,7743.0,7755.8,15112.0,8432.1,,8183.4,8634.0,9689.2,9321.4,,7529.8,6636.0,-1544.0,-1531.2,5825.0,-854.9,,-1103.6,-653.0,402.2,34.4,,-1757.2,-2651.0,True,False,True,,True,True,True,True,,False,False
North Dakota,1447,2064.0,2124.6,1350.0,1440.2,,1336.0,2311.0,1571.6,1378.2,,1816.1,1421.6,617.0,677.6,-97.0,-6.8,,-111.0,864.0,124.6,-68.8,,369.1,-25.4,False,True,True,,True,False,True,True,,True,True
Ohio,16951,11146.9,11194.2,12786.0,12682.1,,11922.5,13367.0,14490.4,12357.9,,12162.8,8481.9,-3023.1,-2975.8,-1384.0,-1487.9,,-2247.5,-803.0,320.4,-1812.1,,-2007.2,-5688.1,True,True,True,,True,True,True,True,,True,False
Oklahoma,3504,3216.0,3218.2,2671.0,3043.3,,2653.1,3721.0,3393.3,2563.5,,3320.9,2440.5,-288.0,-285.8,-833.0,-460.7,,-850.9,217.0,-110.7,-940.5,,-183.1,-1063.5,True,False,False,,False,True,True,False,,True,False
Oregon,1957,1991.6,2011.2,2228.0,2274.9,,2947.1,2170.0,2598.4,2060.7,,2030.0,1386.3,34.6,54.2,271.0,317.9,,990.1,213.0,641.4,103.7,,73.0,-570.7,False,False,False,,False,False,False,False,,False,False
Pennsylvania,21562,20958.6,20628.7,26547.0,22417.9,,19730.8,22534.0,29224.7,21930.6,,18671.7,13693.7,-603.4,-933.3,4985.0,855.9,,-1831.2,972.0,7662.7,368.6,,-2890.3,-7868.3,False,False,False,,False,False,False,True,,False,False
Rhode Island,2333,2167.3,2180.6,2662.0,2131.9,,2014.1,2049.5,2508.3,2145.9,,1987.9,1531.4,-22.7,-9.4,472.0,-58.1,,-175.9,-140.5,318.3,-44.1,,-202.1,-658.6,True,False,False,,False,False,False,False,,False,False
South Carolina,7014,5925.3,5860.2,9147.0,5871.8,,5534.8,5985.0,6632.2,6499.7,,5789.6,5236.3,-1088.7,-1153.8,2133.0,-1142.2,,-1479.2,-1029.0,-381.8,-514.3,,-1224.4,-1777.7,False,False,False,,False,True,True,True,,False,False
South Dakota,1775,2280.7,2307.0,1631.0,1981.2,,1987.9,2548.0,2322.2,1672.5,,1660.0,1693.3,505.7,532.0,-144.0,206.2,,212.9,773.0,547.2,-102.5,,-115.0,-81.7,False,True,True,,True,False,False,True,,True,True
Tennessee,9574,9020.9,8865.4,10233.0,8466.2,,7459.0,9283.0,10402.2,8812.8,,9285.7,6404.5,-553.1,-708.6,659.0,-1107.8,,-2115.0,-291.0,828.2,-761.2,,-288.3,-3169.5,False,False,False,,False,True,False,False,,True,False
Texas,36924,32731.4,33390.6,33105.0,33384.0,,29976.3,35949.0,38017.1,35232.4,,30902.8,27482.0,-3955.6,-3296.4,-3582.0,-3303.0,,-6710.7,-738.0,1330.1,-1454.6,,-5784.2,-9205.0,True,True,True,,False,True,True,True,,False,False
Utah,1663,1850.4,1730.8,1372.0,2051.5,,1659.5,1931.0,1846.4,1344.5,,1655.1,922.8,187.4,67.8,-291.0,388.5,,-3.5,268.0,183.4,-318.5,,-7.9,-740.2,True,False,False,,True,False,True,False,,True,False
Vermont,173,204.7,207.0,172.0,178.0,,152.8,250.0,256.4,168.0,,161.4,102.1,31.7,34.0,-1.0,5.0,,-20.2,77.0,83.4,-5.0,,-11.6,-70.9,False,True,True,,True,False,False,True,,True,False
Virginia,6449,5857.9,5895.0,7912.0,6124.5,,5014.4,6134.0,6775.2,6565.6,,5710.3,4888.2,-591.1,-554.0,1463.0,-324.5,,-1434.6,-315.0,326.2,116.6,,-738.7,-1560.8,True,False,True,,False,True,True,True,,False,False
Washington,4285,2563.6,2879.0,3449.0,4730.4,,4747.4,4236.0,4863.5,4421.8,,4017.3,3181.4,-1659.4,-1344.0,-774.0,507.4,,524.4,13.0,640.5,198.8,,-205.7,-1041.6,True,True,True,,True,True,True,True,,True,True
