,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,7566,5517.1,4990.8,6168.6,5910.0,4856.2,-2048.9,-2575.2,-1397.4,-1656.0,-2709.8,False,True,True,False
Alaska,262,152.3,475.2,238.3,,270.8,-109.7,213.2,-23.7,,8.8,False,True,,True
Arizona,13098,8060.9,11149.0,11813.3,8138.0,7600.2,-5037.1,-1949.0,-1284.7,-4960.0,-5497.8,True,True,True,False
Arkansas,4838,4072.1,4411.7,3391.8,4209.0,5018.5,-765.9,-426.3,-1446.2,-629.0,180.5,True,False,True,True
California,40702,23299.7,26625.4,28173.2,23130.0,23334.0,-17401.3,-14075.6,-12527.8,-17571.0,-17367.0,True,True,False,True
Colorado,5620,5368.9,6932.3,6754.4,5492.0,5695.2,-251.1,1312.3,1134.4,-128.0,75.2,False,False,True,True
Connecticut,7046,5725.0,7467.8,7016.4,6164.0,6049.6,-1321.0,421.8,-29.6,-882.0,-996.4,True,True,True,True
Delaware,1081,866.3,1201.2,1107.5,951.0,863.0,-214.7,120.2,26.5,-130.0,-218.0,True,True,True,False
District of Columbia,909,768.6,825.1,911.8,712.0,773.3,-140.4,-83.9,2.8,-197.0,-135.7,True,True,False,True
Florida,26360,22653.4,23066.4,23554.5,22752.0,22576.7,-3706.6,-3293.6,-2805.5,-3608.0,-3783.3,True,True,True,False
Georgia,14196,11573.6,20516.7,15104.6,11895.0,10842.3,-2622.4,6320.7,908.6,-2301.0,-3353.7,False,True,True,False
Hawaii,406,341.4,327.3,261.3,,278.9,-64.6,-78.7,-144.7,,-127.1,False,False,,False
Idaho,1725,1736.1,2031.9,1958.1,1788.0,1598.0,11.1,306.9,233.1,63.0,-127.0,False,False,False,False
Illinois,21213,20803.1,25732.3,21240.4,20363.0,23828.4,-408.9,4520.3,28.4,-849.0,2616.4,False,True,False,False
Indiana,9967,9198.6,12945.7,9054.4,9750.0,10460.2,-768.4,2978.7,-912.6,-217.0,493.2,False,False,True,True
Iowa,4651,4301.6,6208.1,4533.0,4378.0,4620.2,-349.4,1557.1,-118.0,-273.0,-30.8,False,True,True,True
Kansas,3767,2725.7,3310.2,2613.0,2958.0,3298.1,-957.3,-372.8,-1070.0,-725.0,-384.9,True,False,True,True
Kentucky,3714,3029.0,3543.2,3914.9,3153.5,3552.5,-685.0,-170.8,200.9,-560.5,-161.5,True,True,True,True
Louisiana,8801,7630.1,8754.9,10673.8,8644.0,7676.7,-1170.9,-46.1,1872.8,-157.0,-1124.3,True,False,True,True
Maine,590,284.4,656.2,386.1,330.0,226.6,-305.6,66.2,-203.9,-260.0,-363.4,True,True,True,False
Maryland,7107,5735.1,6668.8,7532.4,5936.0,5433.1,-1371.9,-438.2,425.4,-1171.0,-1673.9,True,True,True,False
Massachusetts,14531,12315.9,14857.6,13586.2,12888.0,12493.3,-2215.1,326.6,-944.8,-1643.0,-2037.7,True,True,True,True
Michigan,15525,13793.7,21647.0,16141.3,15770.0,11436.6,-1731.3,6122.0,616.3,245.0,-4088.4,False,True,True,False
Minnesota,6255,6609.0,11165.2,7159.3,8002.0,7072.2,354.0,4910.2,904.3,1747.0,817.2,False,False,False,False
Mississippi,6018,4987.0,4796.6,5270.8,5001.0,5069.9,-1031.0,-1221.4,-747.2,-1017.0,-948.1,False,True,True,True
Missouri,7040,5460.7,8768.3,6768.8,6126.0,5122.1,-1585.3,1722.3,-277.2,-920.0,-1923.9,False,True,True,False
Montana,1232,1421.1,1794.1,920.0,1679.0,1348.6,189.1,562.1,-312.0,447.0,116.6,False,False,False,True
