,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,7566,3946.9,5231.4,7247.6,3686.0,,3504.4,-3619.1,-2334.6,-318.4,-3880.0,,-4061.6,True,True,False,,False
Alaska,262,81.9,296.5,263.5,,,98.5,-180.1,34.5,1.5,,,-163.5,True,True,,,True
Arizona,13098,6525.3,7310.1,7260.9,6417.0,,6643.1,-6572.7,-5787.9,-5837.1,-6681.0,,-6454.9,True,True,False,,True
Arkansas,4838,3308.6,3821.6,3930.4,3495.0,,2732.3,-1529.4,-1016.4,-907.6,-1343.0,,-2105.7,True,True,True,,False
California,40702,22609.9,25071.3,31118.4,20382.0,,21269.7,-18092.1,-15630.7,-9583.6,-20320.0,,-19432.3,True,True,False,,False
Colorado,5620,2874.3,4292.9,5986.6,2674.0,,2426.2,-2745.7,-1327.1,366.6,-2946.0,,-3193.8,True,True,False,,False
Connecticut,7046,5062.0,5584.5,5094.6,4753.0,,4718.9,-1984.0,-1461.5,-1951.4,-2293.0,,-2327.1,True,True,False,,False
Delaware,1081,902.7,881.4,1036.3,771.0,,759.3,-178.3,-199.6,-44.7,-310.0,,-321.7,False,True,False,,False
District of Columbia,909,655.9,761.8,946.6,666.0,,659.7,-253.1,-147.2,37.6,-243.0,,-249.3,True,True,True,,True
Florida,26360,22831.0,24891.6,28871.7,20970.0,,20466.5,-3529.0,-1468.4,2511.7,-5390.0,,-5893.5,True,True,False,,False
Georgia,14196,10178.6,11278.6,13319.4,9830.0,,9987.9,-4017.4,-2917.4,-876.6,-4366.0,,-4208.1,True,True,False,,False
Hawaii,406,558.4,473.0,612.3,,,291.4,152.4,67.0,206.3,,,-114.6,True,False,,,True
Idaho,1725,1196.6,1294.4,1225.3,999.0,,913.0,-528.4,-430.6,-499.7,-726.0,,-812.0,True,True,False,,False
Illinois,21213,13946.0,17949.8,18155.9,12456.0,,11563.7,-7267.0,-3263.2,-3057.1,-8757.0,,-9649.3,True,True,False,,False
Indiana,9967,6804.4,8964.9,8955.4,6318.0,,5142.6,-3162.6,-1002.1,-1011.6,-3649.0,,-4824.4,True,True,False,,False
Iowa,4651,3062.3,3351.0,3837.1,2587.0,,2463.8,-1588.7,-1300.0,-813.9,-2064.0,,-2187.2,True,True,False,,False
Kansas,3767,2300.1,2437.7,3624.5,1715.0,,1569.8,-1447.9,-1310.3,-123.5,-2033.0,,-2178.2,True,True,False,,False
Kentucky,3714,2640.3,2833.8,3657.8,2406.0,,2401.8,-1073.7,-880.2,-56.2,-1308.0,,-1312.2,True,True,False,,False
Louisiana,8801,7042.6,7174.7,8517.6,6948.0,,7474.9,-1758.4,-1626.3,-283.4,-1853.0,,-1326.1,True,True,False,,True
Maine,590,146.0,168.3,206.5,189.0,,151.2,-444.0,-421.7,-383.5,-401.0,,-438.8,True,True,True,,True
Maryland,7107,4913.6,4808.5,6497.4,4419.0,36162.0,4376.2,-2193.4,-2298.5,-609.6,-2688.0,29055.0,-2730.8,False,True,False,False,False
Massachusetts,14531,11623.9,13119.9,13312.0,11114.0,,10324.4,-2907.1,-1411.1,-1219.0,-3417.0,,-4206.6,True,True,False,,False
Michigan,15525,10044.0,12202.3,13404.1,10054.0,,8258.1,-5481.0,-3322.7,-2120.9,-5471.0,,-7266.9,True,True,True,,False
