,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,7566,4344.9,3440.8,3446.0,,-3221.1,-4125.2,-4120.0,,False,False,
Alaska,262,91.7,334.2,,,-170.3,72.2,,,True,,
Arizona,13098,6599.4,7904.8,6614.0,,-6498.6,-5193.2,-6484.0,,True,True,
Arkansas,4838,3852.4,3460.0,3550.0,,-985.6,-1378.0,-1288.0,,False,False,
California,40702,23429.3,24336.7,20288.0,,-17272.7,-16365.3,-20414.0,,True,False,
Colorado,5620,2826.6,2912.5,2421.5,,-2793.4,-2707.5,-3198.5,,True,False,
Connecticut,7046,4799.6,4832.2,4679.0,,-2246.4,-2213.8,-2367.0,,True,False,
Delaware,1081,796.7,824.7,767.0,,-284.3,-256.3,-314.0,,True,False,
District of Columbia,909,732.1,715.0,667.0,,-176.9,-194.0,-242.0,,False,False,
Florida,26360,26353.0,23183.5,20718.0,,-7.0,-3176.5,-5642.0,,False,False,
Georgia,14196,11443.7,9931.1,9488.0,,-2752.3,-4264.9,-4708.0,,False,False,
Hawaii,406,375.1,341.9,,,-30.9,-64.1,,,False,,
Idaho,1725,903.4,1096.4,800.0,,-821.6,-628.6,-925.0,,True,False,
Illinois,21213,12242.9,12446.3,11359.0,,-8970.1,-8766.7,-9854.0,,True,False,
Indiana,9967,5612.6,5970.8,4928.0,,-4354.4,-3996.2,-5039.0,,True,False,
Iowa,4651,2651.3,2683.9,2224.0,,-1999.7,-1967.1,-2427.0,,True,False,
Kansas,3767,2106.0,1580.8,1566.0,,-1661.0,-2186.2,-2201.0,,False,False,
Kentucky,3714,1933.9,2587.2,2079.0,,-1780.1,-1126.8,-1635.0,,True,True,
Louisiana,8801,6891.9,6843.9,6730.0,,-1909.1,-1957.1,-2071.0,,False,False,
Maine,590,158.9,168.1,200.0,,-431.1,-421.9,-390.0,,True,True,
Maryland,7107,4649.1,4559.7,4300.0,20989.0,-2457.9,-2547.3,-2807.0,13882.0,False,False,False
Massachusetts,14531,11094.6,13527.4,10439.0,,-3436.4,-1003.6,-4092.0,,True,False,
Michigan,15525,8725.4,8956.3,8198.0,,-6799.6,-6568.7,-7327.0,,True,False,
Minnesota,6255,3161.3,3674.9,3354.0,,-3093.7,-2580.1,-2901.0,,True,True,
Mississippi,6018,4496.4,4190.9,4704.0,,-1521.6,-1827.1,-1314.0,,False,True,
Missouri,7040,6198.0,4765.2,3852.0,,-858.0,-2290.8,-3204.0,,False,False,
Montana,1232,574.7,1814.1,536.0,,-657.3,582.1,-696.0,,True,False,
Nebraska,1920,804.4,1078.0,916.0,,-1115.6,-842.0,-1004.0,,True,True,
Nevada,4264,2263.6,3021.8,1963.0,,-2000.4,-1242.2,-2301.0,,True,False,
New Hampshire,1042,662.1,542.2,523.0,,-379.9,-499.8,-519.0,,False,False,
New Jersey,21455,16776.6,18136.7,16542.5,,-4678.4,-3318.3,-4912.5,,True,False,
New Mexico,3265,1212.3,2562.3,1176.0,,-2052.7,-702.7,-2089.0,,True,False,
New York,43453,34705.3,36134.2,33963.0,,-8572.7,-7143.8,-9315.0,,True,False,
North Carolina,9287,5926.6,6881.2,6396.0,,-3360.4,-2405.8,-2891.0,,True,True,
North Dakota,1447,1336.0,1263.0,955.0,,-111.0,-184.0,-492.0,,False,False,
Ohio,11121,6172.4,7884.5,6955.0,,-4948.6,-3236.5,-4166.0,,True,True,
Oklahoma,3504,1843.3,2182.3,2126.0,,-1660.7,-1321.7,-1378.0,,True,True,
Oregon,1957,1027.1,1107.0,852.0,,-929.9,-850.0,-1105.0,,True,False,
Pennsylvania,21562,10470.7,11040.0,9851.0,,-11091.3,-10522.0,-11711.0,,True,False,
Rhode Island,2154,1320.3,1443.4,1259.0,,-833.7,-710.6,-895.0,,True,False,
South Carolina,7014,5121.9,4792.3,5003.0,,-1892.1,-2221.7,-2011.0,,False,False,
South Dakota,1775,888.6,995.1,681.0,,-886.4,-779.9,-1094.0,,True,False,
Tennessee,9574,5779.9,5706.2,5452.0,,-3794.1,-3867.8,-4122.0,,False,False,
Texas,36924,27294.0,27682.8,24578.0,18956.0,-9362.0,-8973.2,-12078.0,-17700.0,True,False,False
Utah,1663,1135.4,1446.2,956.0,,-527.6,-216.8,-707.0,,True,False,
Vermont,173,58.0,80.2,59.0,,-115.0,-92.8,-114.0,,True,True,
Virginia,6449,4702.9,5068.8,4230.0,,-1743.1,-1377.2,-2216.0,,True,False,
Washington,4285,2951.1,3005.8,2654.0,,-1352.9,-1298.2,-1650.0,,True,False,
West Virginia,2015,718.0,731.2,765.0,,-1297.0,-1283.8,-1250.0,,True,True,
Wisconsin,6430,2860.4,3571.3,2708.0,,-3438.6,-2727.7,-3591.0,,True,False,
Wyoming,596,69.9,265.3,102.0,,-526.1,-330.7,-494.0,,True,True,
US,439530,294799.0,317213.6,279577.0,284401.0,-144187.0,-121772.4,-159409.0,-154585.0,True,False,False
