,total_deaths_2020-12-13,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
IowaStateLW-STEM,303457,438577.0,447084,139409.0,143627,-4218.0,-2.9%
IBF-TimeSeries,303457,438326.0,447084,139158.0,143627,-4469.0,-3.1%
QJHong-Encounter,303457,434436.7,447084,135268.7,143627,-8358.3,-5.8%
Covid19Sim-Simulator,303457,421663.4,447084,122495.4,143627,-21131.6,-14.7%
JHUAPL-Bucky,303457,416341.8,447084,117173.8,143627,-26453.2,-18.4%
Baseline,303457,414512.0,447084,115344.0,143627,-28283.0,-19.7%
COVIDhub-baseline,303457,414235.3,447084,115067.3,143627,-28559.7,-19.9%
JCB-PRM,303457,477519.1,447084,178351.1,143627,34724.1,24.2%
IHME-CurveFit,303457,404797.0,447084,105629.0,143627,-37998.0,-26.5%
Columbia_UNC-SurvCon,303457,481031.0,447084,181863.0,143627,38236.0,26.6%
UCLA-SuEIR,303457,398350.5,447084,99182.5,143627,-44444.5,-30.9%
WalmartLabsML-LogForecasting,303457,331937.2,447084,32769.2,143627,-110857.8,-77.2%
