,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Alabama,7566,6070.0,6779.3,6111.1,7685.0,6586.1,6351.0,,6962.1,6062.0,7726.8,6213.0,6472.1,6068.0,6401.5,,5872.6,5923.9,4947.8,-1496.0,-786.7,-1454.9,119.0,-979.9,-1215.0,,-603.9,-1504.0,160.8,-1353.0,-1093.9,-1498.0,-1164.5,,-1693.4,-1642.1,-2618.2,True,True,True,True,True,,True,False,True,True,True,False,True,,False,False,False
Alaska,262,230.9,198.9,232.7,312.0,364.4,289.0,,368.7,,285.3,268.6,406.6,240.0,330.0,,262.1,539.7,230.4,-31.1,-63.1,-29.3,50.0,102.4,27.0,,106.7,,23.3,6.6,144.6,-22.0,68.0,,0.1,277.7,-31.6,False,True,False,False,True,,False,,True,True,False,True,False,,True,False,False
Arizona,13098,11567.3,16794.9,11626.9,12589.0,11202.5,10629.0,,11493.1,11600.0,13141.9,11210.2,13374.0,16104.0,10911.0,,10767.7,11553.3,8695.9,-1530.7,3696.9,-1471.1,-509.0,-1895.5,-2469.0,,-1604.9,-1498.0,43.9,-1887.8,276.0,3006.0,-2187.0,,-2330.3,-1544.7,-4402.1,False,True,True,False,False,,False,True,True,False,True,False,False,,False,False,False
Arkansas,4838,4947.3,4864.8,4870.7,5259.0,4494.8,4588.0,,3806.0,5208.0,5527.5,4451.9,4643.3,6265.0,4948.5,,4688.4,9391.0,3724.0,109.3,26.8,32.7,421.0,-343.2,-250.0,,-1032.0,370.0,689.5,-386.1,-194.7,1427.0,110.5,,-149.6,4553.0,-1114.0,True,True,False,False,False,,False,False,False,False,False,False,False,,False,False,False
California,40702,32251.4,41181.6,32324.0,68237.0,37362.3,40030.0,,41392.3,31817.0,44900.7,46309.6,41574.6,48162.0,30350.0,,31076.8,,24678.5,-8448.6,481.6,-8376.0,27537.0,-3337.7,-670.0,,692.3,-8883.0,4200.7,5609.6,874.6,7462.0,-10350.0,,-9623.2,,-16021.5,True,True,False,True,True,,True,False,True,True,True,True,False,,False,,False
Colorado,5620,6769.4,6292.9,7145.9,6157.0,6395.0,5847.0,,6871.9,6926.0,7248.0,5234.3,6650.8,6692.0,6764.5,,6122.2,11255.6,4890.3,1149.4,672.9,1525.9,537.0,775.0,227.0,,1251.9,1306.0,1628.0,-385.7,1030.8,1072.0,1144.5,,502.2,5635.6,-729.7,True,False,True,True,True,,False,False,False,True,True,True,True,,True,False,True
Connecticut,7046,6857.9,6299.4,6888.9,7850.0,7367.9,6398.0,,7207.0,6972.0,7782.3,6918.7,7744.5,6952.0,7278.0,,6166.6,7415.1,5739.3,-188.1,-746.6,-157.1,804.0,321.9,-648.0,,161.0,-74.0,736.3,-127.3,698.5,-94.0,232.0,,-879.4,369.1,-1306.7,False,True,False,False,False,,True,True,False,True,False,True,False,,False,False,False
Delaware,1301,1131.4,1197.2,1116.2,1155.0,1069.4,1118.0,,1102.5,1159.0,1210.9,1043.0,1367.8,1083.0,985.0,,1095.0,1107.2,918.6,-65.6,0.2,-80.8,-42.0,-127.6,-79.0,,-94.5,-38.0,13.9,-154.0,170.8,-114.0,-212.0,,-102.0,-89.8,-278.4,True,False,True,False,False,,False,True,True,False,False,False,False,,False,False,False
District of Columbia,909,865.9,1695.4,832.1,876.0,884.1,845.0,,852.7,829.0,905.8,827.4,979.9,851.0,779.5,,787.6,865.6,758.6,-43.1,786.4,-76.9,-33.0,-24.9,-64.0,,-56.3,-80.0,-3.2,-81.6,70.9,-58.0,-129.5,,-121.4,-43.4,-150.4,False,False,True,True,False,,False,False,True,False,False,False,False,,False,False,False
Florida,26360,24679.7,23517.5,24601.5,26552.0,26126.7,24681.0,,27294.1,23867.0,26445.5,24339.0,32266.7,24696.0,26847.5,,23952.0,,22342.1,-1680.3,-2842.5,-1758.5,192.0,-233.3,-1679.0,,934.1,-2493.0,85.5,-2021.0,5906.7,-1664.0,487.5,,-2408.0,,-4017.9,False,False,True,True,True,,True,False,True,False,False,True,True,,False,,False
Georgia,14196,12181.1,12654.7,12217.2,28195.0,12410.6,12841.0,,14189.2,12686.0,14021.4,13843.7,13312.3,12021.0,11730.0,,12238.4,,11011.5,-2014.9,-1541.3,-1978.8,13999.0,-1785.4,-1355.0,,-6.8,-1510.0,-174.6,-352.3,-883.7,-2175.0,-2466.0,,-1957.6,,-3184.5,True,True,False,True,True,,True,True,True,True,True,False,False,,True,,False
Hawaii,406,328.9,407.9,341.3,482.0,347.6,320.0,,395.6,,379.0,371.9,653.0,342.0,395.5,,323.8,376.8,311.7,-77.1,1.9,-64.7,76.0,-58.4,-86.0,,-10.4,,-27.0,-34.1,247.0,-64.0,-10.5,,-82.2,-29.2,-94.3,True,True,True,True,False,,True,,True,True,False,True,True,,False,True,False
