,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,7566,4639.9,6035.0,5334.0,4309.2,-2926.1,-1531.0,-2232.0,-3256.8,True,True,False
Alaska,262,280.4,454.0,,366.9,18.4,192.0,,104.9,False,,False
Arizona,13098,8139.7,11912.5,8244.0,7760.0,-4958.3,-1185.5,-4854.0,-5338.0,True,True,False
Arkansas,4838,3470.9,4547.4,3991.0,3904.9,-1367.1,-290.6,-847.0,-933.1,True,True,True
California,40702,22915.3,28509.0,23483.0,23372.3,-17785.7,-12192.0,-17218.0,-17328.7,True,True,True
Colorado,5620,4747.9,7890.9,5170.0,4332.7,-872.1,2270.9,-450.0,-1287.3,False,True,False
Connecticut,7046,6139.0,7118.3,6038.0,5355.7,-907.0,72.3,-1008.0,-1690.3,True,False,False
Delaware,1301,964.9,1140.0,942.0,952.0,-289.1,-114.0,-312.0,-302.0,True,False,False
District of Columbia,909,768.6,844.6,784.0,703.1,-140.4,-64.4,-125.0,-205.9,True,True,False
Florida,26360,23008.3,23681.3,21994.0,23373.6,-3351.7,-2678.7,-4366.0,-2986.4,True,False,True
Georgia,14196,11603.1,13565.4,11824.0,11744.1,-2592.9,-630.6,-2372.0,-2451.9,True,True,True
Hawaii,406,341.4,314.6,,291.0,-64.6,-91.4,,-115.0,False,,False
Idaho,1725,1548.9,2171.1,1700.0,1324.7,-176.1,446.1,-25.0,-400.3,False,True,False
Illinois,21213,20251.1,25189.8,20004.0,20885.7,-961.9,3976.8,-1209.0,-327.3,False,False,True
Indiana,11262,9050.7,12698.0,9534.0,9427.2,-1545.3,2102.0,-1062.0,-1168.8,False,True,True
Iowa,4651,4143.9,5168.5,4328.0,4006.4,-507.1,517.5,-323.0,-644.6,False,True,False
Kansas,3767,2583.0,3896.9,2918.0,3216.1,-1184.0,129.9,-849.0,-550.9,True,True,True
Kentucky,3714,2861.4,3671.5,3302.0,3108.0,-852.6,-42.5,-412.0,-606.0,True,True,True
Louisiana,8801,7709.0,10351.7,7570.0,8076.8,-1092.0,1550.7,-1231.0,-724.2,False,False,True
Maine,590,323.9,585.9,445.0,240.0,-266.1,-4.1,-145.0,-350.0,True,True,False
Maryland,7107,6316.7,7204.7,6034.0,6037.4,-790.3,97.7,-1073.0,-1069.6,True,False,False
Massachusetts,14531,12582.0,14565.3,12624.0,11908.0,-1949.0,34.3,-1907.0,-2623.0,True,True,False
Michigan,15525,14710.4,21018.8,15359.0,11903.9,-814.6,5493.8,-166.0,-3621.1,False,True,False
Minnesota,6255,6648.4,10457.2,7756.0,7143.4,393.4,4202.2,1501.0,888.4,False,False,False
Mississippi,6018,4957.4,5337.1,4802.0,5043.9,-1060.6,-680.9,-1216.0,-974.1,True,False,True
Missouri,7070,6259.1,7436.4,6478.0,5412.8,-781.9,395.4,-563.0,-1628.2,True,True,False
Montana,1232,1273.3,1678.1,1551.0,1238.9,41.3,446.1,319.0,6.9,False,False,True
Nebraska,1920,1697.6,2756.5,2291.0,1297.0,-222.4,836.5,371.0,-623.0,False,False,False
Nevada,4264,3190.0,3882.1,2944.0,2961.2,-1074.0,-381.9,-1320.0,-1302.8,True,False,False
New Hampshire,1042,650.0,839.6,770.0,620.0,-392.0,-202.4,-272.0,-422.0,True,True,False
New Jersey,21455,18900.0,21426.9,19230.0,20737.3,-2555.0,-28.1,-2225.0,-717.7,True,True,True
New Mexico,3265,2930.6,5024.6,3018.0,2651.3,-334.4,1759.6,-247.0,-613.7,False,True,False
New York,43453,36704.4,41043.7,37701.0,38561.2,-6736.6,-2397.3,-5740.0,-4879.8,True,True,True
North Carolina,9287,7064.6,7988.5,7623.0,6890.4,-2222.4,-1298.5,-1664.0,-2396.6,True,True,False
North Dakota,1447,1634.6,2111.6,1821.0,1126.8,187.6,664.6,374.0,-320.2,False,False,False
Ohio,16951,9968.4,14098.7,11258.0,11694.2,-5538.6,-1408.3,-4249.0,-3812.8,True,True,True
Oklahoma,3504,2639.4,3903.1,3070.0,3131.0,-864.6,399.1,-434.0,-373.0,True,True,True
Oregon,1957,1657.9,2903.9,1541.0,1830.1,-299.1,946.9,-416.0,-126.9,False,False,True
Pennsylvania,21562,14557.3,20521.7,16560.0,12809.5,-7004.7,-1040.3,-5002.0,-8752.5,True,True,False
Rhode Island,2333,1806.6,2084.2,1642.0,1736.4,-464.4,-186.8,-629.0,-534.6,True,False,False
South Carolina,7014,4973.0,5698.1,5491.0,5384.0,-2041.0,-1315.9,-1523.0,-1630.0,True,True,True
South Dakota,1775,2041.3,2152.3,2640.0,1391.6,266.3,377.3,865.0,-383.4,False,False,False
Tennessee,9574,7104.9,9989.0,8080.0,8142.4,-2469.1,415.0,-1494.0,-1431.6,True,True,True
Texas,36924,29194.4,34861.0,33446.0,27646.5,-7373.6,-1707.0,-3122.0,-8921.5,True,True,False
Utah,1663,1532.3,2503.9,1980.0,1383.9,-130.7,840.9,317.0,-279.1,False,False,False
Vermont,173,102.4,57.9,103.0,78.9,-70.6,-115.1,-70.0,-94.1,False,True,False
Virginia,6449,5120.9,5570.7,5350.0,5016.1,-1328.1,-878.3,-1099.0,-1432.9,True,True,False
Washington,4285,3447.0,8737.8,3832.0,4218.9,-810.0,4480.8,-425.0,-38.1,False,True,True
West Virginia,2015,1322.4,2473.0,1704.0,1713.1,-692.6,458.0,-311.0,-301.9,True,True,True
Wisconsin,6430,6471.9,6402.1,7118.0,5617.5,41.9,-27.9,688.0,-812.5,True,False,False
Wyoming,596,560.4,1018.4,662.0,422.9,-35.6,422.4,66.0,-173.1,False,False,False
US,447084,355506.4,450358.4,373820.0,346899.8,-88932.6,5919.4,-70619.0,-97539.2,True,True,False
