,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR
Alabama,7566,6157.9,6811.0,6164.5,6805.0,6649.0,6609.0,,6301.1,7257.0,6593.3,6204.3,6360.0,7546.6,5488.5,6469.0,,5408.5,,-1408.1,-755.0,-1401.5,-761.0,-917.0,-957.0,,-1264.9,-309.0,-972.7,-1361.7,-1206.0,-19.4,-2077.5,-1097.0,,-2157.5,,True,True,True,True,True,,True,True,True,True,True,True,False,True,,False,
Alaska,262,277.7,212.9,280.0,222.0,326.5,271.0,,375.8,,257.8,209.5,328.2,254.3,254.0,332.0,,311.4,,15.7,-49.1,18.0,-40.0,64.5,9.0,,113.8,,-4.2,-52.5,66.2,-7.7,-8.0,70.0,,49.4,,False,False,False,False,True,,False,,True,False,False,True,True,False,,False,
Arizona,13098,10641.9,10107.6,10859.8,10839.0,12092.0,9361.0,,12428.0,11851.0,12703.5,10173.7,12099.4,11686.3,13973.5,11778.0,,9673.9,,-2456.1,-2990.4,-2238.2,-2259.0,-1006.0,-3737.0,,-670.0,-1247.0,-394.5,-2924.3,-998.6,-1411.7,875.5,-1320.0,,-3424.1,,False,True,True,True,False,,True,True,True,False,True,True,True,True,,False,
Arkansas,4838,4672.0,4875.3,4690.7,5669.0,5096.0,4640.0,,5123.5,5156.0,5372.5,4563.2,4555.2,5186.1,6376.0,4291.0,,4581.4,,-166.0,37.3,-147.3,831.0,258.0,-198.0,,285.5,318.0,534.5,-274.8,-282.8,348.1,1538.0,-547.0,,-256.6,,True,True,False,False,False,,False,False,False,False,False,False,False,False,,False,
California,40702,32087.4,27178.3,32397.2,43496.0,43150.3,34580.0,,41232.2,34001.0,42058.5,44060.5,38429.6,36070.7,46699.5,36201.0,,30246.9,,-8607.6,-13516.7,-8297.8,2801.0,2455.3,-6115.0,,537.2,-6694.0,1363.5,3365.5,-2265.4,-4624.3,6004.5,-4494.0,,-10448.1,,False,True,True,True,True,,True,True,True,True,True,True,True,True,,False,
Colorado,5620,5785.4,5238.9,5858.6,5589.0,6542.6,5772.0,,6871.9,6721.0,5913.6,4969.1,5682.9,5912.0,6065.0,6855.5,,5444.9,,165.4,-381.1,238.6,-31.0,922.6,152.0,,1251.9,1101.0,293.6,-650.9,62.9,292.0,445.0,1235.5,,-175.1,,False,False,True,False,True,,False,False,False,False,True,False,False,False,,False,
Connecticut,7046,6811.0,6768.0,6841.1,6459.0,7405.8,6060.0,,7053.9,7065.0,7298.1,6065.0,7191.1,6758.9,6596.0,6691.5,,6391.0,,-235.0,-278.0,-204.9,-587.0,359.8,-986.0,,7.9,19.0,252.1,-981.0,145.1,-287.1,-450.0,-354.5,,-655.0,,False,True,False,False,False,,True,True,False,False,True,False,False,False,,False,
Delaware,1301,1067.0,935.2,1080.5,982.0,1116.1,1133.0,,1094.9,1213.0,1124.9,941.2,1264.8,1122.4,996.0,1070.0,,1017.2,,-99.0,-230.8,-85.5,-184.0,-49.9,-33.0,,-71.1,47.0,-41.1,-224.8,98.8,-43.6,-170.0,-96.0,,-148.8,,False,True,False,True,True,,True,True,True,False,True,True,False,True,,False,
District of Columbia,909,918.6,1415.8,922.0,871.0,888.5,792.0,,872.7,863.0,903.6,795.9,905.9,960.1,980.0,862.0,,896.6,,9.6,506.8,13.0,-38.0,-20.5,-117.0,,-36.3,-46.0,-5.4,-113.1,-3.1,51.1,71.0,-47.0,,-12.4,,False,False,False,False,False,,False,False,True,False,True,False,False,False,,False,
Florida,26360,24340.0,23515.9,24443.3,25582.0,26250.2,25515.0,,26742.4,24997.0,25879.7,24478.9,30154.9,26522.4,25011.0,24401.5,,23998.8,,-2020.0,-2844.1,-1916.7,-778.0,-109.8,-845.0,,382.4,-1363.0,-480.3,-1881.1,3794.9,162.4,-1349.0,-1958.5,,-2361.2,,False,True,True,True,True,,True,True,True,True,False,True,True,True,,False,
Georgia,14196,12175.3,12164.3,12206.9,17025.0,12716.8,12626.0,,14189.2,12940.0,13191.3,14087.8,13035.8,13342.1,11820.0,11632.0,,12231.5,,-2020.7,-2031.7,-1989.1,2829.0,-1479.2,-1570.0,,-6.8,-1256.0,-1004.7,-108.2,-1160.2,-853.9,-2376.0,-2564.0,,-1964.5,,False,True,False,True,True,,True,True,True,True,True,True,False,False,,True,
Hawaii,406,299.6,349.1,307.2,392.0,373.3,318.0,,380.1,,365.3,339.9,586.7,338.9,322.0,332.0,,317.5,,-106.4,-56.9,-98.8,-14.0,-32.7,-88.0,,-25.9,,-40.7,-66.1,180.7,-67.1,-84.0,-74.0,,-88.5,,True,True,True,True,True,,True,,True,True,False,True,True,True,,True,
Idaho,1725,1713.4,1617.2,1749.0,1665.0,1975.4,1675.0,,2122.8,1828.0,1911.5,1570.4,1897.0,1847.7,1722.0,2133.0,,1657.9,,-11.6,-107.8,24.0,-60.0,250.4,-50.0,,397.8,103.0,186.5,-154.6,172.0,122.7,-3.0,408.0,,-67.1,,False,False,False,False,False,,False,False,False,False,False,False,True,False,,False,
Illinois,21213,21848.3,22233.8,21712.5,21525.0,21808.8,19646.0,,23433.8,21768.0,22677.3,18111.6,20772.6,21124.1,20863.5,22615.0,,20074.1,,635.3,1020.8,499.5,312.0,595.8,-1567.0,,2220.8,555.0,1464.3,-3101.4,-440.4,-88.9,-349.5,1402.0,,-1138.9,,False,True,True,True,False,,False,True,False,False,True,True,True,False,,False,
Indiana,11262,9975.3,9956.2,10115.8,10097.0,10666.3,9068.0,,10614.5,10655.0,10499.1,8589.1,9870.4,10258.6,9595.0,11457.0,,9388.1,,-133.7,-152.8,6.8,-12.0,557.3,-1041.0,,505.5,546.0,390.1,-1519.9,-238.6,149.6,-514.0,1348.0,,-720.9,,False,True,True,False,False,,False,False,False,False,False,False,False,False,,False,
Iowa,4651,4501.7,5372.4,4798.3,5660.0,5188.8,4859.0,,3760.1,5219.0,4669.7,4191.6,4758.0,4705.6,6097.5,5391.0,,4573.7,,-149.3,721.4,147.3,1009.0,537.8,208.0,,-890.9,568.0,18.7,-459.4,107.0,54.6,1446.5,740.0,,-77.3,,False,True,False,False,False,,False,False,True,False,True,True,False,False,,True,
Kansas,3767,3289.9,3985.8,3313.2,3735.0,3866.5,3953.0,,4293.6,3992.0,4041.0,3271.4,3457.6,3454.7,3831.0,3653.0,,3483.7,,-477.1,218.8,-453.8,-32.0,99.5,186.0,,526.6,225.0,274.0,-495.6,-309.4,-312.3,64.0,-114.0,,-283.3,,True,True,True,True,True,,False,True,True,False,True,True,True,True,,True,
Kentucky,3714,3322.4,3341.3,3348.7,3038.0,3309.5,2947.0,,3273.0,3504.0,3349.2,3212.5,4005.9,3224.5,3248.5,3227.0,,3348.7,,-391.6,-372.7,-365.3,-676.0,-404.5,-767.0,,-441.0,-210.0,-364.8,-501.5,291.9,-489.5,-465.5,-487.0,,-365.3,,True,True,False,False,False,,False,True,True,False,True,False,False,False,,True,
Louisiana,8801,8500.4,7818.6,8661.5,8210.0,8665.4,8778.0,,8822.1,9158.0,8566.6,7643.1,8446.3,8522.7,9392.5,8128.0,,8622.7,,-300.6,-982.4,-139.5,-591.0,-135.6,-23.0,,21.1,357.0,-234.4,-1157.9,-354.7,-278.3,591.5,-673.0,,-178.3,,False,True,False,True,True,,True,False,True,False,False,True,False,False,,True,
Maine,590,473.6,428.4,454.0,1040.0,740.1,517.0,,530.2,578.0,686.2,579.6,953.5,539.8,568.5,516.0,,372.5,,-116.4,-161.6,-136.0,450.0,150.1,-73.0,,-59.8,-12.0,96.2,-10.4,363.5,-50.2,-21.5,-74.0,,-217.5,,False,False,False,False,True,,True,True,True,True,False,True,True,True,,False,
Maryland,7107,6994.3,6308.0,7020.9,6908.0,7475.1,6653.0,,7866.4,7367.0,7470.3,6226.2,7246.0,7203.3,7174.5,6872.0,,6518.6,,-112.7,-799.0,-86.1,-199.0,368.1,-454.0,,759.4,260.0,363.3,-880.8,139.0,96.3,67.5,-235.0,,-588.4,,False,True,False,False,False,,False,False,False,False,False,True,True,False,,False,
Massachusetts,14531,14018.9,13869.7,13776.3,14118.0,15135.7,14138.0,,14838.6,14542.0,14714.3,13464.3,14847.4,16015.6,13520.0,13120.0,,13208.2,,-512.1,-661.3,-754.7,-413.0,604.7,-393.0,,307.6,11.0,183.3,-1066.7,316.4,1484.6,-1011.0,-1411.0,,-1322.8,,False,False,True,False,True,,True,True,True,False,True,False,False,False,,False,
Michigan,15525,15682.0,16254.5,15770.9,14077.0,15609.8,14721.0,,16565.7,16840.0,16462.8,12981.9,15071.4,15164.2,15122.0,15492.0,,14824.1,,157.0,729.5,245.9,-1448.0,84.8,-804.0,,1040.7,1315.0,937.8,-2543.1,-453.6,-360.8,-403.0,-33.0,,-700.9,,False,False,False,True,False,,False,False,False,False,False,False,False,True,,False,
Minnesota,6255,6648.6,6910.1,6801.4,5819.0,6424.8,6608.0,,7047.2,7310.0,6526.0,5201.0,6468.6,6056.4,6348.0,6612.5,,6105.7,,393.6,655.1,546.4,-436.0,169.8,353.0,,792.2,1055.0,271.0,-1054.0,213.6,-198.6,93.0,357.5,,-149.3,,False,False,False,True,True,,False,False,True,False,True,True,True,True,,True,
Mississippi,6018,5562.9,5431.0,5439.7,5828.0,6255.1,5827.0,,6220.6,6029.0,6028.5,5474.9,5495.4,6080.9,6996.0,5330.0,,5429.5,,-455.1,-587.0,-578.3,-190.0,237.1,-191.0,,202.6,11.0,10.5,-543.1,-522.6,62.9,978.0,-688.0,,-588.5,,False,False,True,True,True,,True,True,True,False,False,True,False,False,,False,
Missouri,7070,7389.6,6156.3,7579.8,7518.0,7220.7,7241.0,,7630.9,7992.0,7493.9,5602.6,6994.7,7225.0,9868.5,7192.0,,6148.6,,349.6,-883.7,539.8,478.0,180.7,201.0,,590.9,952.0,453.9,-1437.4,-45.3,185.0,2828.5,152.0,,-891.4,,False,False,False,True,True,,False,False,False,False,True,True,False,True,,False,
Montana,1232,1210.6,1191.6,1194.0,1050.0,1074.5,1004.0,,1181.7,1326.0,1058.7,1026.0,1292.5,1089.8,1133.0,1144.0,,1335.0,,-21.4,-40.4,-38.0,-182.0,-157.5,-228.0,,-50.3,94.0,-173.3,-206.0,60.5,-142.2,-99.0,-88.0,,103.0,,False,False,False,False,False,,False,False,False,False,False,False,False,False,,False,
Nebraska,1920,1913.6,2181.7,1978.8,1886.0,2194.8,2144.0,,2456.0,2303.0,2042.7,1699.5,2178.4,1909.9,1943.0,1909.0,,1785.2,,-6.4,261.7,58.8,-34.0,274.8,224.0,,536.0,383.0,122.7,-220.5,258.4,-10.1,23.0,-11.0,,-134.8,,False,False,False,False,False,,False,False,False,False,False,False,False,False,,False,
Nevada,4264,3780.6,3338.4,3907.5,3776.0,4238.7,3657.0,,4493.1,4236.0,4488.2,3207.3,3795.6,3874.3,4455.5,3972.5,,3717.5,,-483.4,-925.6,-356.5,-488.0,-25.3,-607.0,,229.1,-28.0,224.2,-1056.7,-468.4,-389.7,191.5,-291.5,,-546.5,,False,True,False,True,False,,True,True,True,False,True,True,True,True,,False,
New Hampshire,1042,960.6,1343.1,956.0,956.0,1169.0,904.0,,1135.0,1097.0,1148.5,869.1,1293.3,935.6,957.0,1078.0,,870.7,,-81.4,301.1,-86.0,-86.0,127.0,-138.0,,93.0,55.0,106.5,-172.9,251.3,-106.4,-85.0,36.0,,-171.3,,False,False,False,False,False,,False,True,False,False,False,False,False,True,,False,
New Jersey,21455,20747.7,20693.6,20815.4,20342.0,21212.5,19812.0,,22059.9,21112.0,21654.4,19418.6,21557.3,21035.4,21603.5,20112.0,,20812.9,,-707.3,-761.4,-639.6,-1113.0,-242.5,-1643.0,,604.9,-343.0,199.4,-2036.4,102.3,-419.6,148.5,-1343.0,,-642.1,,False,True,False,True,False,,True,True,True,False,True,True,True,False,,True,
New Mexico,3265,3196.0,2784.2,3120.9,2827.0,3044.5,2854.0,,3605.6,3353.0,3230.8,2515.8,2943.6,3013.4,2967.5,3426.0,,2634.6,,-69.0,-480.8,-144.1,-438.0,-220.5,-411.0,,340.6,88.0,-34.2,-749.2,-321.4,-251.6,-297.5,161.0,,-630.4,,False,False,False,False,False,,False,False,True,False,False,False,False,False,,False,
New York,43453,42171.0,39902.5,42144.5,40999.0,42861.0,41240.0,,44056.2,42297.0,43771.6,40287.1,45224.3,42856.5,44970.0,40339.5,,43218.0,,-1282.0,-3550.5,-1308.5,-2454.0,-592.0,-2213.0,,603.2,-1156.0,318.6,-3165.9,1771.3,-596.5,1517.0,-3113.5,,-235.0,,False,False,False,True,False,,True,True,True,False,False,True,False,False,,True,
