,actual_deaths,Baseline,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,7566,5028.6,4534.0,3675.7,-2537.4,-3032.0,-3890.3,False,False
Alaska,262,250.0,,186.1,-12.0,,-75.9,,False
Arizona,13098,7800.3,7548.0,7143.9,-5297.7,-5550.0,-5954.1,False,False
Arkansas,4838,3247.0,3756.0,2704.2,-1591.0,-1082.0,-2133.8,True,False
California,40702,21399.7,20786.0,21000.8,-19299.3,-19913.0,-19698.2,False,False
Colorado,5620,4196.3,4033.0,3309.4,-1423.7,-1587.0,-2310.6,False,False
Connecticut,7046,5453.6,5314.0,5048.5,-1592.4,-1732.0,-1997.5,False,False
Delaware,1081,931.4,903.0,762.3,-149.6,-178.0,-318.7,False,False
District of Columbia,909,725.1,683.0,671.7,-183.9,-226.0,-237.3,False,False
Florida,26360,21828.3,20859.0,21045.9,-4531.7,-5501.0,-5314.1,False,False
Georgia,14196,12311.9,11466.0,10261.8,-1884.1,-2730.0,-3934.2,False,False
Hawaii,406,232.9,,263.4,-173.1,,-142.6,,True
Idaho,1725,1551.6,1667.0,1323.4,-173.4,-58.0,-401.6,True,False
Illinois,21213,17936.9,17534.0,12767.3,-3276.1,-3679.0,-8445.7,False,False
Indiana,9967,7960.9,8543.0,6887.3,-2006.1,-1424.0,-3079.7,True,False
Iowa,4651,3552.4,3766.0,3217.0,-1098.6,-885.0,-1434.0,True,False
Kansas,3767,2106.9,2265.0,2045.8,-1588.1,-1430.0,-1649.2,True,False
Kentucky,3714,2703.3,2652.0,3010.4,-1010.7,-1062.0,-703.6,False,True
Louisiana,8801,7043.9,7003.0,7597.5,-1746.1,-1787.0,-1192.5,False,True
Maine,590,306.1,265.0,257.8,-283.9,-325.0,-332.2,False,False
Maryland,7107,5279.1,4940.0,5090.1,-1827.9,-2167.0,-2016.9,False,False
Massachusetts,14531,12283.3,12643.0,11183.6,-2247.7,-1888.0,-3347.4,True,False
Michigan,15525,13055.4,12938.0,11406.2,-2469.6,-2587.0,-4118.8,False,False
Minnesota,6255,5686.1,6654.0,4936.8,-568.9,399.0,-1318.2,True,False
Mississippi,6018,4628.7,4820.0,4660.3,-1389.3,-1198.0,-1357.7,True,True
Missouri,7040,5797.3,5790.0,4081.6,-1249.7,-1257.0,-2965.4,False,False
Montana,1232,1214.9,1543.0,806.1,-17.1,311.0,-425.9,False,False
Nebraska,1920,1604.1,1885.0,951.0,-315.9,-35.0,-969.0,True,False
Nevada,4264,2538.7,2448.0,2556.5,-1725.3,-1816.0,-1707.5,False,True
New Hampshire,1042,607.6,717.0,590.5,-434.4,-325.0,-451.5,True,False
New Jersey,21455,18053.4,17678.0,17630.9,-3401.6,-3777.0,-3824.1,False,False
New Mexico,3265,2268.1,2323.0,1772.1,-996.9,-942.0,-1492.9,True,False
New York,43453,35432.6,35796.0,34495.0,-8020.4,-7657.0,-8958.0,True,False
North Carolina,9287,6966.6,6640.0,6465.9,-2320.4,-2647.0,-2821.1,False,False
North Dakota,1447,1789.1,2184.0,1044.6,342.1,737.0,-402.4,False,False
Ohio,11121,7947.7,9166.0,6950.4,-3173.3,-1955.0,-4170.6,True,False
Oklahoma,3504,2505.1,2826.0,2111.1,-998.9,-678.0,-1392.9,True,False
Oregon,1957,1097.6,1190.0,961.6,-859.4,-767.0,-995.4,True,False
Pennsylvania,21562,12384.3,12042.0,11248.7,-9177.7,-9520.0,-10313.3,False,False
Rhode Island,2154,1579.7,1573.0,1433.5,-574.3,-581.0,-720.5,False,False
South Carolina,7014,4937.1,4887.5,5124.1,-2076.9,-2126.5,-1889.9,False,True
South Dakota,1775,1816.6,1952.0,748.7,41.6,177.0,-1026.3,False,False
Tennessee,9574,7128.4,7472.0,6500.4,-2445.6,-2102.0,-3073.6,True,False
Texas,36924,28843.6,27207.0,25830.8,-7702.4,-9339.0,-10715.2,False,False
Utah,1663,1358.6,1701.0,1299.6,-304.4,38.0,-363.4,True,False
Vermont,173,59.0,71.0,60.3,-114.0,-102.0,-112.7,True,True
Virginia,6449,4809.7,4821.0,4631.1,-1639.3,-1628.0,-1817.9,True,False
Washington,4285,3387.6,3334.0,3378.4,-911.4,-965.0,-920.6,False,False
West Virginia,2015,1428.9,1522.0,1134.3,-586.1,-493.0,-880.7,True,False
Wisconsin,6430,4716.1,5313.0,4896.5,-1713.9,-1117.0,-1533.5,True,True
Wyoming,596,469.7,455.0,282.2,-126.3,-141.0,-313.8,False,False
US,439530,330024.1,331343.0,351425.8,-109060.9,-107742.0,-87659.2,True,True
