,mean_rank
UChicagoCHATTOPADHYAY-UnIT,10.9
UMass-MechBayes,13.4
GT-DeepCOVID,14.0
LNQ-ens1,14.6
COVIDhub-ensemble,15.1
UCLA-SuEIR,16.2
OliverWyman-Navigator,16.4
Caltech-CS156,16.5
Karlen-pypm,17.0
SteveMcConnell-CovidComplete,17.2
COVIDhub-baseline,17.2
CEID-Walk,17.2
JHU_CSSE-DECOM,17.5
Google_Harvard-CPF,17.8
RobertWalraven-ESG,18.1
CMU-TimeSeries,18.2
MOBS-GLEAM_COVID,18.2
LANL-GrowthRate,18.8
AIpert-pwllnod,19.3
epiforecasts-ensemble1,20.0
Columbia_UNC-SurvCon,20.0
BPagano-RtDriven,20.3
UA-EpiCovDA,20.3
Microsoft-DeepSTIA,20.4
USC-SI_kJalpha,20.4
UCSD_NEU-DeepGLEAM,20.7
IowaStateLW-STEM,20.7
MIT_CritData-GBCF,20.8
JHU_IDD-CovidSP,21.3
PSI-DRAFT,22.2
CU-select,22.7
UMich-RidgeTfReg,24.6
CovidAnalytics-DELPHI,25.1
DDS-NBDS,25.2
Covid19Sim-Simulator,25.3
IHME-CurveFit,27.0
TTU-squider,28.5
WalmartLabsML-LogForecasting,28.6
UCSB-ACTS,32.2
