,mean_rank
COVIDhub-ensemble,14.9
LNQ-ens1,15.8
COVIDhub-baseline,16.7
BPagano-RtDriven,16.7
SteveMcConnell-CovidComplete,16.8
LANL-GrowthRate,16.8
UMass-MechBayes,16.8
UT-Mobility,17.6
CEID-Walk,17.7
Microsoft-DeepSTIA,18.0
OliverWyman-Navigator,18.2
MOBS-GLEAM_COVID,18.2
USC-SI_kJalpha,18.4
Karlen-pypm,18.4
JHU_CSSE-DECOM,18.7
CMU-TimeSeries,18.7
AIpert-pwllnod,18.8
UChicagoCHATTOPADHYAY-UnIT,19.4
Google_Harvard-CPF,19.5
UCLA-SuEIR,19.7
RobertWalraven-ESG,20.2
UCSD_NEU-DeepGLEAM,20.3
CovidAnalytics-DELPHI,20.5
MIT_ISOLAT-Mixtures,20.5
epiforecasts-ensemble1,20.7
GT-DeepCOVID,21.0
UCSB-ACTS,21.6
UA-EpiCovDA,21.7
Columbia_UNC-SurvCon,22.7
PSI-DRAFT,23.4
UMich-RidgeTfReg,23.7
MIT_CritData-GBCF,24.4
Geneva-DetGrowth,24.8
CU-select,24.9
JHU_IDD-CovidSP,25.4
IHME-CurveFit,26.0
IowaStateLW-STEM,26.0
DDS-NBDS,28.0
JHUAPL-Bucky,28.7
WalmartLabsML-LogForecasting,30.9
Covid19Sim-Simulator,34.6
TTU-squider,37.2
