,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,7566,3518.9,3547.2,3491.0,,-4047.1,-4018.8,-4075.0,,True,False,
Alaska,262,91.7,229.4,,,-170.3,-32.6,,,True,,
Arizona,13098,7105.1,8261.9,6706.5,,-5992.9,-4836.1,-6391.5,,True,False,
Arkansas,4838,3397.3,4234.1,3566.0,,-1440.7,-603.9,-1272.0,,True,True,
California,40702,25266.7,23331.7,20953.0,,-15435.3,-17370.3,-19749.0,,False,False,
Colorado,5620,2523.1,2968.0,2442.0,,-3096.9,-2652.0,-3178.0,,True,False,
Connecticut,7046,4715.3,4900.3,4692.0,,-2330.7,-2145.7,-2354.0,,True,False,
Delaware,1301,847.3,907.3,716.0,,-437.7,-377.7,-569.0,,True,False,
District of Columbia,909,749.0,694.9,662.0,,-160.0,-214.1,-247.0,,False,False,
Florida,26360,25442.7,23525.6,20356.5,,-917.3,-2834.4,-6003.5,,False,False,
Georgia,14196,10803.1,9986.4,9595.0,,-3392.9,-4209.6,-4601.0,,False,False,
Hawaii,406,560.6,261.5,,,154.6,-144.5,,,True,,
Idaho,1725,852.9,1232.8,822.0,,-872.1,-492.2,-903.0,,True,False,
Illinois,21213,12327.1,11309.0,10971.0,,-8885.9,-9904.0,-10242.0,,False,False,
Indiana,11262,5258.6,6033.8,5053.0,,-5957.4,-5182.2,-6163.0,,True,False,
Iowa,4651,2583.9,2695.1,2232.0,,-2067.1,-1955.9,-2419.0,,True,False,
Kansas,3767,1617.1,1583.2,1187.0,,-2141.9,-2175.8,-2572.0,,False,False,
Kentucky,3714,2085.6,2218.8,2009.0,,-1628.4,-1495.2,-1705.0,,True,False,
Louisiana,8801,7465.0,6637.9,6839.0,,-1336.0,-2163.1,-1962.0,,False,False,
Maine,590,175.7,182.8,199.0,,-414.3,-407.2,-391.0,,True,True,
Maryland,7107,4345.7,4661.2,4307.0,,-2761.3,-2445.8,-2800.0,,True,False,
Massachusetts,14531,11296.9,18627.8,10330.0,,-3234.1,4096.8,-4201.0,,False,False,
Michigan,15525,8472.6,8581.2,8025.0,,-7052.4,-6943.8,-7500.0,,True,False,
Minnesota,6255,3363.6,3152.5,3207.0,,-2891.4,-3102.5,-3048.0,,False,False,
Mississippi,6018,4597.6,4604.5,4657.0,,-1420.4,-1413.5,-1361.0,,True,True,
Missouri,7070,4428.0,5590.8,4040.0,,-2626.0,-1463.2,-3014.0,,True,False,
Montana,1232,423.0,1779.2,448.0,,-809.0,547.2,-784.0,,True,True,
Nebraska,1920,1023.6,1174.3,794.0,,-896.4,-745.7,-1126.0,,True,False,
Nevada,4264,2263.6,3094.7,2031.0,,-2000.4,-1169.3,-2233.0,,True,False,
New Hampshire,1042,510.4,517.5,510.0,,-531.6,-524.5,-532.0,,True,False,
New Jersey,21455,16641.7,17490.0,16546.5,,-4813.3,-3965.0,-4908.5,,True,False,
New Mexico,3265,1262.9,2220.2,1155.0,,-2002.1,-1044.8,-2110.0,,True,False,
New York,43453,34452.4,49422.5,33701.0,,-8816.6,6153.5,-9568.0,,True,False,
North Carolina,9287,6887.4,7181.3,6201.0,,-2399.6,-2105.7,-3086.0,,True,False,
North Dakota,1447,998.9,1289.6,812.0,,-448.1,-157.4,-635.0,,True,False,
Ohio,16951,8026.7,7186.0,6258.5,,-9368.3,-10209.0,-11136.5,,False,False,
Oklahoma,3504,1809.6,2270.0,1967.0,,-1694.4,-1234.0,-1537.0,,True,True,
Oregon,1957,1060.9,958.2,827.0,,-896.1,-998.8,-1130.0,,False,False,
Pennsylvania,21562,10032.4,11239.0,9608.0,,-11529.6,-10323.0,-11954.0,,True,False,
Rhode Island,2333,1303.4,1619.6,1251.0,,-1014.6,-698.4,-1067.0,,True,False,
South Carolina,7014,5593.9,4710.6,4760.0,,-1420.1,-2303.4,-2254.0,,False,False,
South Dakota,1775,753.7,999.7,492.0,,-1021.3,-775.3,-1283.0,,True,False,
Tennessee,9574,5948.4,5367.6,4576.0,,-3625.6,-4206.4,-4998.0,,False,False,
Texas,36924,26012.9,28467.0,24794.0,34163.0,-10630.1,-8176.0,-11849.0,-2480.0,True,False,True
Utah,1663,899.4,1204.7,684.0,,-763.6,-458.3,-979.0,,True,False,
Vermont,173,58.0,68.6,58.0,,-115.0,-104.4,-115.0,,True,False,
Virginia,6449,5174.9,5234.3,4373.0,,-1271.1,-1211.7,-2073.0,,True,False,
Washington,4285,2850.0,8233.0,2543.0,,-1450.0,3933.0,-1757.0,,False,False,
West Virginia,2015,785.4,757.9,776.0,,-1229.6,-1257.1,-1239.0,,False,False,
Wisconsin,6430,2995.3,3929.8,2425.0,,-3358.7,-2424.2,-3929.0,,True,False,
Wyoming,596,103.6,846.6,97.0,,-492.4,250.6,-499.0,,True,False,
US,447084,293416.7,319349.6,278054.0,281206.0,-153479.3,-127546.4,-168842.0,-165690.0,True,False,False
