,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,7566,4348.7,5398.8,3956.0,,3847.3,-3217.3,-2167.2,-3610.0,,-3718.7,True,False,,False
Alaska,262,275.9,355.6,,,162.2,13.9,93.6,,,-99.8,False,,,False
Arizona,13098,7329.0,7565.3,6526.0,,7475.2,-5769.0,-5532.7,-6572.0,,-5622.8,True,False,,True
Arkansas,4838,3835.1,3973.9,3757.0,,2978.0,-1002.9,-864.1,-1081.0,,-1860.0,True,False,,False
California,40702,21695.3,24295.7,20722.0,,20674.6,-19005.7,-16405.3,-19979.0,,-20026.4,True,False,,False
Colorado,5620,3123.7,4883.3,2981.0,,2853.5,-2496.3,-736.7,-2639.0,,-2766.5,True,False,,False
Connecticut,7046,5117.4,6182.5,4884.0,,4802.6,-1928.6,-863.5,-2162.0,,-2243.4,True,False,,False
Delaware,1081,1082.9,910.4,838.0,,740.5,1.9,-170.6,-243.0,,-340.5,False,False,,False
District of Columbia,909,697.4,757.3,676.0,,663.6,-211.6,-151.7,-233.0,,-245.4,True,False,,False
Florida,26360,21417.6,26014.6,20830.0,,19155.6,-4942.4,-345.4,-5530.0,,-7204.4,True,False,,False
Georgia,14196,10192.4,11544.4,10302.0,,9745.8,-4003.6,-2651.6,-3894.0,,-4450.2,True,True,,False
Hawaii,406,309.0,485.6,,,241.2,-97.0,79.6,,,-164.8,True,,,False
Idaho,1725,1362.9,1453.7,1228.0,,1119.1,-362.1,-271.3,-497.0,,-605.9,True,False,,False
Illinois,21213,13932.1,21930.4,13283.0,,11508.1,-7280.9,717.4,-7930.0,,-9704.9,True,False,,False
Indiana,9967,7372.6,9894.6,6870.0,,5675.8,-2594.4,-72.4,-3097.0,,-4291.2,True,False,,False
Iowa,4651,2993.0,4284.2,2950.0,,2287.8,-1658.0,-366.8,-1701.0,,-2363.2,True,False,,False
Kansas,3767,1912.1,3488.9,2029.0,,1457.3,-1850.9,-274.1,-1734.0,,-2305.7,True,True,,False
Kentucky,3714,2543.3,3485.4,2688.0,,2440.5,-1170.7,-228.6,-1026.0,,-1273.5,True,True,,False
Louisiana,8801,7070.3,7186.9,6980.0,,7544.0,-1730.7,-1614.1,-1821.0,,-1257.0,True,False,,True
Maine,590,159.9,185.1,252.0,,156.5,-430.1,-404.9,-338.0,,-433.5,True,True,,False
Maryland,7107,4872.0,5149.2,4542.0,27832.0,4697.5,-2235.0,-1957.8,-2565.0,20725.0,-2409.5,True,False,False,False
Massachusetts,14531,11928.7,13911.9,11379.0,,10957.2,-2602.3,-619.1,-3152.0,,-3573.8,True,False,,False
Michigan,15525,9974.7,16146.0,10376.0,,8553.2,-5550.3,621.0,-5149.0,,-6971.8,True,True,,False
Minnesota,6255,4161.9,5971.1,4622.0,,3688.5,-2093.1,-283.9,-1633.0,,-2566.5,True,True,,False
Mississippi,6018,4543.7,4464.0,4251.0,,4477.6,-1474.3,-1554.0,-1767.0,,-1540.4,False,False,,False
Missouri,7040,5840.9,7678.1,5088.0,,4209.3,-1210.1,627.1,-1963.0,,-2841.7,True,False,,False
Montana,1232,1391.7,1609.9,1471.0,,1021.7,159.7,377.9,239.0,,-210.3,False,False,,False
Nebraska,1920,1399.7,1890.3,1364.0,,975.6,-520.3,-29.7,-556.0,,-944.4,True,False,,False
Nevada,4264,2201.3,2647.8,2150.0,,2593.5,-2058.7,-1612.2,-2110.0,,-1666.5,True,False,,True
New Hampshire,1042,611.6,854.2,686.0,,566.1,-430.4,-187.8,-356.0,,-475.9,True,True,,False
New Jersey,21455,17241.1,18034.8,17057.0,,16799.1,-4213.9,-3420.2,-4398.0,,-4655.9,True,False,,False
New Mexico,3265,1784.6,2503.5,1592.0,,1453.3,-1480.4,-761.5,-1673.0,,-1811.7,True,False,,False
New York,43453,34987.9,38228.3,34674.0,,33943.5,-8248.1,-5007.7,-8562.0,,-9292.5,True,False,,False
North Carolina,9287,7288.7,7824.2,7051.0,,6775.3,-1998.3,-1462.8,-2236.0,,-2511.7,True,False,,False
North Dakota,1447,1495.3,2131.1,1563.0,,757.4,48.3,684.1,116.0,,-689.6,False,False,,False
Ohio,11121,6550.1,7775.5,7846.0,,6249.5,-4570.9,-3345.5,-3275.0,,-4871.5,True,True,,False
Oklahoma,3504,2579.3,2507.5,2645.0,,2163.5,-924.7,-996.5,-859.0,,-1340.5,False,True,,False
Oregon,1957,1179.6,1245.4,1039.0,,981.1,-777.4,-711.6,-918.0,,-975.9,True,False,,False
Pennsylvania,21562,10808.7,13900.5,11272.0,,9963.4,-10753.3,-7661.5,-10290.0,,-11598.6,True,True,,False
Rhode Island,2154,1509.6,2651.5,1518.0,,1302.4,-644.4,497.5,-636.0,,-851.6,True,True,,False
South Carolina,7014,5658.9,5937.2,5442.0,,5074.4,-1355.1,-1076.8,-1572.0,,-1939.6,True,False,,False
South Dakota,1775,1234.1,1700.6,1208.0,,605.4,-540.9,-74.4,-567.0,,-1169.6,True,False,,False
Tennessee,9574,6207.3,7862.7,5816.0,,6813.6,-3366.7,-1711.3,-3758.0,,-2760.4,True,False,,True
Texas,36924,25534.9,26661.3,25908.0,42288.0,24295.7,-11051.1,-9924.7,-10678.0,5702.0,-12290.3,True,True,True,False
Utah,1663,1154.0,1774.7,1236.0,,1078.2,-509.0,111.7,-427.0,,-584.8,True,True,,False
Vermont,173,58.0,63.7,59.0,,60.7,-115.0,-109.3,-114.0,,-112.3,True,True,,True
Virginia,6449,4632.1,5110.5,5020.0,,3972.4,-1816.9,-1338.5,-1429.0,,-2476.6,True,True,,False
Washington,4285,3266.0,3948.5,3123.0,,3305.9,-1032.0,-349.5,-1175.0,,-992.1,True,False,,True
