,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,7566,3643.9,3145.9,6923.1,3866.0,-3922.1,-4420.1,-642.9,-3700.0,False,True,True
Alaska,262,252.4,147.8,47.4,,-9.6,-114.2,-214.6,,False,False,
Arizona,13098,8230.1,7155.0,10700.0,7115.0,-4867.9,-5943.0,-2398.0,-5983.0,False,True,False
Arkansas,4838,3575.9,4403.9,3758.0,2481.0,-1262.1,-434.1,-1080.0,-2357.0,True,True,False
California,40702,26141.7,20403.9,60833.1,20852.0,-14560.3,-20298.1,20131.1,-19850.0,False,False,False
Colorado,5620,2523.1,2996.4,5581.4,2403.0,-3096.9,-2623.6,-38.6,-3217.0,True,True,False
Connecticut,7046,4661.7,4639.1,8225.4,4631.0,-2384.3,-2406.9,1179.4,-2415.0,False,True,False
Delaware,1301,847.3,809.4,1279.2,716.0,-440.7,-478.6,-8.8,-572.0,False,True,False
District of Columbia,909,695.4,659.3,1042.1,647.0,-213.6,-249.7,133.1,-262.0,False,True,False
Florida,26360,27174.9,20214.5,28906.7,18880.0,814.9,-6145.5,2546.7,-7480.0,False,False,False
Georgia,14196,13088.9,8584.6,14668.7,9627.0,-1107.1,-5611.4,472.7,-4569.0,False,True,False
Hawaii,406,346.3,206.7,194.3,,-59.7,-199.3,-211.7,,False,False,
Idaho,1725,763.6,1006.2,1731.2,771.0,-961.4,-718.8,6.2,-954.0,True,True,True
Illinois,21213,11684.3,10499.4,18230.7,10704.0,-9528.7,-10713.6,-2982.3,-10509.0,False,True,False
Indiana,11262,4901.4,4644.5,8639.1,4691.0,-6347.6,-6604.5,-2609.9,-6558.0,False,True,False
Iowa,4651,2226.7,1961.5,3331.8,2297.0,-2424.3,-2689.5,-1319.2,-2354.0,False,True,True
Kansas,3767,1349.3,1535.6,5422.1,1130.0,-2417.7,-2231.4,1655.1,-2637.0,True,True,False
Kentucky,3714,1978.4,1864.4,4835.9,1857.0,-1735.6,-1849.6,1121.9,-1857.0,False,True,False
Louisiana,8801,7197.1,6247.4,9397.4,7075.0,-1603.9,-2553.6,596.4,-1726.0,False,True,False
Maine,590,157.9,201.3,411.7,290.0,-432.1,-388.7,-178.3,-300.0,True,True,True
Maryland,7107,4935.0,4336.3,7607.2,4637.0,-2172.0,-2770.7,500.2,-2470.0,False,True,False
Massachusetts,14531,11082.6,11022.5,14453.9,10039.0,-3448.4,-3508.5,-77.1,-4492.0,False,True,False
Michigan,15525,8383.3,7866.7,12578.6,8446.0,-7141.7,-7658.3,-2946.4,-7079.0,False,True,True
Minnesota,6255,2827.9,2785.7,5961.1,3104.0,-3427.1,-3469.3,-293.9,-3151.0,False,True,True
Mississippi,6018,4865.4,3905.3,5442.5,4149.0,-1152.6,-2112.7,-575.5,-1869.0,False,True,False
Missouri,7070,6106.6,4215.0,6813.6,2773.0,-934.4,-2826.0,-227.4,-4268.0,False,True,False
Montana,1232,458.7,911.7,956.3,457.0,-773.3,-320.3,-275.7,-775.0,True,True,False
Nebraska,1920,970.0,972.9,2227.5,862.0,-950.0,-947.1,307.5,-1058.0,True,True,False
Nevada,4264,2549.3,2371.7,4207.0,2115.0,-1714.7,-1892.3,-57.0,-2149.0,False,True,False
New Hampshire,1042,456.9,482.0,1258.1,478.0,-585.1,-560.0,216.1,-564.0,True,True,True
New Jersey,21455,16802.4,16567.7,25909.6,16525.0,-4652.6,-4887.3,4454.6,-4930.0,False,True,False
New Mexico,3265,1245.0,1264.6,2624.3,1175.0,-2020.0,-2000.4,-640.7,-2090.0,True,True,False
New York,43453,33916.7,33447.9,44735.2,33555.0,-9374.3,-9843.1,1444.2,-9736.0,False,True,False
North Carolina,9287,6976.7,6890.4,13652.4,6231.0,-2310.3,-2396.6,4365.4,-3056.0,False,False,False
North Dakota,1447,927.4,842.2,660.0,494.0,-519.6,-604.8,-787.0,-953.0,False,False,False
Ohio,16951,6991.0,6501.3,13513.7,6280.0,-10336.0,-10825.7,-3813.3,-11047.0,False,True,False
Oklahoma,3504,2077.4,1968.5,3789.6,1862.0,-1426.6,-1535.5,285.6,-1642.0,False,True,False
Oregon,1957,846.6,912.9,2555.7,807.0,-1110.4,-1044.1,598.7,-1150.0,True,True,False
Pennsylvania,21562,10336.0,9810.7,17535.7,9756.0,-11226.0,-11751.3,-4026.3,-11806.0,False,True,False
Rhode Island,2333,1446.3,1386.9,2125.9,1210.0,-872.7,-932.1,-193.1,-1109.0,False,True,False
South Carolina,7014,5593.9,4838.6,7283.9,4551.0,-1420.1,-2175.4,269.9,-2463.0,False,True,False
South Dakota,1775,503.7,573.8,847.8,433.0,-1271.3,-1201.2,-927.2,-1342.0,True,True,False
Tennessee,9574,5216.3,4562.5,7633.4,4374.0,-4357.7,-5011.5,-1940.6,-5200.0,False,True,False
Texas,36924,27477.1,25473.8,37027.7,25014.0,-9162.9,-11166.2,387.7,-11626.0,False,True,False
Utah,1663,685.1,1311.3,918.5,689.0,-977.9,-351.7,-744.5,-974.0,True,True,True
Vermont,173,58.0,63.7,63.5,58.0,-115.0,-109.3,-109.5,-115.0,True,True,False
Virginia,6449,5728.4,5237.7,7133.1,4875.0,-718.6,-1209.3,686.1,-1572.0,False,True,False
Washington,4285,3225.0,2871.1,4717.7,2470.0,-1079.0,-1432.9,413.7,-1834.0,False,True,False
