,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,7566,7579.7,7171.6,6864.7,7786.1,7634.0,7759.0,7224.0,6508.0,6923.4,7054.0,6009.5,6749.0,7639.0,7228.0,7273.4,,6169.8,8118.0,7988.0,6836.4,7049.6,7820.5,7307.7,7390.0,6807.9,7223.2,7175.8,7827.4,6949.0,,7081.5,7678.4,,7109.0,6456.9,6863.0,7584.8,,7482.1,7298.8,7071.6,6836.0,7336.2,7764.0,,6524.2,6964.0,13.7,-394.4,-701.3,220.1,68.0,193.0,-342.0,-1058.0,-642.6,-512.0,-1556.5,-817.0,73.0,-338.0,-292.6,,-1396.2,552.0,422.0,-729.6,-516.4,254.5,-258.3,-176.0,-758.1,-342.8,-390.2,261.4,-617.0,,-484.5,112.4,,-457.0,-1109.1,-703.0,18.8,,-83.9,-267.2,-494.4,-730.0,-229.8,198.0,,-1041.8,-602.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
Alaska,262,238.3,238.3,266.4,242.9,248.0,239.0,247.0,229.0,242.7,242.0,249.3,316.0,251.8,248.1,264.7,,273.3,,252.0,274.3,238.7,241.0,241.5,296.0,251.5,250.8,251.3,243.9,247.0,,,233.4,,245.0,296.3,247.0,246.1,,243.5,259.0,261.3,247.0,251.2,239.0,,244.0,243.0,-23.7,-23.7,4.4,-19.1,-14.0,-23.0,-15.0,-33.0,-19.3,-20.0,-12.7,54.0,-10.2,-13.9,2.7,,11.3,,-10.0,12.3,-23.3,-21.0,-20.5,34.0,-10.5,-11.2,-10.7,-18.1,-15.0,,,-28.6,,-17.0,34.3,-15.0,-15.9,,-18.5,-3.0,-0.7,-15.0,-10.8,-23.0,,-18.0,-19.0,True,True,True,True,True,True,False,True,True,True,False,True,True,True,,True,,True,True,True,True,True,False,True,True,True,True,True,,,False,,True,False,True,True,,True,True,True,True,True,True,,True,True
Arizona,13098,13355.3,13847.6,12842.2,13641.0,13523.0,13672.0,13641.0,13119.0,12943.5,13812.0,12407.3,13737.0,14272.7,13350.7,13558.1,,13553.6,13653.0,13849.0,12890.5,13279.3,14123.0,13564.5,13883.0,14105.7,13760.3,13606.4,13668.0,13187.5,,14236.3,13676.5,,13678.0,12826.1,12650.0,12996.8,,14470.9,13839.2,13151.4,13043.0,14429.1,14027.0,,11816.1,12776.0,257.3,749.6,-255.8,543.0,425.0,574.0,543.0,21.0,-154.5,714.0,-690.7,639.0,1174.7,252.7,460.1,,455.6,555.0,751.0,-207.5,181.3,1025.0,466.5,785.0,1007.7,662.3,508.4,570.0,89.5,,1138.3,578.5,,580.0,-271.9,-448.0,-101.2,,1372.9,741.2,53.4,-55.0,1331.1,929.0,,-1281.9,-322.0,False,True,False,False,False,False,True,True,False,False,False,False,True,False,,False,False,False,True,True,False,False,False,False,False,False,False,True,,False,False,,False,False,False,True,,False,False,True,True,False,False,,False,False
Arkansas,4838,4808.7,4913.3,4718.2,4864.5,4949.0,4859.0,4877.0,4812.0,4830.0,5016.0,4869.9,4977.0,4982.9,4915.3,4906.6,,4985.5,4954.0,4873.0,4808.4,4974.2,4763.0,4813.9,4901.0,4736.7,4907.8,4962.1,4896.8,4744.0,,5032.1,4724.5,,4917.0,5001.1,4609.0,4789.9,,5038.5,4929.1,4780.5,4749.0,4903.0,4990.0,,4588.8,4777.0,-29.3,75.3,-119.8,26.5,111.0,21.0,39.0,-26.0,-8.0,178.0,31.9,139.0,144.9,77.3,68.6,,147.5,116.0,35.0,-29.6,136.2,-75.0,-24.1,63.0,-101.3,69.8,124.1,58.8,-94.0,,194.1,-113.5,,79.0,163.1,-229.0,-48.1,,200.5,91.1,-57.5,-89.0,65.0,152.0,,-249.2,-61.0,False,False,True,False,True,False,True,True,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
California,40702,40321.1,43641.3,39333.4,41053.8,42068.0,40809.9,40511.0,38919.0,39476.3,40238.0,37301.4,40020.0,42102.1,40423.0,40990.2,,40408.1,41490.0,,39999.4,39487.8,41910.5,41221.0,41452.0,43496.0,40218.2,41525.2,41010.6,42632.0,,41457.2,41628.1,,40048.0,41753.5,39915.0,39376.1,,41207.1,40302.1,40514.2,39312.0,42805.0,41420.0,,35381.5,40526.0,-380.9,2939.3,-1368.6,351.8,1366.0,107.9,-191.0,-1783.0,-1225.7,-464.0,-3400.6,-682.0,1400.1,-279.0,288.2,,-293.9,788.0,,-702.6,-1214.2,1208.5,519.0,750.0,2794.0,-483.8,823.2,308.6,1930.0,,755.2,926.1,,-654.0,1051.5,-787.0,-1325.9,,505.1,-399.9,-187.8,-1390.0,2103.0,718.0,,-5320.5,-176.0,False,False,True,False,True,True,False,False,False,False,False,False,True,True,,True,False,,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,,False,False,True,False,False,False,,False,True
Colorado,5620,5696.6,5810.6,5671.1,5686.1,5854.0,5709.0,5754.0,5780.0,5704.1,5788.0,5780.6,5925.0,5844.8,5658.8,5973.8,,6230.2,5995.0,5901.0,5773.2,5780.8,5709.0,5751.3,5879.0,5582.9,5733.5,5885.7,5657.0,5553.0,,6136.5,5618.7,,5806.0,5546.4,5627.0,5670.5,,6358.0,5747.0,5749.4,5711.0,5997.0,5754.0,,5702.5,5429.0,76.6,190.6,51.1,66.1,234.0,89.0,134.0,160.0,84.1,168.0,160.6,305.0,224.8,38.8,353.8,,610.2,375.0,281.0,153.2,160.8,89.0,131.3,259.0,-37.1,113.5,265.7,37.0,-67.0,,516.5,-1.3,,186.0,-73.6,7.0,50.5,,738.0,127.0,129.4,91.0,377.0,134.0,,82.5,-191.0,False,True,True,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,True,False,False,True,True,,False,True,,False,True,True,True,,False,False,False,False,False,False,,False,False
Connecticut,7046,7095.4,7077.1,7027.6,7114.1,7173.0,7134.0,7130.0,7201.0,6995.7,7264.0,6978.5,7420.0,7134.8,7053.3,7192.3,,7284.2,7175.0,7138.0,7112.4,7081.5,7046.0,7018.8,7191.0,7061.8,7253.8,7250.9,7120.9,6980.0,,7435.5,6862.4,,7191.0,6776.0,6754.0,7037.8,,7433.5,7263.6,7080.4,7068.0,7184.0,7240.0,,6725.4,7122.0,49.4,31.1,-18.4,68.1,127.0,88.0,84.0,155.0,-50.3,218.0,-67.5,374.0,88.8,7.3,146.3,,238.2,129.0,92.0,66.4,35.5,0.0,-27.2,145.0,15.8,207.8,204.9,74.9,-66.0,,389.5,-183.6,,145.0,-270.0,-292.0,-8.2,,387.5,217.6,34.4,22.0,138.0,194.0,,-320.6,76.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,True,True,True,False,True,False,False,False,False,,False,False,,False,False,False,True,,False,False,True,True,False,False,,False,False
Delaware,1081,1097.7,1122.1,1076.8,1108.4,1122.0,1110.0,1109.0,1102.0,1088.4,1097.0,1083.8,1130.0,1092.2,1111.1,1126.6,,1070.4,1178.0,1125.0,1152.6,1098.3,1068.0,1094.0,1132.0,1060.0,1107.8,1122.0,1100.6,1108.0,,,1108.8,,1142.0,1148.2,1083.0,1089.4,,1210.7,1131.5,1128.6,1102.0,1080.0,1125.0,,1052.8,1137.0,16.7,41.1,-4.2,27.4,41.0,29.0,28.0,21.0,7.4,16.0,2.8,49.0,11.2,30.1,45.6,,-10.6,97.0,44.0,71.6,17.3,-13.0,13.0,51.0,-21.0,26.8,41.0,19.6,27.0,,,27.8,,61.0,67.2,2.0,8.4,,129.7,50.5,47.6,21.0,-1.0,44.0,,-28.2,56.0,False,True,False,False,False,False,False,True,True,True,False,True,False,False,,True,False,False,False,False,True,True,False,False,False,False,False,False,,,False,,False,False,True,True,,False,False,False,False,True,False,,False,False
District of Columbia,909,911.3,902.5,882.7,908.6,914.0,915.0,907.0,905.0,910.8,910.0,896.9,979.0,906.3,902.9,913.9,,870.5,934.0,907.0,897.2,910.2,909.0,902.5,909.0,,,,915.2,913.0,,,903.5,,900.0,880.6,907.0,908.3,,884.2,,902.1,906.0,,906.0,,871.0,917.0,2.3,-6.5,-26.3,-0.4,5.0,6.0,-2.0,-4.0,1.8,1.0,-12.1,70.0,-2.7,-6.1,4.9,,-38.5,25.0,-2.0,-11.8,1.2,0.0,-6.5,0.0,,,,6.2,4.0,,,-5.5,,-9.0,-28.4,-2.0,-0.7,,-24.8,,-6.9,-3.0,,-3.0,,-38.0,8.0,False,False,True,False,False,True,False,True,True,False,False,False,False,False,,False,False,True,False,True,True,False,True,,,,False,False,,,False,,False,False,True,True,,False,,False,False,,False,,False,False
Florida,26360,26412.0,26294.8,25496.1,26362.1,26575.0,26404.3,26456.0,26252.0,25908.4,26873.0,24913.8,32275.0,27134.4,26280.5,26498.9,,26376.6,26480.0,,27914.1,26398.0,26456.0,26531.2,26694.0,25638.3,26463.6,26696.8,26538.6,25822.0,,26743.4,26622.4,,26556.0,28667.2,26418.0,26387.0,,25761.5,26503.9,26333.3,26385.0,26601.5,26396.0,,25000.9,26709.0,52.0,-65.2,-863.9,2.1,215.0,44.3,96.0,-108.0,-451.6,513.0,-1446.2,5915.0,774.4,-79.5,138.9,,16.6,120.0,,1554.1,38.0,96.0,171.2,334.0,-721.7,103.6,336.8,178.6,-538.0,,383.4,262.4,,196.0,2307.2,58.0,27.0,,-598.5,143.9,-26.7,25.0,241.5,36.0,,-1359.1,349.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,,True,False,,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,False,True,,False,False,True,True,False,True,,False,False
