,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,7566,6340.4,6318.1,7364.0,6257.2,,7081.9,6454.0,7397.1,6426.3,6112.6,4475.0,-1225.6,-1247.9,-202.0,-1308.8,,-484.1,-1112.0,-168.9,-1139.7,-1453.4,-3091.0,False,True,False,,True,True,True,True,False,False
Alaska,262,315.9,319.1,219.0,411.4,,230.9,,267.5,321.1,346.9,183.9,53.9,57.1,-43.0,149.4,,-31.1,,5.5,59.1,84.9,-78.1,False,True,False,,True,,True,False,False,False
Arizona,13098,9432.9,9334.5,10984.0,10987.1,,9869.8,8800.0,12383.0,12396.6,9064.9,7596.9,-3665.1,-3763.5,-2114.0,-2110.9,,-3228.2,-4298.0,-715.0,-701.4,-4033.1,-5501.1,False,True,True,,True,False,True,True,False,False
Arkansas,4838,4152.9,3987.5,3058.0,4040.5,,4103.9,4090.0,4657.0,4001.0,4610.5,3117.3,-685.1,-850.5,-1780.0,-797.5,,-734.1,-748.0,-181.0,-837.0,-227.5,-1720.7,False,False,False,,False,False,True,False,True,False
California,40702,26033.0,25900.8,35057.0,31044.2,,35469.6,25680.0,31228.1,35448.7,25947.5,21931.8,-14658.0,-14790.2,-5634.0,-9646.8,,-5221.4,-15011.0,-9462.9,-5242.3,-14743.5,-18759.2,False,True,True,,True,False,True,True,False,False
Colorado,5620,6129.6,6349.3,3850.0,6873.6,,7826.4,6165.0,7475.1,4964.0,6284.5,3778.6,509.6,729.3,-1770.0,1253.6,,2206.4,545.0,1855.1,-656.0,664.5,-1841.4,False,False,False,,False,False,False,False,False,False
Connecticut,7046,6599.6,6627.4,5601.0,6829.7,,6995.9,6449.0,7798.6,6665.9,6257.9,5367.5,-446.4,-418.6,-1445.0,-216.3,,-50.1,-597.0,752.6,-380.1,-788.1,-1678.5,True,False,True,,True,False,False,True,False,False
Delaware,1301,973.7,942.1,1029.0,1079.0,,975.8,969.0,1098.5,1200.5,942.9,856.2,-271.3,-302.9,-216.0,-166.0,,-269.2,-276.0,-146.5,-44.5,-302.1,-388.8,False,True,True,,True,False,True,True,False,False
District of Columbia,909,830.6,831.8,859.0,871.7,,919.4,799.0,955.2,850.0,805.9,729.6,-78.4,-77.2,-50.0,-37.3,,10.4,-110.0,46.2,-59.0,-103.1,-179.4,True,True,True,,True,False,True,True,False,False
Florida,26360,24496.3,24220.7,24086.0,24660.2,,26900.8,22826.0,28416.9,24890.4,24209.3,21339.5,-1863.7,-2139.3,-2274.0,-1699.8,,540.8,-3534.0,2056.9,-1469.6,-2150.7,-5020.5,False,False,True,,True,False,False,True,False,False
Georgia,14196,12666.0,12744.3,10153.0,11240.6,,12578.6,12000.0,13823.1,12848.1,12879.3,10705.6,-1530.0,-1451.7,-4043.0,-2955.4,,-1617.4,-2196.0,-372.9,-1347.9,-1316.7,-3490.4,True,False,False,,False,False,True,True,True,False
Hawaii,406,403.4,429.0,308.0,282.2,,423.5,,326.5,329.9,301.0,296.7,-2.6,23.0,-98.0,-123.8,,17.5,,-79.5,-76.1,-105.0,-109.3,False,False,False,,False,,False,False,False,False
Idaho,1725,1938.6,1984.0,1492.0,1855.7,,2004.0,1942.0,2361.2,1612.6,1950.9,1277.6,213.6,259.0,-233.0,130.7,,279.0,217.0,636.2,-112.4,225.9,-447.4,False,False,True,,False,False,False,True,False,False
Illinois,21213,23811.7,23440.8,15610.0,21817.4,,22701.0,20670.0,23815.7,18060.2,22455.9,15956.0,2598.7,2227.8,-5603.0,604.4,,1488.0,-543.0,2602.7,-3152.8,1242.9,-5257.0,True,False,True,,True,True,False,False,True,False
Indiana,11262,10618.4,10558.4,7827.0,11045.4,,9289.2,10188.0,13128.4,9160.5,11170.6,6856.6,101.4,41.4,-2690.0,528.4,,-1227.8,-329.0,2611.4,-1356.5,653.6,-3660.4,True,False,False,,False,False,False,False,False,False
Iowa,4651,5215.6,5138.0,2855.0,3930.6,,4252.1,5422.0,4436.1,3232.6,5140.9,3274.9,564.6,487.0,-1796.0,-720.4,,-398.9,771.0,-214.9,-1418.4,489.9,-1376.1,True,False,False,,True,False,True,False,True,False
Kansas,3767,3805.3,3841.3,2120.0,3304.8,,3735.6,3775.0,4450.8,2653.9,3306.7,1995.0,38.3,74.3,-1647.0,-462.2,,-31.4,8.0,683.8,-1113.1,-460.3,-1772.0,False,False,False,,True,True,False,False,False,False
Kentucky,3714,3454.9,3477.2,3331.0,3508.1,,3810.9,3303.0,4508.7,3389.4,4106.7,2453.7,-259.1,-236.8,-383.0,-205.9,,96.9,-411.0,794.7,-324.6,392.7,-1260.3,True,False,True,,True,False,False,False,False,False
Louisiana,8801,7974.7,7804.5,7814.0,9728.2,,8759.8,7937.0,9428.3,11739.8,7926.5,7209.1,-826.3,-996.5,-987.0,927.2,,-41.2,-864.0,627.3,2938.8,-874.5,-1591.9,False,False,False,,True,False,True,False,False,False
Maine,590,509.9,514.9,233.0,468.5,,461.8,577.0,625.5,427.8,279.0,255.9,-80.1,-75.1,-357.0,-121.5,,-128.2,-13.0,35.5,-162.2,-311.0,-334.1,True,False,False,,False,True,True,False,False,False
Maryland,7107,6582.4,6564.6,5528.0,7545.5,,8228.5,6440.0,8168.1,6781.4,6170.9,5160.8,-524.6,-542.4,-1579.0,438.5,,1121.5,-667.0,1061.1,-325.6,-936.1,-1946.2,False,False,True,,False,False,False,True,False,False
Massachusetts,14531,13219.7,13179.0,12389.0,13982.5,,13714.5,13256.0,14802.1,14293.2,12972.6,11636.3,-1311.3,-1352.0,-2142.0,-548.5,,-816.5,-1275.0,271.1,-237.8,-1558.4,-2894.7,False,False,True,,True,True,True,True,False,False
Michigan,15525,17031.0,17152.5,11480.0,17935.0,,14836.8,16178.0,19968.7,14455.8,16270.8,11175.7,1506.0,1627.5,-4045.0,2410.0,,-688.2,653.0,4443.7,-1069.2,745.8,-4349.3,False,False,False,,True,True,False,True,True,False
Minnesota,6255,7233.0,7170.3,4922.0,8290.6,,6786.7,8143.0,9090.1,6050.5,7895.3,4699.7,978.0,915.3,-1333.0,2035.6,,531.7,1888.0,2835.1,-204.5,1640.3,-1555.3,True,False,False,,True,False,False,True,False,False
Mississippi,6018,5178.9,5308.9,7215.0,5567.0,,5236.4,5109.0,6276.8,6277.4,5353.9,4427.0,-839.1,-709.1,1197.0,-451.0,,-781.6,-909.0,258.8,259.4,-664.1,-1591.0,True,False,True,,True,False,True,True,True,False
Missouri,7070,7694.0,7730.6,4776.0,6261.0,,6548.4,6722.0,7830.5,5007.5,7031.0,4793.1,653.0,689.6,-2265.0,-780.0,,-492.6,-319.0,789.5,-2033.5,-10.0,-2247.9,False,False,False,,True,True,False,False,True,False
Montana,1232,1246.7,1254.1,965.0,1400.8,,1929.3,1468.0,1635.5,1124.8,1313.6,934.0,14.7,22.1,-267.0,168.8,,697.3,236.0,403.5,-107.2,81.6,-298.0,False,False,False,,False,False,False,False,False,False
Nebraska,1920,2902.1,2833.9,1512.0,2274.8,,2835.4,3042.0,2472.0,1773.9,2513.2,1518.9,982.1,913.9,-408.0,354.8,,915.4,1122.0,552.0,-146.1,593.2,-401.1,True,True,True,,True,False,True,True,True,True
Nevada,4264,3721.4,3757.2,4169.0,4107.7,,3789.4,3564.0,5179.2,4153.1,3862.5,2640.6,-542.6,-506.8,-95.0,-156.3,,-474.6,-700.0,915.2,-110.9,-401.5,-1623.4,True,True,True,,True,False,False,True,True,False
New Hampshire,1042,862.6,846.7,856.0,774.7,,697.2,910.0,954.5,909.9,826.8,599.5,-179.4,-195.3,-186.0,-267.3,,-344.8,-132.0,-87.5,-132.1,-215.2,-442.5,False,False,False,,False,True,True,True,False,False
New Jersey,21455,20016.0,20079.5,18937.0,20917.4,,22500.4,19526.0,21596.4,19861.3,21181.3,17660.8,-1439.0,-1375.5,-2518.0,-537.6,,1045.4,-1929.0,141.4,-1593.7,-273.7,-3794.2,True,False,True,,True,False,True,False,True,False
New Mexico,3265,3391.1,3425.9,2930.0,4293.0,,4369.4,3104.0,5053.1,3310.3,2795.1,2100.2,126.1,160.9,-335.0,1028.0,,1104.4,-161.0,1788.1,45.3,-469.9,-1164.8,False,False,False,,False,False,False,True,False,False
New York,43453,38077.3,38415.1,41464.0,44564.5,,41883.2,38106.0,40456.0,47112.3,39391.1,35195.7,-5336.7,-4998.9,-1950.0,1150.5,,-1530.8,-5308.0,-2958.0,3698.3,-4022.9,-8218.3,True,True,True,,True,True,True,True,True,False
North Carolina,9287,7923.7,7891.7,10752.0,8041.0,,9842.7,7643.0,9782.3,8659.2,7890.5,6379.4,-1363.3,-1395.3,1465.0,-1246.0,,555.7,-1644.0,495.3,-627.8,-1396.5,-2907.6,False,False,True,,True,False,True,True,False,False
North Dakota,1447,1749.7,1749.0,1079.0,1652.6,,1478.8,1804.0,1681.9,1300.8,1185.1,1250.1,302.7,302.0,-368.0,205.6,,31.8,357.0,234.9,-146.2,-261.9,-196.9,True,False,True,,True,False,True,True,True,True
Ohio,16951,11359.0,11492.5,9790.0,12985.3,,12121.1,11521.0,14932.4,10885.9,12471.6,7903.6,-3559.0,-3425.5,-5128.0,-1932.7,,-2796.9,-3397.0,14.4,-4032.1,-2446.4,-7014.4,True,False,True,,True,True,True,False,True,False
Oklahoma,3504,3153.1,3129.4,2512.0,3264.6,,3383.5,3303.0,3539.8,2755.8,3610.3,2249.9,-350.9,-374.6,-992.0,-239.4,,-120.5,-201.0,35.8,-748.2,106.3,-1254.1,False,False,True,,True,True,True,False,True,False
Oregon,1957,2038.7,2075.2,2262.0,2041.1,,2880.8,1959.0,2981.6,2453.9,2319.2,1236.4,81.7,118.2,305.0,84.1,,923.8,2.0,1024.6,496.9,362.2,-720.6,False,False,False,,False,True,False,False,False,False
Pennsylvania,21562,18782.1,18847.4,18795.0,22148.7,,21028.3,18984.0,24354.3,21531.5,18809.3,12310.9,-2779.9,-2714.6,-2767.0,586.7,,-533.7,-2578.0,2792.3,-30.5,-2752.7,-9251.1,True,True,True,,True,True,False,True,True,False
Rhode Island,2333,1939.4,1950.1,1980.0,2071.9,,1925.8,1746.0,2248.6,2124.9,1805.3,1445.2,-309.6,-298.9,-269.0,-177.1,,-323.2,-503.0,-0.4,-124.1,-443.7,-803.8,True,True,True,,False,False,True,True,False,False
South Carolina,7014,6239.6,5886.4,5284.0,5662.2,,6788.3,5478.0,6525.2,5757.7,6241.0,5093.3,-774.4,-1127.6,-1730.0,-1351.8,,-225.7,-1536.0,-488.8,-1256.3,-773.0,-1920.7,False,False,False,,True,False,True,False,True,False
South Dakota,1775,2422.1,2283.0,1388.0,2114.3,,1975.5,2669.0,2580.2,1664.8,1547.5,1540.1,647.1,508.0,-387.0,339.3,,200.5,894.0,805.2,-110.2,-227.5,-234.9,True,True,True,,True,False,False,True,True,True
Tennessee,9574,7999.4,7818.1,8087.0,9249.8,,8794.8,8159.0,9714.5,8240.8,8271.4,5810.8,-1574.6,-1755.9,-1487.0,-324.2,,-779.2,-1415.0,140.5,-1333.2,-1302.6,-3763.2,False,True,True,,True,True,True,True,True,False
Texas,36924,33304.1,33184.4,27312.0,34563.2,,35168.8,33614.0,40617.5,40565.9,32036.4,26272.0,-3323.9,-3443.6,-9316.0,-2064.8,,-1459.2,-3014.0,3989.5,3937.9,-4591.6,-10356.0,False,False,True,,True,True,False,False,False,False
Utah,1663,1496.9,1547.0,1162.0,2186.1,,2145.8,1694.0,2207.2,1360.9,1454.5,838.1,-166.1,-116.0,-501.0,523.1,,482.8,31.0,544.2,-302.1,-208.5,-824.9,True,False,False,,False,True,False,False,False,False
Vermont,173,173.3,175.0,128.0,146.9,,101.8,81.5,249.5,200.8,181.8,84.3,0.3,2.0,-45.0,-26.1,,-71.2,-91.5,76.5,27.8,8.8,-88.7,False,False,False,,False,False,False,False,False,False
Virginia,6449,5315.7,5341.9,6283.0,6049.8,,8867.7,5500.0,6769.8,6289.4,5243.4,4683.9,-1133.3,-1107.1,-166.0,-399.2,,2418.7,-949.0,320.8,-159.6,-1205.6,-1765.1,True,True,True,,False,True,True,True,False,False
