,mean_rank
OliverWyman-Navigator,13.3
Microsoft-DeepSTIA,14.7
Karlen-pypm,15.0
MOBS-GLEAM_COVID,15.1
Google_Harvard-CPF,15.3
Caltech-CS156,15.5
SteveMcConnell-CovidComplete,15.7
COVIDhub-ensemble,15.7
UCSD_NEU-DeepGLEAM,16.2
CMU-TimeSeries,16.4
IowaStateLW-STEM,16.5
UMass-MechBayes,16.7
epiforecasts-ensemble1,17.2
GT-DeepCOVID,17.8
Covid19Sim-Simulator,18.0
BPagano-RtDriven,18.1
JHU_IDD-CovidSP,18.5
MIT_CritData-GBCF,18.8
Wadhwani_AI-BayesOpt,19.3
PSI-DRAFT,19.7
CEID-Walk,19.8
LNQ-ens1,20.3
UCSB-ACTS,20.4
UA-EpiCovDA,20.4
AIpert-pwllnod,20.7
COVIDhub-baseline,20.7
TTU-squider,21.6
UCLA-SuEIR,21.9
DDS-NBDS,22.4
USC-SI_kJalpha,22.5
LANL-GrowthRate,22.9
UMich-RidgeTfReg,22.9
CovidAnalytics-DELPHI,23.1
JHUAPL-Bucky,24.1
MITCovAlliance-SIR,24.4
RobertWalraven-ESG,26.5
Columbia_UNC-SurvCon,27.5
CU-select,31.3
WalmartLabsML-LogForecasting,33.3
