,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,7566,3840.3,4335.6,3580.0,,-3725.7,-3230.4,-3986.0,,True,False,
Alaska,262,83.7,247.0,,,-178.3,-15.0,,,True,,
Arizona,13098,7327.6,7375.5,7911.0,,-5770.4,-5722.5,-5187.0,,True,True,
Arkansas,4838,2708.6,2739.9,3682.0,,-2129.4,-2098.1,-1156.0,,True,True,
California,40702,27225.6,18565.1,25000.0,,-13476.4,-22136.9,-15702.0,,False,False,
Colorado,5620,2305.7,2462.8,2573.0,,-3314.3,-3157.2,-3047.0,,True,True,
Connecticut,7046,4718.3,4614.5,4717.0,,-2327.7,-2431.5,-2329.0,,False,False,
Delaware,1301,734.1,886.6,688.0,,-551.9,-399.4,-598.0,,True,False,
District of Columbia,909,715.3,676.6,681.0,,-193.7,-232.4,-228.0,,False,False,
Florida,26360,27679.6,19090.0,20858.0,,1319.6,-7270.0,-5502.0,,False,False,
Georgia,14196,12210.7,9271.9,10500.0,,-1985.3,-4924.1,-3696.0,,False,False,
Hawaii,406,377.0,212.8,,,-29.0,-193.2,,,False,,
Idaho,1725,1010.7,939.9,910.0,,-714.3,-785.1,-815.0,,False,False,
Illinois,21213,11539.4,10254.3,10887.0,,-9673.6,-10958.7,-10326.0,,False,False,
Indiana,11262,4907.4,4613.7,5592.0,,-6382.6,-6676.3,-5698.0,,False,True,
Iowa,4651,2272.4,2143.7,2628.0,,-2378.6,-2507.3,-2023.0,,False,True,
Kansas,3767,1461.3,1207.1,802.0,,-2305.7,-2559.9,-2965.0,,False,False,
Kentucky,3714,2330.9,2343.9,2539.0,,-1383.1,-1370.1,-1175.0,,True,True,
Louisiana,8801,8054.7,6025.9,7442.0,,-746.3,-2775.1,-1359.0,,False,False,
Maine,590,175.7,165.8,296.0,,-414.3,-424.2,-294.0,,False,True,
Maryland,7107,4612.4,5067.8,4244.0,,-2494.6,-2039.2,-2863.0,,True,False,
Massachusetts,14531,10897.9,9734.4,9996.0,,-3633.1,-4796.6,-4535.0,,False,False,
Michigan,15525,8996.0,8781.3,8382.0,,-6529.0,-6743.7,-7143.0,,False,False,
Minnesota,6255,3202.1,2892.4,3504.0,,-3052.9,-3362.6,-2751.0,,False,True,
Mississippi,6018,4940.9,3595.8,6552.0,,-1077.1,-2422.2,534.0,,False,True,
Missouri,7070,2644.4,4054.6,2838.0,,-4398.6,-2988.4,-4205.0,,True,True,
Montana,1232,492.4,492.9,874.0,,-739.6,-739.1,-358.0,,True,True,
Nebraska,1920,1029.7,1090.9,1281.0,,-890.3,-829.1,-639.0,,True,True,
Nevada,4264,2703.0,1988.8,2506.0,,-1561.0,-2275.2,-1758.0,,False,False,
New Hampshire,1042,495.6,537.1,565.0,,-546.4,-504.9,-477.0,,True,True,
New Jersey,21455,16865.0,16460.2,17065.0,,-4590.0,-4994.8,-4390.0,,False,True,
New Mexico,3265,1220.1,1169.2,1459.0,,-2044.9,-2095.8,-1806.0,,False,True,
New York,43453,33737.9,33506.2,34388.0,,-9715.1,-9946.8,-9065.0,,False,True,
North Carolina,9287,6268.9,5243.5,7376.0,,-3018.1,-4043.5,-1911.0,,False,True,
North Dakota,1447,406.3,962.6,552.0,,-1040.7,-484.4,-895.0,,True,True,
Ohio,16951,7512.7,6658.1,8762.0,,-9721.3,-10575.9,-8472.0,,False,True,
Oklahoma,3504,1937.6,1916.1,2566.0,,-1566.4,-1587.9,-938.0,,False,True,
Oregon,1957,1065.0,860.6,1053.0,,-892.0,-1096.4,-904.0,,False,False,
Pennsylvania,21562,9397.7,10273.6,9490.0,,-12164.3,-11288.4,-12072.0,,True,True,
Rhode Island,2333,1388.7,1236.0,1171.0,,-919.3,-1072.0,-1137.0,,False,False,
South Carolina,7014,6578.7,5632.6,5400.0,,-435.3,-1381.4,-1614.0,,False,False,
South Dakota,1775,402.4,500.7,672.0,,-1372.6,-1274.3,-1103.0,,True,True,
Tennessee,9574,6307.6,4204.6,5616.0,,-3266.4,-5369.4,-3958.0,,False,False,
Texas,36924,29317.7,19057.4,27954.0,34163.0,-7302.3,-17562.6,-8666.0,-2457.0,False,False,True
Utah,1663,651.4,1226.6,1201.0,,-1011.6,-436.4,-462.0,,True,True,
Vermont,173,58.0,67.3,112.0,,-115.0,-105.7,-61.0,,True,True,
Virginia,6449,3637.4,4681.4,4829.0,,-2811.6,-1767.6,-1620.0,,True,True,
Washington,4285,2745.6,2753.5,2468.0,,-1547.4,-1539.5,-1825.0,,True,False,
West Virginia,2015,624.4,2626.1,1163.0,,-1390.6,611.1,-852.0,,True,True,
Wisconsin,6430,2044.0,3629.6,2410.0,,-4328.0,-2742.4,-3962.0,,True,True,
Wyoming,596,42.0,86.0,294.0,,-554.0,-510.0,-302.0,,True,True,
US,447084,295938.1,238943.9,291888.0,283429.0,-151033.9,-208028.1,-155084.0,-163543.0,False,False,False
