,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,7566,5575.0,6594.6,6212.9,5651.5,5731.0,5619.8,5987.0,5480.0,6108.8,5671.0,6240.0,6328.0,5700.2,5993.1,6242.7,,6219.0,6217.8,6185.4,6415.0,5809.0,5792.9,5677.3,5965.0,6137.7,5961.9,6350.6,6292.0,,5859.7,5654.9,5996.0,6590.8,5578.0,5439.6,,6180.6,6143.0,5933.0,5473.7,5570.0,6147.1,5353.4,6057.3,-1991.0,-971.4,-1353.1,-1914.5,-1835.0,-1946.2,-1579.0,-2086.0,-1457.2,-1895.0,-1326.0,-1238.0,-1865.8,-1572.9,-1323.3,,-1347.0,-1348.2,-1380.6,-1151.0,-1757.0,-1773.1,-1888.7,-1601.0,-1428.3,-1604.1,-1215.4,-1274.0,,-1706.3,-1911.1,-1570.0,-975.2,-1988.0,-2126.4,,-1385.4,-1423.0,-1633.0,-2092.3,-1996.0,-1418.9,-2212.6,-1508.7,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,,True,True,True,False,False,True,False,True
Alaska,262,272.9,254.2,288.5,291.4,259.0,275.0,263.0,228.0,250.0,234.0,289.3,261.0,267.5,254.0,279.6,,,243.1,316.5,245.3,254.0,254.6,262.4,404.0,274.3,270.3,262.3,273.0,,,255.2,250.0,296.1,256.0,301.4,,252.6,302.1,267.0,259.6,238.0,282.2,249.1,312.9,10.9,-7.8,26.5,29.4,-3.0,13.0,1.0,-34.0,-12.0,-28.0,27.3,-1.0,5.5,-8.0,17.6,,,-18.9,54.5,-16.7,-8.0,-7.4,0.4,142.0,12.3,8.3,0.3,11.0,,,-6.8,-12.0,34.1,-6.0,39.4,,-9.4,40.1,5.0,-2.4,-24.0,20.2,-12.9,50.9,True,False,False,True,False,True,False,False,False,False,True,True,True,False,,,False,False,False,True,True,True,False,False,True,True,False,,,True,False,False,True,False,,True,False,True,True,False,False,False,False
Arizona,13098,11506.4,12057.2,11362.3,11646.6,11468.0,11609.0,11592.0,11338.0,11316.4,10897.0,11802.3,9983.0,12009.0,12131.4,11854.0,,11285.0,10649.6,12061.7,12003.5,11483.0,12051.5,10937.2,11262.0,12179.9,11538.4,12320.5,12974.0,,11158.5,11096.5,11553.0,12837.6,11776.0,11149.0,,11455.5,12250.5,12424.0,11964.1,11587.0,11649.2,9795.0,11872.5,-1591.6,-1040.8,-1735.7,-1451.4,-1630.0,-1489.0,-1506.0,-1760.0,-1781.6,-2201.0,-1295.7,-3115.0,-1089.0,-966.6,-1244.0,,-1813.0,-2448.4,-1036.3,-1094.5,-1615.0,-1046.5,-2160.8,-1836.0,-918.1,-1559.6,-777.5,-124.0,,-1939.5,-2001.5,-1545.0,-260.4,-1322.0,-1949.0,,-1642.5,-847.5,-674.0,-1133.9,-1511.0,-1448.8,-3303.0,-1225.5,True,False,True,False,True,True,False,False,False,True,False,True,True,True,,False,False,True,True,False,True,False,False,True,True,True,True,,False,False,True,True,True,False,,False,True,True,True,True,True,False,True
Arkansas,4838,4778.9,4930.0,4946.9,4863.9,4731.0,4881.1,4846.0,4495.0,4882.2,4864.0,5079.0,4754.0,4823.0,5015.5,5049.5,,4833.0,4934.1,4631.7,4954.8,4684.0,4742.2,4423.6,4483.0,4881.9,4828.5,5095.5,5207.5,,4723.5,4498.4,4974.0,4921.0,4846.0,4913.8,,4525.7,4925.1,4597.0,4977.5,4950.0,4741.7,4211.1,4684.9,-59.1,92.0,108.9,25.9,-107.0,43.1,8.0,-343.0,44.2,26.0,241.0,-84.0,-15.0,177.5,211.5,,-5.0,96.1,-206.3,116.8,-154.0,-95.8,-414.4,-355.0,43.9,-9.5,257.5,369.5,,-114.5,-339.6,136.0,83.0,8.0,75.8,,-312.3,87.1,-241.0,139.5,112.0,-96.3,-626.9,-153.1,False,False,True,False,True,True,False,True,True,False,False,True,False,False,,True,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,False,True,False,,False,False,False,False,False,False,False,False
California,40702,35725.4,40061.0,34365.4,36020.5,37844.0,35837.5,35950.0,32512.0,37303.0,33514.0,40184.1,34920.0,35118.8,38020.1,37400.1,,35939.0,32139.2,37252.2,37029.9,34666.5,36661.1,29642.4,35374.0,37022.4,35122.1,37379.5,36386.5,,31808.2,35226.5,35961.0,41937.4,35538.0,34811.7,,37449.9,37172.1,36184.0,40068.7,35770.0,,28767.8,36676.9,-4976.6,-641.0,-6336.6,-4681.5,-2858.0,-4864.5,-4752.0,-8190.0,-3399.0,-7188.0,-517.9,-5782.0,-5583.2,-2681.9,-3301.9,,-4763.0,-8562.8,-3449.8,-3672.1,-6035.5,-4040.9,-11059.6,-5328.0,-3679.6,-5579.9,-3322.5,-4315.5,,-8893.8,-5475.5,-4741.0,1235.4,-5164.0,-5890.3,,-3252.1,-3529.9,-4518.0,-633.3,-4932.0,,-11934.2,-4025.1,True,False,True,True,True,True,False,True,False,True,False,False,True,True,,True,False,True,True,False,True,False,False,True,False,True,True,,False,False,True,True,False,False,,True,True,True,True,True,,False,True
Colorado,5620,6183.7,6055.0,6161.3,6256.1,5951.0,6191.7,5862.0,5297.0,5788.6,5650.0,6097.3,5834.0,5873.3,6087.3,5927.5,,6091.0,5688.6,5682.8,5769.1,5705.0,5802.2,6331.2,5998.0,6258.6,5898.1,5880.2,6181.0,,5538.5,5477.2,5898.0,5137.0,5661.0,6124.2,,5900.5,6279.6,5669.0,5753.1,5675.0,5779.5,5459.6,5657.5,563.7,435.0,541.3,636.1,331.0,571.7,242.0,-323.0,168.6,30.0,477.3,214.0,253.3,467.3,307.5,,471.0,68.6,62.8,149.1,85.0,182.2,711.2,378.0,638.6,278.1,260.2,561.0,,-81.5,-142.8,278.0,-483.0,41.0,504.2,,280.5,659.6,49.0,133.1,55.0,159.5,-160.4,37.5,True,True,False,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,False,True,False,True,True,True,,True,True,True,True,True,True,,True,False,True,True,True,True,True,True
Connecticut,7046,7287.0,6798.9,7081.1,7257.8,6849.0,7330.6,6999.0,7623.0,6913.3,6446.0,6827.7,6385.0,6846.4,7295.6,7131.9,,6920.0,6833.1,7168.9,7031.8,6752.0,6926.8,6767.1,6986.0,7265.3,7126.4,7055.4,6999.0,,6666.1,6521.3,7061.0,6484.3,6712.0,7144.3,,6852.2,7329.1,6933.0,7141.8,6808.0,6886.5,6286.4,,241.0,-247.1,35.1,211.8,-197.0,284.6,-47.0,577.0,-132.7,-600.0,-218.3,-661.0,-199.6,249.6,85.9,,-126.0,-212.9,122.9,-14.2,-294.0,-119.2,-278.9,-60.0,219.3,80.4,9.4,-47.0,,-379.9,-524.7,15.0,-561.7,-334.0,98.3,,-193.8,283.1,-113.0,95.8,-238.0,-159.5,-759.6,,False,True,True,True,False,True,False,True,False,True,False,True,False,True,,True,True,True,True,False,True,False,True,True,True,True,True,,False,False,True,False,False,True,,True,False,True,True,True,True,False,
Delaware,1081,1057.3,1123.7,1111.7,1073.0,1082.0,1070.3,1079.0,1011.0,1078.3,991.0,1093.8,1080.0,1027.6,1097.4,1101.9,,1167.0,1010.1,1154.6,1080.1,1022.0,1037.1,1001.5,1130.0,1077.8,1128.6,1105.1,1111.0,,,995.1,1086.0,1173.8,1039.0,990.3,,1133.1,1131.5,1079.0,1032.9,1007.0,1137.3,988.3,1093.1,-23.7,42.7,30.7,-8.0,1.0,-10.7,-2.0,-70.0,-2.7,-90.0,12.8,-1.0,-53.4,16.4,20.9,,86.0,-70.9,73.6,-0.9,-59.0,-43.9,-79.5,49.0,-3.2,47.6,24.1,30.0,,,-85.9,5.0,92.8,-42.0,-90.7,,52.1,50.5,-2.0,-48.1,-74.0,56.3,-92.7,12.1,False,False,True,True,True,True,False,True,False,True,True,False,True,True,,False,False,False,True,False,False,False,False,True,False,False,False,,,False,True,False,False,False,,False,False,True,False,False,False,False,True
District of Columbia,909,894.3,888.0,909.6,898.5,902.0,912.0,903.0,862.0,917.5,891.0,885.8,814.0,893.2,913.9,907.4,,903.0,891.6,908.1,902.5,884.0,865.0,932.0,925.0,,,903.0,917.0,,,916.9,918.0,902.1,908.0,860.8,,1025.7,,884.0,,905.0,1016.9,820.6,906.0,-14.7,-21.0,0.6,-10.5,-7.0,3.0,-6.0,-47.0,8.5,-18.0,-23.2,-95.0,-15.8,4.9,-1.6,,-6.0,-17.4,-0.9,-6.5,-25.0,-44.0,23.0,16.0,,,-6.0,8.0,,,7.9,9.0,-6.9,-1.0,-48.2,,116.7,,-25.0,,-4.0,107.9,-88.4,-3.0,False,True,True,True,True,True,False,True,False,False,False,False,True,True,,True,False,True,True,False,False,False,False,,,True,True,,,True,True,True,True,False,,False,,False,,True,False,False,True
Florida,26360,24976.3,24518.1,25158.2,24943.9,25065.0,24909.6,25250.0,24064.0,25411.0,24302.0,25295.4,25150.0,24763.4,25944.2,26564.3,,24374.0,24573.9,29229.0,26006.7,25715.0,25083.8,25460.3,24939.0,25164.9,25378.2,25796.8,25455.5,,24446.1,24185.0,25288.0,29141.0,25406.0,24722.6,,24851.5,25218.6,26010.0,24969.8,25535.0,,23398.7,25719.3,-1383.7,-1841.9,-1201.8,-1416.1,-1295.0,-1450.4,-1110.0,-2296.0,-949.0,-2058.0,-1064.6,-1210.0,-1596.6,-415.8,204.3,,-1986.0,-1786.1,2869.0,-353.3,-645.0,-1276.2,-899.7,-1421.0,-1195.1,-981.8,-563.2,-904.5,,-1913.9,-2175.0,-1072.0,2781.0,-954.0,-1637.4,,-1508.5,-1141.4,-350.0,-1390.2,-825.0,,-2961.3,-640.7,False,True,False,True,False,True,False,True,False,True,True,False,True,True,,False,False,False,True,True,True,True,False,True,True,True,True,,False,False,True,False,True,False,,False,True,True,False,True,,False,True
