,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,7566,4400.1,5270.6,4230.0,3839.1,-3165.9,-2295.4,-3336.0,-3726.9,True,False,False
Alaska,262,95.9,369.9,,161.8,-166.1,107.9,,-100.2,True,,True
Arizona,13098,8357.6,7912.9,7285.0,7636.3,-4740.4,-5185.1,-5813.0,-5461.7,False,False,False
Arkansas,4838,3590.9,4209.6,3810.0,3107.4,-1247.1,-628.4,-1028.0,-1730.6,True,True,False
California,40702,21553.9,24638.6,21068.0,20971.4,-19144.1,-16059.4,-19630.0,-19726.6,True,False,False
Colorado,5620,3650.9,5112.1,3442.0,3148.0,-1969.1,-507.9,-2178.0,-2472.0,True,False,False
Connecticut,7046,5323.1,6705.5,5214.0,4989.8,-1722.9,-340.5,-1832.0,-2056.2,True,False,False
Delaware,1081,812.9,1099.2,878.0,745.4,-268.1,18.2,-203.0,-335.6,True,True,False
District of Columbia,909,748.9,710.9,678.0,718.3,-160.1,-198.1,-231.0,-190.7,False,False,False
Florida,26360,21057.6,27984.6,21144.0,20403.4,-5302.4,1624.6,-5216.0,-5956.6,True,True,False
Georgia,14196,10719.6,11259.8,10414.0,10422.1,-3022.4,-2482.2,-3328.0,-3319.9,True,False,False
Hawaii,406,244.7,405.1,,257.2,-161.3,-0.9,,-148.8,True,,True
Idaho,1725,1350.0,1758.9,1364.0,1029.1,-375.0,33.9,-361.0,-695.9,True,True,False
Illinois,21213,16027.9,24929.8,14056.0,14204.0,-5185.1,3716.8,-7157.0,-7009.0,True,False,False
Indiana,9967,7771.1,10791.0,7176.0,6573.3,-2195.9,824.0,-2791.0,-3393.7,True,False,False
Iowa,4651,3173.0,5387.9,3272.0,3105.3,-1478.0,736.9,-1379.0,-1545.7,True,True,False
Kansas,3767,1976.4,3565.1,2212.0,1767.2,-1723.6,-134.9,-1488.0,-1932.8,True,True,False
Kentucky,3714,2466.1,3208.8,2568.0,2936.3,-1247.9,-505.2,-1146.0,-777.7,True,True,True
Louisiana,8801,7340.3,7416.2,6826.0,7474.2,-1460.7,-1384.8,-1975.0,-1326.8,True,False,True
Maine,590,211.3,254.2,258.5,160.9,-378.7,-335.8,-331.5,-429.1,True,True,False
Maryland,7107,4923.4,5491.6,4827.0,4669.3,-2183.6,-1615.4,-2280.0,-2437.7,True,False,False
Massachusetts,14531,11761.6,14541.5,11546.0,10688.8,-2769.4,10.5,-2985.0,-3842.2,True,False,False
Michigan,15525,10861.9,18980.3,10732.0,9708.9,-4663.1,3455.3,-4793.0,-5816.1,True,False,False
Minnesota,6255,4856.1,7106.8,5806.0,4102.2,-1398.9,851.8,-449.0,-2152.8,True,True,False
Mississippi,6018,4569.4,4262.6,4289.0,4747.5,-1448.6,-1755.4,-1729.0,-1270.5,False,False,True
Missouri,7040,4670.9,7768.4,5366.0,3600.8,-2378.1,719.4,-1683.0,-3448.2,True,True,False
Montana,1232,1404.6,1995.2,1530.0,773.0,172.6,763.2,298.0,-459.0,False,False,False
Nebraska,1920,1284.0,2273.2,1405.0,871.4,-636.0,353.2,-515.0,-1048.6,True,True,False
Nevada,4264,2681.0,2693.3,2314.0,2711.4,-1583.0,-1570.7,-1950.0,-1552.6,True,False,True
New Hampshire,1042,560.1,788.9,682.0,526.2,-481.9,-253.1,-360.0,-515.8,True,True,False
New Jersey,21455,17318.3,18391.3,17560.0,17084.4,-4136.7,-3063.7,-3895.0,-4370.6,True,True,False
New Mexico,3265,2208.9,2564.8,1967.0,1745.5,-1056.1,-700.2,-1298.0,-1519.5,True,False,False
New York,43453,35693.4,44982.4,35471.0,34050.4,-7759.6,1529.4,-7982.0,-9402.6,True,False,False
North Carolina,9287,7263.0,7634.0,6990.0,6591.4,-2024.0,-1653.0,-2297.0,-2695.6,True,False,False
North Dakota,1447,1919.6,2142.9,1836.0,971.7,472.6,695.9,389.0,-475.3,False,True,False
Ohio,11121,8054.4,8681.8,8348.0,7830.4,-3066.6,-2439.2,-2773.0,-3290.6,True,True,False
Oklahoma,3504,2540.7,2598.0,2946.0,2171.6,-963.3,-906.0,-558.0,-1332.4,True,True,False
Oregon,1957,1192.4,1498.0,1163.0,1076.5,-764.6,-459.0,-794.0,-880.5,True,False,False
Pennsylvania,21562,11400.1,13743.5,11422.0,10857.7,-10161.9,-7818.5,-10140.0,-10704.3,True,True,False
Rhode Island,2154,1496.7,2461.6,1545.0,1278.1,-657.3,307.6,-609.0,-875.9,True,True,False
South Carolina,7014,5221.7,6120.0,5262.0,4725.7,-1792.3,-894.0,-1752.0,-2288.3,True,True,False
South Dakota,1775,1709.9,1824.1,1563.0,1050.1,-65.1,49.1,-212.0,-724.9,True,False,False
Tennessee,9574,6464.4,7356.6,5993.0,6291.8,-3109.6,-2217.4,-3581.0,-3282.2,True,False,False
Texas,36924,27270.6,29182.1,26608.0,25440.6,-9302.4,-7390.9,-9965.0,-11132.4,True,False,False
Utah,1663,1192.6,2047.6,1424.0,1450.7,-470.4,384.6,-239.0,-212.3,True,True,True
Vermont,173,70.9,59.9,70.0,61.5,-102.1,-113.1,-103.0,-111.5,False,False,False
Virginia,6449,4323.6,5328.6,4728.0,3985.3,-2125.4,-1120.4,-1721.0,-2463.7,True,True,False
Washington,4285,3304.6,5041.9,3227.0,3329.6,-997.4,739.9,-1075.0,-972.4,True,False,True
West Virginia,2015,1025.7,1080.4,1230.0,876.8,-989.3,-934.6,-785.0,-1138.2,True,True,False
