,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,7566,7122.9,7220.4,7241.6,7241.7,7111.0,7195.0,7157.0,7019.0,7164.0,6549.5,6903.0,7427.7,,7015.7,7401.5,7114.8,,6709.6,7333.0,6810.4,7246.0,6947.0,7081.9,7225.0,7164.9,7329.0,7289.6,7206.9,7118.7,7166.1,7157.0,,7428.9,7192.1,,7198.0,6456.9,7057.0,7078.3,,6964.7,7220.5,7036.0,7032.0,7535.5,7214.0,7186.0,,6894.0,7180.0,-443.1,-345.6,-324.4,-324.3,-455.0,-371.0,-409.0,-547.0,-402.0,-1016.5,-663.0,-138.3,,-550.3,-164.5,-451.2,,-856.4,-233.0,-755.6,-320.0,-619.0,-484.1,-341.0,-401.1,-237.0,-276.4,-359.1,-447.3,-399.9,-409.0,,-137.1,-373.9,,-368.0,-1109.1,-509.0,-487.7,,-601.3,-345.5,-530.0,-534.0,-30.5,-352.0,-380.0,,-672.0,-386.0,True,True,True,False,True,True,False,True,False,False,True,,False,True,False,,False,True,False,True,False,False,True,True,True,True,True,False,True,True,,True,True,,True,False,False,False,,False,True,False,False,True,True,True,,False,True
Alaska,262,284.7,265.9,268.7,291.8,284.0,289.0,270.0,259.0,267.0,241.5,271.0,277.2,,268.1,271.7,270.1,,233.4,,266.8,279.0,276.6,267.4,265.0,271.4,291.0,273.3,274.6,270.5,284.8,271.0,,,268.6,,274.0,296.3,266.0,282.5,,260.3,276.2,284.5,265.0,271.8,268.0,269.0,,268.7,275.0,22.7,3.9,6.7,29.8,22.0,27.0,8.0,-3.0,5.0,-20.5,9.0,15.2,,6.1,9.7,8.1,,-28.6,,4.8,17.0,14.6,5.4,3.0,9.4,29.0,11.3,12.6,8.5,22.8,9.0,,,6.6,,12.0,34.3,4.0,20.5,,-1.7,14.2,22.5,3.0,9.8,6.0,7.0,,6.7,13.0,True,True,False,True,False,True,True,True,True,True,True,,True,True,True,,False,,True,True,True,True,True,True,False,True,True,True,False,True,,,True,,True,False,True,True,,True,True,True,True,True,True,True,,True,True
Arizona,13098,13071.1,13423.0,13118.9,13061.8,13124.0,13092.0,13111.0,13269.0,13291.0,12695.5,13161.0,14348.8,,13036.8,13810.1,13030.6,,13322.4,13376.0,12893.2,13117.0,12911.7,13037.3,13075.0,13247.3,13305.0,12948.0,13175.9,13216.7,13020.8,13349.0,,13440.7,13132.1,,13162.0,12828.3,13000.0,12902.3,,12877.5,13185.6,12891.5,13020.0,13296.4,13267.0,13217.5,,12577.4,13166.0,-26.9,325.0,20.9,-36.2,26.0,-6.0,13.0,171.0,193.0,-402.5,63.0,1250.8,,-61.2,712.1,-67.4,,224.4,278.0,-204.8,19.0,-186.3,-60.7,-23.0,149.3,207.0,-150.0,77.9,118.7,-77.2,251.0,,342.7,34.1,,64.0,-269.7,-98.0,-195.7,,-220.5,87.6,-206.5,-78.0,198.4,169.0,119.5,,-520.6,68.0,False,True,False,True,True,True,False,False,False,False,False,,False,False,False,,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Arkansas,4838,4858.9,4874.9,4809.4,4835.6,4841.0,4833.0,4827.0,4776.0,4822.0,4713.5,4824.0,4990.3,,4786.7,4812.5,4776.5,,4778.7,4850.0,4864.6,4838.0,4814.7,4859.9,4829.0,4841.4,4844.0,4798.0,4832.8,4856.0,4807.5,4827.0,,4879.4,4811.1,,4840.0,5003.4,4807.0,4829.1,,4724.9,4837.1,4801.7,4821.0,4852.3,4828.0,4821.5,,4750.3,4861.0,20.9,36.9,-28.6,-2.4,3.0,-5.0,-11.0,-62.0,-16.0,-124.5,-14.0,152.3,,-51.3,-25.5,-61.5,,-59.3,12.0,26.6,0.0,-23.3,21.9,-9.0,3.4,6.0,-40.0,-5.2,18.0,-30.5,-11.0,,41.4,-26.9,,2.0,165.4,-31.0,-8.9,,-113.1,-0.9,-36.3,-17.0,14.3,-10.0,-16.5,,-87.7,23.0,False,False,True,True,True,True,False,True,False,True,False,,False,False,False,,False,True,False,True,False,False,True,True,True,False,True,True,False,True,,False,False,,True,False,False,True,,False,True,False,True,True,True,True,,False,False
California,40702,40126.1,40846.5,40120.8,40336.7,40193.0,40284.0,40233.0,39354.0,40143.0,38539.4,39849.0,43568.0,,39555.2,40793.0,40120.4,,41343.7,40981.0,39629.1,39964.0,39716.6,39807.7,40605.5,40387.0,40707.0,40648.1,40182.9,40313.0,39820.8,41865.0,,40422.0,40098.8,,39873.0,41705.9,40400.0,39870.7,,41104.5,40218.2,39769.3,39637.0,40988.9,40277.0,40608.5,,38250.5,40354.0,-575.9,144.5,-581.2,-365.3,-509.0,-418.0,-469.0,-1348.0,-559.0,-2162.6,-853.0,2866.0,,-1146.8,91.0,-581.6,,641.7,279.0,-1072.9,-738.0,-985.4,-894.3,-96.5,-315.0,5.0,-53.9,-519.1,-389.0,-881.2,1163.0,,-280.0,-603.2,,-829.0,1003.9,-302.0,-831.3,,402.5,-483.8,-932.7,-1065.0,286.9,-425.0,-93.5,,-2451.5,-348.0,True,False,True,True,True,True,False,True,False,False,False,,False,True,False,,False,True,False,False,False,False,True,True,True,True,True,True,False,False,,True,False,,False,False,True,False,,True,True,False,False,True,True,True,,False,True
Colorado,5620,5613.0,5642.5,5611.5,5605.6,5607.0,5601.0,5648.0,5676.0,5643.0,5602.7,5685.0,5725.7,,5604.4,5558.8,5691.7,,5812.6,5763.0,5716.2,5659.0,5665.8,5648.2,5581.0,5630.8,5684.0,5492.9,5612.3,5649.8,5588.2,5641.0,,5685.0,5609.6,,5636.0,5546.4,5646.0,5607.9,,5647.3,5617.2,5622.2,5632.0,5765.3,5610.0,5626.0,,5664.8,5658.0,-7.0,22.5,-8.5,-14.4,-13.0,-19.0,28.0,56.0,23.0,-17.3,65.0,105.7,,-15.6,-61.2,71.7,,192.6,143.0,96.2,39.0,45.8,28.2,-39.0,10.8,64.0,-127.1,-7.7,29.8,-31.8,21.0,,65.0,-10.4,,16.0,-73.6,26.0,-12.1,,27.3,-2.8,2.2,12.0,145.3,-10.0,6.0,,44.8,38.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,True,True,False,False,False,True,,False,False
Connecticut,7046,7011.9,7059.5,7034.8,7028.7,7045.0,7044.0,7067.0,7134.0,7101.0,6970.8,7077.0,7052.6,,7020.3,7020.7,7081.6,,7101.9,7112.0,7120.9,7065.0,7029.0,7069.9,7056.0,6992.8,7063.0,7034.7,7090.4,7064.5,7006.0,7105.0,,7068.6,7008.4,,7002.0,6776.1,6905.0,7007.0,,6992.4,7090.1,7015.3,7012.0,7082.6,7086.0,6970.5,,6897.4,7088.0,-34.1,13.5,-11.2,-17.3,-1.0,-2.0,21.0,88.0,55.0,-75.2,31.0,6.6,,-25.7,-25.3,35.6,,55.9,66.0,74.9,19.0,-17.0,23.9,10.0,-53.2,17.0,-11.3,44.4,18.5,-40.0,59.0,,22.6,-37.6,,-44.0,-269.9,-141.0,-39.0,,-53.6,44.1,-30.7,-34.0,36.6,40.0,-75.5,,-148.6,42.0,True,True,True,True,True,True,False,False,False,True,True,,True,True,False,,False,False,False,True,True,True,True,False,True,True,False,True,False,False,,True,False,,False,False,False,False,,False,False,True,True,False,False,False,,False,False
Delaware,1081,1062.4,1072.6,1069.6,1055.9,1063.0,1056.0,1074.0,1072.0,1072.0,1073.7,1074.0,1071.7,,1071.0,1045.0,1075.8,,1060.0,1080.5,1078.4,1076.0,1097.7,1074.0,1064.0,1067.6,1093.0,,1072.5,1077.4,1061.5,1082.0,,,1062.1,,1092.0,1148.2,1066.0,1062.4,,1079.9,1081.1,1070.7,1074.0,1066.2,1069.0,1069.0,,1060.3,1079.0,-18.6,-8.4,-11.4,-25.1,-18.0,-25.0,-7.0,-9.0,-9.0,-7.3,-7.0,-9.3,,-10.0,-36.0,-5.2,,-21.0,-0.5,-2.6,-5.0,16.7,-7.0,-17.0,-13.4,12.0,,-8.5,-3.6,-19.5,1.0,,,-18.9,,11.0,67.2,-15.0,-18.6,,-1.1,0.1,-10.3,-7.0,-14.8,-12.0,-12.0,,-20.7,-2.0,True,True,False,True,False,True,True,True,True,True,True,,True,False,True,,False,True,True,True,True,True,True,True,True,,True,True,False,True,,,False,,True,False,True,False,,True,True,True,True,True,True,True,,False,True
District of Columbia,909,890.9,891.6,896.7,893.3,894.0,893.0,895.0,905.0,902.0,893.2,903.0,895.3,,893.3,891.7,903.1,,916.2,894.0,917.7,899.0,894.6,898.6,888.0,890.3,896.0,,,,892.3,906.0,,,890.5,,895.0,880.4,889.0,888.0,,902.5,,888.9,892.0,,895.0,895.0,,882.5,899.0,-18.1,-17.4,-12.3,-15.7,-15.0,-16.0,-14.0,-4.0,-7.0,-15.8,-6.0,-13.7,,-15.7,-17.3,-5.9,,7.2,-15.0,8.7,-10.0,-14.4,-10.4,-21.0,-18.7,-13.0,,,,-16.7,-3.0,,,-18.5,,-14.0,-28.6,-20.0,-21.0,,-6.5,,-20.1,-17.0,,-14.0,-14.0,,-26.5,-10.0,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,False,False,True,,,,True,True,,,False,,True,False,False,False,,True,,False,True,,True,True,,False,True
Florida,26360,26283.9,26355.8,26192.7,26292.9,26365.0,26324.0,26307.0,26231.0,26304.0,25164.1,26382.0,26821.1,,26202.0,26457.1,26388.4,,26436.1,26217.0,25926.5,26474.0,26866.4,26245.4,26290.0,26422.3,26508.0,26572.4,26211.0,26372.3,26228.8,26319.5,,26586.8,26204.4,,26277.0,28501.6,26358.0,26233.5,,26296.0,26231.1,26247.5,26262.0,26335.0,26416.0,26495.5,,25775.1,26420.0,-76.1,-4.2,-167.3,-67.1,5.0,-36.0,-53.0,-129.0,-56.0,-1195.9,22.0,461.1,,-158.0,97.1,28.4,,76.1,-143.0,-433.5,114.0,506.4,-114.6,-70.0,62.3,148.0,212.4,-149.0,12.3,-131.2,-40.5,,226.8,-155.6,,-83.0,2141.6,-2.0,-126.5,,-64.0,-128.9,-112.5,-98.0,-25.0,56.0,135.5,,-584.9,60.0,True,False,True,True,True,True,False,True,False,True,False,,False,False,True,,False,False,False,False,False,False,True,True,False,False,False,True,False,True,,False,False,,False,False,True,False,,True,False,False,False,True,True,False,,False,True
