,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,7566,6651.1,6664.1,6033.5,6583.3,6170.0,6580.0,6341.0,5929.0,6180.5,,5891.3,5958.0,6987.7,6634.9,6223.0,,6374.0,6307.9,6279.0,6350.4,6644.1,6990.5,6562.1,6020.8,6423.0,6563.4,6353.8,7026.8,6128.0,,5915.8,6059.1,,6227.0,6590.8,6369.0,6686.6,,6868.7,6598.8,6374.0,6264.3,6337.0,6525.0,,5775.6,6226.0,-914.9,-901.9,-1532.5,-982.7,-1396.0,-986.0,-1225.0,-1637.0,-1385.5,,-1674.7,-1608.0,-578.3,-931.1,-1343.0,,-1192.0,-1258.1,-1287.0,-1215.6,-921.9,-575.5,-1003.9,-1545.2,-1143.0,-1002.6,-1212.2,-539.2,-1438.0,,-1650.2,-1506.9,,-1339.0,-975.2,-1197.0,-879.4,,-697.3,-967.2,-1192.0,-1301.7,-1229.0,-1041.0,,-1790.4,-1340.0,True,False,False,False,False,False,False,False,,False,False,True,False,False,,False,False,False,False,False,True,False,False,False,False,False,True,False,,False,False,,False,False,False,True,,True,False,False,False,False,False,,False,False
Alaska,262,249.7,257.2,302.5,263.6,284.0,251.0,262.0,239.0,249.7,,258.5,313.0,266.7,262.6,281.0,,,266.1,289.0,294.7,248.4,248.0,252.1,258.7,326.0,261.3,269.9,259.3,264.0,,,242.8,,246.0,296.1,252.0,262.6,,259.5,285.4,260.0,257.5,240.0,255.0,,248.5,270.0,-12.3,-4.8,40.5,1.6,22.0,-11.0,0.0,-23.0,-12.3,,-3.5,51.0,4.7,0.6,19.0,,,4.1,27.0,32.7,-13.6,-14.0,-9.9,-3.3,64.0,-0.7,7.9,-2.7,2.0,,,-19.2,,-16.0,34.1,-10.0,0.6,,-2.5,23.4,-2.0,-4.5,-22.0,-7.0,,-13.5,8.0,True,False,True,False,True,True,False,False,,True,False,True,True,False,,,True,False,False,False,False,True,True,False,True,True,True,True,,,False,,False,False,True,True,,True,False,True,True,False,True,,False,True
Arizona,13098,13226.7,13444.4,11760.8,12884.3,12849.0,12961.2,12884.0,13111.0,12172.9,,11715.0,12085.0,15184.2,12719.1,13283.0,,12783.0,11452.4,12532.0,12284.9,12942.9,14612.0,13447.8,11501.6,12545.0,13202.8,12805.0,13853.8,13189.5,,13659.5,13914.6,,12872.0,12838.7,13408.0,12683.2,,13330.3,13321.7,13230.0,14448.1,12667.0,13663.0,,10799.8,12359.0,128.7,346.4,-1337.2,-213.7,-249.0,-136.8,-214.0,13.0,-925.1,,-1383.0,-1013.0,2086.2,-378.9,185.0,,-315.0,-1645.6,-566.0,-813.1,-155.1,1514.0,349.8,-1596.4,-553.0,104.8,-293.0,755.8,91.5,,561.5,816.6,,-226.0,-259.3,310.0,-414.8,,232.3,223.7,132.0,1350.1,-431.0,565.0,,-2298.2,-739.0,False,False,False,False,False,False,True,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,True,,False,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
Arkansas,4838,4883.0,4918.0,4834.4,4839.6,4691.0,4853.1,4853.0,4653.0,4788.5,,4990.3,4745.0,5078.3,4942.8,5237.5,,4897.0,5395.7,4852.0,4685.6,5032.7,4796.0,4964.5,4578.7,4800.0,4898.0,4912.3,5122.7,4534.5,,5284.4,4823.2,,4897.0,4921.0,4419.0,4830.2,,5051.1,4934.6,4902.0,4989.7,4850.0,4803.5,,4427.8,4865.0,45.0,80.0,-3.6,1.6,-147.0,15.1,15.0,-185.0,-49.5,,152.3,-93.0,240.3,104.8,399.5,,59.0,557.7,14.0,-152.4,194.7,-42.0,126.5,-259.3,-38.0,60.0,74.3,284.7,-303.5,,446.4,-14.8,,59.0,83.0,-419.0,-7.8,,213.1,96.6,64.0,151.7,12.0,-34.5,,-410.2,27.0,False,True,True,False,True,True,False,False,,False,False,False,False,False,,False,False,True,False,False,True,False,False,True,False,False,False,False,,False,True,,False,False,False,True,,False,False,False,False,True,True,,False,True
California,40702,39621.1,43047.6,35536.5,39398.4,38991.0,39201.9,38836.0,35240.0,37694.2,,36616.6,36461.0,42732.5,39107.5,39368.0,,38836.0,32879.5,,38281.1,38458.5,40088.0,41411.2,32699.3,38248.0,38847.5,37693.9,41531.7,43775.0,,39161.4,40399.8,,37340.0,41937.9,39401.0,38122.2,,38720.2,38993.6,38534.0,43737.9,38621.0,42295.0,,32072.6,39780.0,-1080.9,2345.6,-5165.5,-1303.6,-1711.0,-1500.1,-1866.0,-5462.0,-3007.8,,-4085.4,-4241.0,2030.5,-1594.5,-1334.0,,-1866.0,-7822.5,,-2420.9,-2243.5,-614.0,709.2,-8002.7,-2454.0,-1854.5,-3008.1,829.7,3073.0,,-1540.6,-302.2,,-3362.0,1235.9,-1301.0,-2579.8,,-1981.8,-1708.4,-2168.0,3035.9,-2081.0,1593.0,,-8629.4,-922.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,,False,False,True,True,False,False,False,False,True,False,,False,True,,False,False,False,False,,False,False,False,False,False,False,,False,True
Colorado,5620,5990.9,5988.3,6219.6,6013.0,6098.0,6023.4,6023.0,5522.0,5808.8,,5851.9,5766.0,6191.0,5827.1,6128.8,,6108.0,6364.7,6105.0,5729.6,5858.8,6167.0,6008.7,6291.8,6018.0,6004.3,6055.9,6237.7,6242.0,,6704.6,5920.3,,5948.0,5138.4,5711.0,5938.3,,6505.5,6035.0,5872.0,6039.4,6017.0,5785.0,,5662.2,5635.0,370.9,368.3,599.6,393.0,478.0,403.4,403.0,-98.0,188.8,,231.9,146.0,571.0,207.1,508.8,,488.0,744.7,485.0,109.6,238.8,547.0,388.7,671.8,398.0,384.3,435.9,617.7,622.0,,1084.6,300.3,,328.0,-481.6,91.0,318.3,,885.5,415.0,252.0,419.4,397.0,165.0,,42.2,15.0,True,False,False,False,False,False,True,True,,True,True,False,True,False,,False,False,False,True,True,False,False,False,False,False,False,False,False,,False,True,,True,False,True,True,,False,False,True,False,False,True,,True,True
Connecticut,7046,6966.9,6940.2,7128.6,6972.3,7233.0,6999.2,7005.0,6853.0,6934.1,,6804.0,7005.0,6874.2,6951.6,7270.8,,7182.0,6968.9,7161.0,7144.9,7060.8,7027.0,6894.0,6848.2,7174.0,7033.4,7179.2,7108.8,6684.5,,7890.0,6899.2,,7062.0,6485.8,6642.0,6684.8,,7503.8,7045.1,7094.0,7090.5,6953.0,6893.0,,6493.7,7109.0,-79.1,-105.8,82.6,-73.7,187.0,-46.8,-41.0,-193.0,-111.9,,-242.0,-41.0,-171.8,-94.4,224.8,,136.0,-77.1,115.0,98.9,14.8,-19.0,-152.0,-197.8,128.0,-12.6,133.2,62.8,-361.5,,844.0,-146.8,,16.0,-560.2,-404.0,-361.2,,457.8,-0.9,48.0,44.5,-93.0,-153.0,,-552.3,63.0,False,False,True,False,True,True,False,False,,False,True,False,False,False,,False,True,False,False,True,True,False,False,False,True,False,True,False,,False,False,,True,False,False,False,,False,True,True,True,False,False,,False,True
Delaware,1081,1092.0,1123.5,1081.0,1086.1,1059.0,1086.0,1086.0,1048.0,1074.9,,1076.8,1087.0,1062.7,1083.8,1111.6,,1120.5,1041.0,1113.0,1163.9,1091.0,1058.0,1084.5,1031.0,1139.0,1092.7,1133.7,1103.0,1085.0,,,1081.0,,1082.0,1173.8,1096.0,1067.6,,1210.8,1136.5,1114.0,1053.6,1073.0,1074.5,,1020.0,1120.0,11.0,42.5,0.0,5.1,-22.0,5.0,5.0,-33.0,-6.1,,-4.2,6.0,-18.3,2.8,30.6,,39.5,-40.0,32.0,82.9,10.0,-23.0,3.5,-50.0,58.0,11.7,52.7,22.0,4.0,,,0.0,,1.0,92.8,15.0,-13.4,,129.8,55.5,33.0,-27.4,-8.0,-6.5,,-61.0,39.0,False,True,True,False,True,True,False,True,,True,True,False,True,False,,False,False,False,False,True,False,True,False,False,False,False,False,True,,,True,,True,False,False,False,,False,False,False,False,True,True,,False,False
District of Columbia,909,882.7,878.0,888.6,876.6,874.0,876.0,892.0,876.0,902.3,,892.6,901.0,878.1,908.2,910.6,,862.0,896.7,884.0,900.4,899.4,894.0,884.9,900.1,914.0,,,897.6,885.0,,,876.2,,892.0,902.1,898.0,847.5,,941.0,,904.0,,881.0,908.0,,838.7,901.0,-26.3,-31.0,-20.4,-32.4,-35.0,-33.0,-17.0,-33.0,-6.7,,-16.4,-8.0,-30.9,-0.8,1.6,,-47.0,-12.3,-25.0,-8.6,-9.6,-15.0,-24.1,-8.9,5.0,,,-11.4,-24.0,,,-32.8,,-17.0,-6.9,-11.0,-61.5,,32.0,,-5.0,,-28.0,-1.0,,-70.3,-8.0,False,True,False,False,False,True,False,True,,True,True,False,True,True,,False,True,True,True,True,True,True,True,True,,,True,True,,,False,,True,True,True,False,,False,,True,,False,True,,False,True
Florida,26360,25554.9,25326.5,25319.8,25434.4,25770.0,25546.2,25762.0,24544.0,25477.0,,24904.7,33400.0,27250.9,25982.1,26338.8,,25049.0,25433.0,26081.0,28482.4,26338.9,26009.0,26060.8,25217.5,25975.0,25999.2,26126.5,26482.2,25544.0,,26442.9,25619.6,,25600.0,29141.0,25762.0,25411.8,,25010.2,26043.3,26330.0,25190.7,25839.0,25720.0,,24057.3,25828.0,-805.1,-1033.5,-1040.2,-925.6,-590.0,-813.8,-598.0,-1816.0,-883.0,,-1455.3,7040.0,890.9,-377.9,-21.2,,-1311.0,-927.0,-279.0,2122.4,-21.1,-351.0,-299.2,-1142.5,-385.0,-360.8,-233.5,122.2,-816.0,,82.9,-740.4,,-760.0,2781.0,-598.0,-948.2,,-1349.8,-316.7,-30.0,-1169.3,-521.0,-640.0,,-2302.7,-532.0,False,False,False,True,False,True,False,False,,False,False,False,True,True,,False,False,True,False,True,True,True,False,True,True,True,True,False,,True,True,,True,False,True,False,,False,True,True,False,True,True,,False,True
