,total_deaths_2020-12-06,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Covid19Sim-Simulator,285550,443075.4,447084,160776.4,161534,-757.6,-0.5%
IHME-CurveFit,285550,432547.3,447084,150248.3,161534,-11285.7,-7.0%
IBF-TimeSeries,285550,421354.0,447084,139055.0,161534,-22479.0,-13.9%
JCB-PRM,285550,468363.0,447084,186064.0,161534,24530.0,15.2%
JHUAPL-Bucky,285550,418470.9,447084,136171.9,161534,-25362.1,-15.7%
UCLA-SuEIR,285550,406157.0,447084,123858.0,161534,-37676.0,-23.3%
Baseline,285550,403503.3,447084,121204.3,161534,-40329.7,-25.0%
Columbia_UNC-SurvCon,285550,402504.0,447084,120205.0,161534,-41329.0,-25.6%
COVIDhub-baseline,285550,402284.1,447084,119985.1,161534,-41548.9,-25.7%
IowaStateLW-STEM,285550,397750.0,447084,115451.0,161534,-46083.0,-28.5%
WalmartLabsML-LogForecasting,285550,315402.7,447084,33103.7,161534,-128430.3,-79.5%
