,mean_rank
OliverWyman-Navigator,7.6
Karlen-pypm,8.7
LNQ-ens1,9.2
DDS-NBDS,9.8
Geneva-DetGrowth,10.6
USACE-ERDC_SEIR,11.0
Google_Harvard-CPF,11.9
USC-SI_kJalpha,11.9
JCB-PRM,12.2
UMich-RidgeTfReg,13.2
IQVIA_ACOE-STAN,13.7
CEID-Walk,13.7
UCSB-ACTS,14.0
COVIDhub-baseline,14.1
COVIDhub-ensemble,14.2
IowaStateLW-STEM,14.2
CU-select,14.9
LANL-GrowthRate,15.1
JHU_CSSE-DECOM,15.4
JHU_UNC_GAS-StatMechPool,15.5
BPagano-RtDriven,16.1
JHUAPL-Bucky,16.3
Covid19Sim-Simulator,16.3
RobertWalraven-ESG,16.7
UCLA-SuEIR,20.2
CovidAnalytics-DELPHI,22.8
JHU_IDD-CovidSP,22.9
TTU-squider,23.8
