,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,11185,10221.0,9264.7,10183.5,9738.0,10236.0,,9607.0,4674.0,9880.3,10964.0,9567.3,,10695.0,10678.0,10078.3,8917.7,10979.0,6247.0,12428.5,10404.5,9952.0,11456.9,10628.0,,5995.8,5124.3,9246.6,9656.9,11952.5,10733.8,10610.0,-964.0,-1920.3,-1001.5,-1447.0,-949.0,,-1578.0,-6511.0,-1304.7,-221.0,-1617.7,,-490.0,-507.0,-1106.7,-2267.3,-206.0,-4938.0,1243.5,-780.5,-1233.0,271.9,-557.0,,-5189.2,-6060.7,-1938.4,-1528.1,767.5,-451.2,-575.0,False,False,False,True,,False,False,False,True,False,,True,True,False,False,True,False,False,True,False,True,True,,False,False,False,False,True,True,True
Hawaii,526,604.0,838.8,599.5,592.0,603.0,,587.5,294.0,557.5,577.2,584.6,,,,658.7,554.1,647.0,960.8,611.0,551.9,667.0,669.7,697.0,,296.6,450.5,619.1,557.8,619.8,776.1,586.0,78.0,312.8,73.5,66.0,77.0,,61.5,-232.0,31.5,51.2,58.6,,,,132.7,28.1,121.0,434.8,85.0,25.9,141.0,143.7,171.0,,-229.4,-75.5,93.1,31.8,93.8,250.1,60.0,False,True,True,True,,True,False,True,True,True,,,,False,True,False,False,False,True,False,False,False,,False,True,False,True,False,False,True
Idaho,5914,6112.0,10328.4,6021.7,5973.0,6627.0,,5697.7,2254.0,9090.2,6820.4,6849.7,,6523.0,5560.0,6329.3,6662.8,6163.0,2180.4,5918.0,7891.3,5226.7,6618.1,7572.0,,5747.4,2793.4,5184.0,5718.8,6341.8,6836.7,6257.0,198.0,4414.4,107.7,59.0,713.0,,-216.3,-3660.0,3176.2,906.4,935.7,,609.0,-354.0,415.3,748.8,249.0,-3733.6,4.0,1977.3,-687.3,704.1,1658.0,,-166.6,-3120.6,-730.0,-195.2,427.8,922.7,343.0,False,True,True,False,,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,,True,False,False,True,False,False,False
Illinois,41646,31515.0,37002.9,32071.8,28983.0,32047.0,,29394.7,24525.0,28783.7,36610.7,31085.2,,32872.0,28572.0,31059.4,27067.0,26314.0,14819.1,28258.0,44478.9,28403.8,35858.6,34474.0,,34646.4,18660.6,27892.1,26566.9,38495.2,34697.4,33201.0,-10131.0,-4643.1,-9574.2,-12663.0,-9599.0,,-12251.3,-17121.0,-12862.3,-5035.3,-10560.8,,-8774.0,-13074.0,-10586.6,-14579.0,-15332.0,-26826.9,-13388.0,2832.9,-13242.2,-5787.4,-7172.0,,-6999.6,-22985.4,-13753.9,-15079.1,-3150.8,-6948.6,-8445.0,True,True,False,True,,False,False,False,True,False,,True,False,False,False,False,False,False,True,False,True,True,,True,False,False,False,True,True,True
Indiana,18904,14477.0,17041.8,14579.4,14522.0,15570.0,,13870.7,12379.0,15309.5,16440.6,15961.5,,15211.0,14567.0,15871.8,13374.6,14413.0,9893.9,14324.5,20469.9,15097.3,17036.1,16844.0,,14456.0,9097.9,12698.3,12507.7,17342.0,18257.5,16058.0,-4427.0,-1862.2,-4324.6,-4382.0,-3334.0,,-5033.3,-6525.0,-3594.5,-2463.4,-2942.5,,-3693.0,-4337.0,-3032.2,-5529.4,-4491.0,-9010.1,-4579.5,1565.9,-3806.7,-1867.9,-2060.0,,-4448.0,-9806.1,-6205.7,-6396.3,-1562.0,-646.5,-2846.0,True,True,True,True,,False,False,True,True,True,,True,True,True,False,False,False,False,True,True,True,True,,False,False,False,False,True,True,True
Iowa,13674,8138.0,9798.8,8177.2,8158.0,7941.0,,7903.2,5858.0,10744.6,8736.5,8394.2,,8765.0,7894.0,9218.3,8380.0,8159.0,3192.1,8119.0,8555.0,9238.1,10221.6,9637.0,,6845.4,1436.1,6814.0,9377.4,8156.5,9971.9,8402.0,-5536.0,-3875.2,-5496.8,-5516.0,-5733.0,,-5770.8,-7816.0,-2929.4,-4937.5,-5279.8,,-4909.0,-5780.0,-4455.7,-5294.0,-5515.0,-10481.9,-5555.0,-5119.0,-4435.9,-3452.4,-4037.0,,-6828.6,-12237.9,-6860.0,-4296.6,-5517.5,-3702.1,-5272.0,True,True,True,False,,False,False,True,True,True,,True,False,True,True,True,False,False,True,True,True,True,,False,False,False,True,True,True,True
Kansas,8551,5515.0,6170.8,5487.7,5471.0,4835.0,,5454.3,6527.0,6249.3,6175.3,4635.6,,5342.0,5934.0,5769.4,8048.0,6032.0,2733.7,5082.5,4728.4,3364.5,5133.7,6542.0,,5259.1,3375.5,4835.8,5835.0,5502.9,4375.4,5085.0,-3036.0,-2380.2,-3063.3,-3080.0,-3716.0,,-3096.7,-2024.0,-2301.7,-2375.7,-3915.4,,-3209.0,-2617.0,-2781.6,-503.0,-2519.0,-5817.3,-3468.5,-3822.6,-5186.5,-3417.3,-2009.0,,-3291.9,-5175.5,-3715.2,-2716.0,-3048.1,-4175.6,-3466.0,True,False,False,False,,False,True,True,True,False,,False,True,True,True,True,False,False,False,False,False,True,,False,False,False,True,False,False,False
Kentucky,11739,8683.0,10361.7,8523.7,9002.0,9177.0,,8140.9,6326.0,17515.5,9291.6,10687.3,,9051.0,9993.0,9495.0,8826.4,8522.0,4707.5,8347.5,9922.2,9769.7,10723.2,10400.0,,5760.0,5562.7,7700.3,9497.4,8785.9,11528.6,9377.0,-3056.0,-1377.3,-3215.3,-2737.0,-2562.0,,-3598.1,-5413.0,5776.5,-2447.4,-1051.7,,-2688.0,-1746.0,-2244.0,-2912.6,-3217.0,-7031.5,-3391.5,-1816.8,-1969.3,-1015.8,-1339.0,,-5979.0,-6176.3,-4038.7,-2241.6,-2953.1,-210.4,-2362.0,True,False,True,True,,False,False,False,True,True,,True,True,True,True,False,False,False,True,True,True,True,,False,False,False,True,True,True,True
Louisiana,4046,4232.0,3795.6,4180.0,4104.0,4091.0,,4116.5,1433.0,10167.4,4168.4,2442.6,,3381.0,4461.0,4202.2,4147.1,4852.0,3011.9,4528.0,3813.1,4247.5,4197.8,4054.0,,3462.2,0.0,3810.1,3757.6,5058.0,3908.2,3590.0,186.0,-250.4,134.0,58.0,45.0,,70.5,-2613.0,6121.4,122.4,-1603.4,,-665.0,415.0,156.2,101.1,806.0,-1034.1,482.0,-232.9,201.5,151.8,8.0,,-583.8,-4046.0,-235.9,-288.4,1012.0,-137.8,-456.0,False,True,True,True,,True,False,False,True,False,,False,False,True,True,False,False,False,False,False,True,True,,False,False,False,False,False,True,False
Maine,526,224.0,98.4,224.4,231.0,237.0,,212.5,177.0,310.4,212.2,241.0,,237.0,266.0,239.7,408.1,237.0,305.7,207.0,273.1,291.4,308.0,270.0,,197.6,225.1,209.7,278.3,220.0,369.4,251.0,-302.0,-427.6,-301.6,-295.0,-289.0,,-313.5,-349.0,-215.6,-313.8,-285.0,,-289.0,-260.0,-286.3,-117.9,-289.0,-220.3,-319.0,-252.9,-234.6,-218.0,-256.0,,-328.4,-300.9,-316.3,-247.7,-306.0,-156.6,-275.0,False,True,True,True,,False,False,True,False,True,,True,True,True,True,True,True,False,True,True,True,True,,False,True,False,True,False,True,True
