,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Maryland,5794,4360.0,4428.5,4359.2,4381.0,4319.0,,4402.2,2229.0,5232.6,3908.9,4705.7,,4559.0,4656.0,4726.8,3548.4,4340.0,4361.7,4363.5,4941.8,4666.0,5212.8,4686.0,,4165.6,3538.8,3993.8,4920.4,4745.9,5289.9,4661.0,-1434.0,-1365.5,-1434.8,-1413.0,-1475.0,,-1391.8,-3565.0,-561.4,-1885.1,-1088.3,,-1235.0,-1138.0,-1067.2,-2245.6,-1454.0,-1432.3,-1430.5,-852.2,-1128.0,-581.2,-1108.0,,-1628.4,-2255.2,-1800.2,-873.6,-1048.1,-504.1,-1133.0,True,False,True,False,,True,False,True,False,True,,True,True,True,False,False,True,True,True,True,True,True,,False,False,False,True,True,True,True
Massachusetts,9088,6558.0,5921.9,6497.8,5923.0,7095.0,,5618.7,4753.0,8441.7,8143.0,7335.8,,5670.0,5194.0,5200.2,4534.5,5941.0,5218.5,5622.0,6517.4,6801.1,7777.8,6267.0,,5540.2,3957.9,5951.3,5746.0,4419.4,7639.6,6704.0,-2530.0,-3166.1,-2590.2,-3165.0,-1993.0,,-3469.3,-4335.0,-646.3,-945.0,-1752.2,,-3418.0,-3894.0,-3887.8,-4553.5,-3147.0,-3869.5,-3466.0,-2570.6,-2286.9,-1310.2,-2821.0,,-3547.8,-5130.1,-3136.7,-3342.0,-4668.6,-1448.4,-2384.0,False,False,False,True,,False,False,True,True,True,,False,False,False,False,False,False,False,False,True,True,False,,False,False,False,False,False,True,True
Michigan,21794,14507.0,19266.6,14597.4,13839.0,15421.0,,13865.8,11159.0,11966.4,16333.9,16669.7,,15384.0,15556.0,15077.8,13813.0,12800.0,13685.9,13153.0,18694.6,6897.8,14816.3,17534.0,,16805.6,10356.7,12902.8,11396.8,9648.7,12017.1,16548.0,-7287.0,-2527.4,-7196.6,-7955.0,-6373.0,,-7928.2,-10635.0,-9827.6,-5460.1,-5124.3,,-6410.0,-6238.0,-6716.2,-7981.0,-8994.0,-8108.1,-8641.0,-3099.4,-14896.2,-6977.7,-4260.0,,-4988.4,-11437.3,-8891.2,-10397.2,-12145.3,-9776.9,-5246.0,True,True,False,True,,False,False,False,True,True,,True,True,True,False,False,False,False,True,False,True,True,,True,False,False,False,False,False,True
Minnesota,16350,11032.0,12775.7,11037.7,11187.0,11336.0,,11536.7,10958.0,11451.4,13724.0,12218.5,,12049.0,12176.0,12096.6,10733.7,10491.0,5433.9,11215.0,13342.4,11474.9,11891.8,13068.0,,13446.6,5767.6,9163.6,10389.0,12168.7,12688.7,11645.0,-5318.0,-3574.3,-5312.3,-5163.0,-5014.0,,-4813.3,-5392.0,-4898.6,-2626.0,-4131.5,,-4301.0,-4174.0,-4253.4,-5616.3,-5859.0,-10916.1,-5135.0,-3007.6,-4875.1,-4458.2,-3282.0,,-2903.4,-10582.4,-7186.4,-5961.0,-4181.3,-3661.3,-4705.0,True,True,True,True,,True,False,True,True,True,,True,True,True,False,False,False,True,True,True,True,True,,True,False,False,False,True,True,True
Mississippi,5072,5082.0,5445.1,5107.9,4883.0,4632.0,,5036.5,2286.0,4364.0,5257.2,6277.1,,5847.0,4890.0,6260.3,4933.6,4745.0,2158.6,4959.0,7225.3,3269.6,5088.8,6009.0,,4876.6,258.5,4113.0,6076.9,5288.0,4282.9,5143.0,10.0,373.1,35.9,-189.0,-440.0,,-35.5,-2786.0,-708.0,185.2,1205.1,,775.0,-182.0,1188.3,-138.4,-327.0,-2913.4,-113.0,2153.3,-1802.4,16.8,937.0,,-195.4,-4813.5,-959.0,1004.9,216.0,-789.1,71.0,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False
Missouri,16230,12721.0,12087.6,12828.4,12975.0,11487.0,,13352.8,10634.0,15441.4,13738.6,13093.0,,13554.0,12274.0,14444.4,13942.3,11830.0,6152.4,13613.0,15646.0,13121.2,13634.1,15917.0,,15568.4,12253.1,11566.1,14622.8,12991.6,13893.6,12403.0,-3509.0,-4142.4,-3401.6,-3255.0,-4743.0,,-2877.2,-5596.0,-788.6,-2491.4,-3137.0,,-2676.0,-3956.0,-1785.6,-2287.7,-4400.0,-10077.6,-2617.0,-584.0,-3108.8,-2595.9,-313.0,,-661.6,-3976.9,-4663.9,-1607.2,-3238.4,-2336.4,-3827.0,False,True,True,False,,True,False,True,True,True,,True,False,True,True,False,False,True,True,True,True,True,,True,False,False,True,True,True,False
Montana,5659,4917.0,5536.3,5040.8,5001.0,4122.0,,4739.7,3139.0,6440.4,6003.0,5967.0,,5535.0,5015.0,5923.9,8484.2,4988.0,781.4,5400.0,6433.0,4987.1,5282.3,6448.0,,4526.9,5537.9,4096.4,5747.2,5657.3,5343.3,4724.0,-742.0,-122.7,-618.2,-658.0,-1537.0,,-919.3,-2520.0,781.4,344.0,308.0,,-124.0,-644.0,264.9,2825.2,-671.0,-4877.6,-259.0,774.0,-671.9,-376.7,789.0,,-1132.1,-121.1,-1562.6,88.2,-1.7,-315.7,-935.0,True,True,True,False,,False,False,False,True,True,,True,True,True,False,True,False,True,False,True,True,False,,False,True,False,True,True,True,False
Nebraska,7517,5883.0,9743.4,5883.9,5986.0,5388.0,,6004.3,6447.0,7406.4,5924.1,5707.3,,5952.0,5968.0,6550.4,6977.3,6191.0,3056.4,6227.5,7229.8,4750.9,5903.5,7403.0,,7137.9,1635.6,5153.9,6473.4,6954.2,4833.3,5362.0,-1634.0,2226.4,-1633.1,-1531.0,-2129.0,,-1512.7,-1070.0,-110.6,-1592.9,-1809.7,,-1565.0,-1549.0,-966.6,-539.7,-1326.0,-4460.6,-1289.5,-287.2,-2766.1,-1613.5,-114.0,,-379.1,-5881.4,-2363.1,-1043.6,-562.8,-2683.7,-2155.0,False,True,True,False,,True,True,True,True,False,,True,True,True,True,True,False,True,True,False,True,True,,True,False,False,True,True,False,False
Nevada,5949,5160.0,3545.4,5140.2,5150.0,5628.0,,4919.4,1548.0,5395.0,5676.3,5497.6,,5653.0,4508.0,5107.6,4511.8,4707.0,2385.0,4950.5,5886.7,5696.7,6448.2,5583.0,,5353.4,0.0,4486.6,5346.4,5306.0,6935.5,5594.0,-789.0,-2403.6,-808.8,-799.0,-321.0,,-1029.6,-4401.0,-554.0,-272.7,-451.4,,-296.0,-1441.0,-841.4,-1437.2,-1242.0,-3564.0,-998.5,-62.3,-252.3,499.2,-366.0,,-595.6,-5949.0,-1462.4,-602.6,-643.0,986.5,-355.0,False,False,False,True,,False,False,True,True,True,,True,False,False,False,False,False,False,True,True,True,True,,True,False,False,True,True,False,True
New Hampshire,846,613.0,246.5,616.6,625.0,661.0,,571.1,747.0,803.4,633.6,829.9,,608.0,544.0,680.5,633.2,607.0,738.3,610.0,842.6,641.5,704.4,759.0,,534.8,794.4,533.3,714.2,612.0,818.5,671.0,-233.0,-599.5,-229.4,-221.0,-185.0,,-274.9,-99.0,-42.6,-212.4,-16.1,,-238.0,-302.0,-165.5,-212.8,-239.0,-107.7,-236.0,-3.4,-204.5,-141.6,-87.0,,-311.2,-51.6,-312.7,-131.8,-234.0,-27.5,-175.0,False,True,True,True,,False,True,True,True,True,,False,False,True,True,False,True,False,True,True,True,True,,False,True,False,True,False,True,True
New Jersey,13261,8601.0,10627.8,8723.9,8363.0,9547.0,,8247.5,8856.0,10568.2,9002.6,8733.8,,6017.0,7955.0,6817.3,5907.6,7374.0,10030.9,7877.0,8824.7,7906.5,9484.2,7771.0,,7368.6,3160.6,7934.2,7598.4,5191.3,9828.2,9041.0,-4660.0,-2633.2,-4537.1,-4898.0,-3714.0,,-5013.5,-4405.0,-2692.8,-4258.4,-4527.2,,-7244.0,-5306.0,-6443.7,-7353.4,-5887.0,-3230.1,-5384.0,-4436.3,-5354.5,-3776.8,-5490.0,,-5892.4,-10100.4,-5326.8,-5662.6,-8069.7,-3432.8,-4220.0,True,True,False,True,,False,True,True,True,True,,False,False,False,False,False,True,False,True,False,True,False,,False,False,False,False,False,True,True
New Mexico,5450,4697.0,5906.7,4744.4,4713.0,4512.0,,4428.7,1473.0,5240.4,5938.2,5783.2,,4779.0,4936.0,4944.1,4604.0,4408.0,1917.7,4706.0,7177.9,5450.5,5997.4,5904.0,,4682.8,3562.0,3995.0,4729.1,5733.3,6111.0,5547.0,-753.0,456.7,-705.6,-737.0,-938.0,,-1021.3,-3977.0,-209.6,488.2,333.2,,-671.0,-514.0,-505.9,-846.0,-1042.0,-3532.3,-744.0,1727.9,0.5,547.4,454.0,,-767.2,-1888.0,-1455.0,-720.9,283.3,661.0,97.0,True,True,True,False,,False,False,True,True,True,,True,True,True,False,False,False,True,False,True,True,True,,False,False,False,True,True,True,True
New York,14029,10941.0,8289.3,10698.5,10660.0,11723.0,,10621.4,8454.0,15429.4,11573.7,12894.4,,6721.0,10586.0,11058.0,9251.0,10763.0,14329.6,11174.0,15583.9,10988.2,12054.0,11396.0,,9553.5,8450.3,9528.1,10331.7,8477.8,12987.0,11497.0,-3088.0,-5739.7,-3330.5,-3369.0,-2306.0,,-3407.6,-5575.0,1400.4,-2455.3,-1134.6,,-7308.0,-3443.0,-2971.0,-4778.0,-3266.0,300.6,-2855.0,1554.9,-3040.8,-1975.0,-2633.0,,-4475.5,-5578.7,-4500.9,-3697.3,-5551.2,-1042.0,-2532.0,False,False,False,True,,False,False,True,True,True,,False,False,True,False,False,True,True,True,True,True,True,,False,False,False,False,False,True,True
North Carolina,16343,14567.0,18771.9,14558.0,14312.0,14172.0,,14210.3,8944.0,16301.4,14206.7,14233.9,,15397.0,14362.0,16143.0,13815.5,13546.0,7226.7,14342.0,16763.2,13220.3,15260.0,16642.0,,14262.4,3929.7,12980.6,16692.2,13337.0,16383.9,14818.0,-1776.0,2428.9,-1785.0,-2031.0,-2171.0,,-2132.7,-7399.0,-41.6,-2136.3,-2109.1,,-946.0,-1981.0,-200.0,-2527.5,-2797.0,-9116.3,-2001.0,420.2,-3122.7,-1083.0,299.0,,-2080.6,-12413.3,-3362.4,349.2,-3006.0,40.9,-1525.0,False,False,False,False,,False,False,True,False,False,,True,False,True,False,False,False,False,True,False,True,True,,False,False,False,True,False,True,True
North Dakota,7042,5613.0,4145.8,5597.8,5667.0,4442.0,,5327.9,4691.0,6083.1,6522.1,5796.4,,5399.0,5742.0,5910.4,7709.1,5816.0,1027.2,5820.0,6986.5,5562.0,6170.8,6709.0,,6932.4,2510.9,5718.5,5635.9,6366.7,5769.7,6005.0,-1429.0,-2896.2,-1444.2,-1375.0,-2600.0,,-1714.1,-2351.0,-958.9,-519.9,-1245.6,,-1643.0,-1300.0,-1131.6,667.1,-1226.0,-6014.8,-1222.0,-55.5,-1480.0,-871.2,-333.0,,-109.6,-4531.1,-1323.5,-1406.1,-675.3,-1272.3,-1037.0,False,False,True,False,,False,False,True,True,True,,False,True,True,True,True,False,True,True,False,True,True,,True,False,True,True,True,True,True
Ohio,19891,15581.0,31125.0,15546.2,15564.0,16868.0,,14886.2,8333.0,16440.3,17726.0,17115.0,,16018.0,15499.0,16335.6,13570.2,15253.0,13179.4,14783.0,19386.1,15750.6,19087.7,17929.0,,16689.5,2481.1,13476.2,12230.1,17857.6,19345.0,17122.0,-4310.0,11234.0,-4344.8,-4327.0,-3023.0,,-5004.8,-11558.0,-3450.7,-2165.0,-2776.0,,-3873.0,-4392.0,-3555.4,-6320.8,-4638.0,-6711.6,-5108.0,-504.9,-4140.4,-803.3,-1962.0,,-3201.5,-17409.9,-6414.8,-7660.9,-2033.4,-546.0,-2769.0,False,False,False,True,,False,False,True,True,True,,True,False,True,False,False,False,False,True,True,True,True,,True,False,False,False,True,True,True
Oklahoma,7077,9217.0,10799.4,9241.7,9020.0,8642.0,,8471.8,7590.0,11470.1,9832.5,9954.7,,10001.0,9346.0,9960.0,9031.7,8450.0,4744.9,8912.5,9571.5,8202.3,10004.4,10439.0,,6647.3,8577.9,7903.1,10004.6,9440.9,10066.6,9099.0,2140.0,3722.4,2164.7,1943.0,1565.0,,1394.8,513.0,4393.1,2755.5,2877.7,,2924.0,2269.0,2883.0,1954.7,1373.0,-2332.1,1835.5,2494.5,1125.3,2927.4,3362.0,,-429.7,1500.9,826.1,2927.6,2363.9,2989.6,2022.0,False,False,True,True,,True,True,False,False,False,,False,False,False,True,True,False,True,False,True,False,False,,True,True,True,False,False,False,True
Oregon,3182,2424.0,2771.1,2418.4,2464.0,2437.0,,2298.5,1667.0,2871.7,2531.9,2736.0,,2525.0,2908.0,2604.7,2490.5,2956.0,2977.6,2527.5,2012.9,2569.5,2631.2,2802.0,,2115.4,2931.1,1994.3,3193.9,2412.7,3293.1,2508.0,-758.0,-410.9,-763.6,-718.0,-745.0,,-883.5,-1515.0,-310.3,-650.1,-446.0,,-657.0,-274.0,-577.3,-691.5,-226.0,-204.4,-654.5,-1169.1,-612.5,-550.8,-380.0,,-1066.6,-250.9,-1187.7,11.9,-769.3,111.1,-674.0,True,False,True,True,,False,False,True,True,True,,True,True,True,True,True,True,True,False,True,True,True,,False,True,False,True,False,True,True
Pennsylvania,15421,11702.0,12488.2,11730.7,11716.0,12418.0,,11253.2,9550.0,14843.0,14071.9,12488.7,,11277.0,11984.0,11627.3,10306.2,12053.0,12641.1,11011.0,14625.8,9996.1,12696.4,13419.0,,10916.1,6462.2,10193.1,9858.8,11866.8,12842.7,11955.0,-3719.0,-2932.8,-3690.3,-3705.0,-3003.0,,-4167.8,-5871.0,-578.0,-1349.1,-2932.3,,-4144.0,-3437.0,-3793.7,-5114.8,-3368.0,-2779.9,-4410.0,-795.2,-5424.9,-2724.6,-2002.0,,-4504.9,-8958.8,-5227.9,-5562.2,-3554.2,-2578.3,-3466.0,True,True,True,True,,False,False,True,True,True,,False,True,False,False,True,True,False,True,False,True,True,,False,False,False,False,True,True,True
Rhode Island,2756,2427.0,2575.4,2285.0,2076.0,1613.0,,2131.9,1802.0,4360.8,2797.9,1770.5,,1907.0,2572.0,1835.9,1929.2,1401.0,1256.9,1727.0,2515.0,1290.3,2318.7,2500.0,,2541.4,1887.5,2139.8,1782.4,1850.8,1212.9,2125.0,-329.0,-180.6,-471.0,-680.0,-1143.0,,-624.1,-954.0,1604.8,41.9,-985.5,,-849.0,-184.0,-920.1,-826.8,-1355.0,-1499.1,-1029.0,-241.0,-1465.7,-437.3,-256.0,,-214.6,-868.5,-616.2,-973.6,-905.2,-1543.1,-631.0,True,False,False,False,,False,False,False,True,False,,False,True,False,False,False,False,False,True,False,False,True,,True,False,False,False,False,False,False
South Carolina,7271,6127.0,9801.0,5996.7,6498.0,6412.0,,6575.0,3530.0,8545.3,5419.9,4958.8,,6334.0,7326.0,6990.3,5888.5,6588.0,2498.4,6066.0,6153.1,7120.5,7896.1,6909.0,,5298.0,5485.7,4941.9,7467.4,6680.3,7115.3,6274.0,-1144.0,2530.0,-1274.3,-773.0,-859.0,,-696.0,-3741.0,1274.3,-1851.1,-2312.2,,-937.0,55.0,-280.7,-1382.5,-683.0,-4772.6,-1205.0,-1117.9,-150.5,625.1,-362.0,,-1973.0,-1785.3,-2329.1,196.4,-590.7,-155.7,-997.0,False,False,True,True,,True,False,False,False,False,,True,True,True,False,True,False,False,True,True,True,True,,False,False,False,True,True,True,True
South Dakota,7851,5530.0,6179.9,5604.3,5844.0,4787.0,,5223.8,5810.0,7377.9,7132.0,6428.7,,6234.0,5513.0,6467.8,7618.7,5521.0,847.8,5791.0,6404.0,6999.7,6757.2,6818.0,,6107.7,4925.5,5355.9,5878.4,6779.9,7654.6,5126.0,-2321.0,-1671.1,-2246.7,-2007.0,-3064.0,,-2627.2,-2041.0,-473.1,-719.0,-1422.3,,-1617.0,-2338.0,-1383.2,-232.3,-2330.0,-7003.2,-2060.0,-1447.0,-851.3,-1093.8,-1033.0,,-1743.3,-2925.5,-2495.1,-1972.6,-1071.1,-196.4,-2725.0,True,True,True,False,,False,True,True,True,True,,True,False,True,True,False,False,True,True,True,True,True,,True,False,False,True,True,True,False
Tennessee,16585,17948.0,19170.4,17552.5,18053.0,19453.0,,16096.9,8378.0,18641.3,20942.1,17034.6,,17568.0,14516.0,17126.8,17075.3,19074.0,5714.3,15780.0,18699.2,21794.8,20982.0,19020.0,,18383.2,2222.1,15654.0,13964.3,16852.0,27044.3,17757.0,1363.0,2585.4,967.5,1468.0,2868.0,,-488.1,-8207.0,2056.3,4357.1,449.6,,983.0,-2069.0,541.8,490.3,2489.0,-10870.7,-805.0,2114.2,5209.8,4397.0,2435.0,,1798.2,-14362.9,-931.0,-2620.7,267.0,10459.3,1172.0,False,True,False,False,,True,False,False,False,True,,True,False,True,True,False,False,True,False,False,False,False,,False,False,True,False,True,False,True
Texas,45220,39920.0,33538.7,38785.9,36558.0,41494.0,,36009.8,17479.0,41850.8,38855.9,44680.5,,42153.0,41017.0,35873.6,37105.3,37187.0,19145.7,31709.5,41797.7,29341.2,40811.1,43084.0,,32468.6,29105.2,35438.6,34474.6,40068.0,45017.1,39957.0,-5300.0,-11681.3,-6434.1,-8662.0,-3726.0,,-9210.2,-27741.0,-3369.2,-6364.1,-539.5,,-3067.0,-4203.0,-9346.4,-8114.7,-8033.0,-26074.3,-13510.5,-3422.3,-15878.8,-4408.9,-2136.0,,-12751.4,-16114.8,-9781.4,-10745.4,-5152.0,-202.9,-5263.0,False,False,False,True,,False,False,True,False,True,,True,True,False,False,False,False,False,True,False,True,True,,False,False,False,False,True,True,True
Utah,11539,9820.0,6102.3,9717.9,9432.0,7914.0,,9278.1,3877.0,14264.7,11307.1,8519.5,,10911.0,9585.0,10663.5,6264.8,7551.0,3467.1,10023.5,10385.0,11461.7,11856.9,10596.0,,8974.1,9213.2,8663.2,9722.8,10650.1,10371.9,9776.0,-1719.0,-5436.7,-1821.1,-2107.0,-3625.0,,-2260.9,-7662.0,2725.7,-231.9,-3019.5,,-628.0,-1954.0,-875.5,-5274.2,-3988.0,-8071.9,-1515.5,-1154.0,-77.3,317.9,-943.0,,-2564.9,-2325.8,-2875.8,-1816.2,-888.9,-1167.1,-1763.0,False,False,False,False,,False,False,False,True,False,,True,False,True,False,False,False,True,True,True,True,True,,False,False,False,False,True,True,False
Vermont,136,117.0,23.7,117.3,114.0,138.0,,31.7,72.0,117.7,184.6,152.0,,85.0,90.0,85.4,215.4,135.0,165.0,91.5,119.3,159.4,154.4,136.0,,85.8,37.4,181.1,96.8,75.2,272.5,131.0,-19.0,-112.3,-18.7,-22.0,2.0,,-104.3,-64.0,-18.3,48.6,16.0,,-51.0,-46.0,-50.6,79.4,-1.0,29.0,-44.5,-16.7,23.4,18.4,0.0,,-50.2,-98.6,45.1,-39.2,-60.8,136.5,-5.0,False,True,False,True,,False,False,True,False,True,,False,False,False,False,True,False,False,True,False,True,True,,False,False,False,False,False,False,True
Virginia,8818,6996.0,11308.8,7039.3,7108.0,6943.0,,7112.9,3328.0,7837.0,6777.0,6919.7,,7162.0,7328.0,7564.2,7103.9,7444.0,5859.4,7268.5,7994.4,6635.3,7586.8,7998.0,,6178.5,5531.0,6408.3,8263.3,6829.9,7295.2,7007.0,-1822.0,2490.8,-1778.7,-1710.0,-1875.0,,-1705.1,-5490.0,-981.0,-2041.0,-1898.3,,-1656.0,-1490.0,-1253.8,-1714.1,-1374.0,-2958.6,-1549.5,-823.6,-2182.7,-1231.2,-820.0,,-2639.5,-3287.0,-2409.7,-554.7,-1988.1,-1522.8,-1811.0,False,True,True,False,,True,False,True,False,False,,True,True,True,True,True,False,True,True,False,True,True,,False,False,False,True,False,True,True
Washington,5739,4593.0,5825.2,4554.2,4632.0,4592.0,,4790.8,2661.0,4964.9,4910.5,4901.4,,4750.0,4606.0,4963.0,4103.8,4225.0,4096.1,4801.5,5111.0,4658.9,5608.3,5416.0,,5709.7,4384.6,3843.6,5477.6,4492.4,5525.3,4958.0,-1146.0,86.2,-1184.8,-1107.0,-1147.0,,-948.2,-3078.0,-774.1,-828.5,-837.6,,-989.0,-1133.0,-776.0,-1635.2,-1514.0,-1642.9,-937.5,-628.0,-1080.1,-130.7,-323.0,,-29.3,-1354.4,-1895.4,-261.4,-1246.6,-213.7,-781.0,True,False,True,False,,True,False,True,True,True,,True,True,True,False,False,False,True,True,True,True,True,,True,False,False,True,False,True,True
West Virginia,2744,1911.0,2952.6,1913.2,1896.0,2170.0,,1968.5,1426.0,2401.1,2375.2,1959.0,,2000.0,1728.0,2057.7,3001.3,1972.0,1282.5,1979.5,2384.5,1678.7,1881.2,2507.0,,1854.5,1881.8,1590.4,2181.7,2028.6,1805.0,1857.0,-833.0,208.6,-830.8,-848.0,-574.0,,-775.5,-1318.0,-342.9,-368.8,-785.0,,-744.0,-1016.0,-686.3,257.3,-772.0,-1461.5,-764.5,-359.5,-1065.3,-862.8,-237.0,,-889.5,-862.2,-1153.6,-562.3,-715.4,-939.0,-887.0,True,True,False,True,,True,False,True,True,True,,True,False,True,True,True,False,True,True,False,False,True,,False,False,False,True,True,False,False
Wisconsin,32730,28354.0,35968.4,27520.4,27871.0,29758.0,,23897.1,11628.0,32416.6,31088.1,26711.7,,31840.0,26844.0,27208.2,29911.3,25628.0,9866.8,25891.0,37376.9,24779.6,31822.5,30005.0,,22971.3,21731.8,28221.9,24527.5,30340.0,28257.2,22978.0,-4376.0,3238.4,-5209.6,-4859.0,-2972.0,,-8832.9,-21102.0,-313.4,-1641.9,-6018.3,,-890.0,-5886.0,-5521.8,-2818.7,-7102.0,-22863.2,-6839.0,4646.9,-7950.4,-907.5,-2725.0,,-9758.7,-10998.2,-4508.1,-8202.5,-2390.0,-4472.8,-9752.0,True,False,False,True,,False,False,True,True,False,,True,False,False,True,False,False,False,False,False,True,True,,False,False,False,False,True,False,False
Wyoming,2493,1989.0,4251.5,2014.9,2002.0,1547.0,,1703.6,823.0,2249.3,2550.9,2317.7,,2130.0,1818.0,1991.8,2772.2,2236.0,573.0,1944.5,2265.4,1889.2,2056.7,2522.0,,2101.3,817.7,1897.6,1798.7,2670.6,2162.8,1911.0,-504.0,1758.5,-478.1,-491.0,-946.0,,-789.4,-1670.0,-243.7,57.9,-175.3,,-363.0,-675.0,-501.2,279.2,-257.0,-1920.0,-548.5,-227.6,-603.8,-436.3,29.0,,-391.7,-1675.3,-595.4,-694.3,177.6,-330.2,-582.0,False,True,True,False,,False,False,True,True,True,,True,False,True,True,True,False,False,True,False,True,True,,True,False,False,False,True,True,False
US,564553,468793.0,493030.3,463164.3,472736.0,471318.0,479619.0,473008.5,281593.0,534163.6,501716.5,,664442.0,472940.0,472464.0,467395.1,436909.4,438160.0,267934.2,,537728.6,411044.1,553453.4,510422.0,496446.9,589693.7,255996.3,476041.7,,540421.7,524051.2,481278.5,-95760.0,-71522.7,-101388.7,-91817.0,-93235.0,-84934.0,-91544.5,-282960.0,-30389.4,-62836.5,,99889.0,-91613.0,-92089.0,-97157.9,-127643.6,-126393.0,-296618.8,,-26824.4,-153508.9,-11099.6,-54131.0,-68106.1,25140.7,-308556.7,-88511.3,,-24131.3,-40501.8,-83274.5,True,False,True,True,True,True,False,True,True,,False,True,True,False,False,False,False,,True,False,True,True,True,True,False,True,,True,True,True
