,predicted_cases,actual_cases,error,perc_error
CU-select,2505340.0,2388924,116416.0,4.9%
USACE-ERDC_SEIR,1857298.5,2388924,-531625.5,-22.3%
JHUAPL-Bucky,1853982.2,2388924,-534941.8,-22.4%
IBF-TimeSeries,1683161.0,2388924,-705763.0,-29.5%
COVIDhub-baseline,1679082.0,2388924,-709842.0,-29.7%
JCB-PRM,1459774.4,2388924,-929149.6,-38.9%
IowaStateLW-STEM,1428155.0,2388924,-960769.0,-40.2%
Columbia_UNC-SurvCon,1418819.0,2388924,-970105.0,-40.6%
USC-SI_kJalpha,1410950.0,2388924,-977974.0,-40.9%
UCLA-SuEIR,1219343.8,2388924,-1169580.2,-49.0%
JHU_IDD-CovidSP,1129115.9,2388924,-1259808.1,-52.7%
LANL-GrowthRate,986212.4,2388924,-1402711.6,-58.7%
Covid19Sim-Simulator,857690.2,2388924,-1531233.8,-64.1%
RobertWalraven-ESG,835780.1,2388924,-1553143.9,-65.0%
CovidAnalytics-DELPHI,749180.0,2388924,-1639744.0,-68.6%
