,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,347,216.0,312.1,,189.0,224.0,,,,,166.0,,151.8,101.0,,105.6,177.3,,193.1,,188.2,,,76.0,300.1,-131.0,-34.9,,-158.0,-123.0,,,,,-181.0,,-195.2,-246.0,,-241.4,-169.7,,-153.9,,-158.8,,,-271.0,-46.9,True,,False,True,,,,,False,,False,False,,False,False,,False,,False,,,False,True
01003,921,2284.0,2291.7,,1599.0,2111.0,,,,,646.0,,2480.1,1239.0,,1729.1,966.1,,521.2,,1698.5,3068.0,,32.0,1282.3,1363.0,1370.7,,678.0,1190.0,,,,,-275.0,,1559.1,318.0,,808.1,45.1,,-399.8,,777.5,2147.0,,-889.0,361.3,False,,True,True,,,,,True,,False,True,,True,True,,True,,True,False,,True,True
01005,142,156.0,51.3,,76.0,64.0,,,,,74.0,,91.3,49.4,,82.4,96.9,,16.8,,76.3,,,49.0,787.0,14.0,-90.7,,-66.0,-78.0,,,,,-68.0,,-50.7,-92.6,,-59.6,-45.1,,-125.2,,-65.7,,,-93.0,645.0,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01007,194,96.0,106.7,,96.0,29.0,,,,,74.0,,100.3,49.6,,71.7,106.1,,119.6,,68.8,,,58.0,157.9,-98.0,-87.3,,-98.0,-165.0,,,,,-120.0,,-93.7,-144.4,,-122.3,-87.9,,-74.4,,-125.2,,,-136.0,-36.1,True,,False,False,,,,,False,,True,False,,False,True,,True,,False,,,False,True
01009,450,176.0,107.2,,131.0,87.0,,,,,234.0,,130.6,152.6,,87.0,140.7,,16.3,,139.6,,,31.0,783.0,-274.0,-342.8,,-319.0,-363.0,,,,,-216.0,,-319.4,-297.4,,-363.0,-309.3,,-433.7,,-310.4,,,-419.0,333.0,False,,False,False,,,,,True,,False,False,,False,False,,False,,False,,,False,False
01011,42,36.0,43.5,,32.0,5.0,,,,,38.0,,32.2,19.3,,4.0,28.3,,18.2,,32.9,,,3.0,65.8,-6.0,1.5,,-10.0,-37.0,,,,,-4.0,,-9.8,-22.7,,-38.0,-13.7,,-23.8,,-9.1,,,-39.0,23.8,True,,False,False,,,,,True,,False,False,,False,False,,False,,False,,,False,False
01013,103,48.0,41.3,,40.0,0.0,,,,,60.0,,33.4,25.7,,10.6,44.2,,72.0,,42.9,,,8.0,88.6,-55.0,-61.7,,-63.0,-103.0,,,,,-43.0,,-69.6,-77.3,,-92.4,-58.8,,-31.0,,-60.1,,,-95.0,-14.4,False,,False,False,,,,,True,,False,False,,False,False,,True,,False,,,False,True
01015,1236,580.0,587.2,,443.0,247.0,,,,,525.0,,442.8,469.3,,397.8,475.1,,276.3,,402.0,,,102.0,800.8,-656.0,-648.8,,-793.0,-989.0,,,,,-711.0,,-793.2,-766.7,,-838.2,-760.9,,-959.7,,-834.0,,,-1134.0,-435.2,True,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,True
01017,196,160.0,309.1,,89.0,178.0,,,,,100.0,,78.9,91.6,,65.8,98.0,,11.7,,74.1,,,37.0,702.3,-36.0,113.1,,-107.0,-18.0,,,,,-96.0,,-117.1,-104.4,,-130.2,-98.0,,-184.3,,-121.9,,,-159.0,506.3,False,,False,True,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01019,157,124.0,94.4,,104.0,183.0,,,,,109.0,,104.6,85.7,,60.1,93.4,,13.1,,100.6,,,39.0,1082.8,-33.0,-62.6,,-53.0,26.0,,,,,-48.0,,-52.4,-71.3,,-96.9,-63.6,,-143.9,,-56.4,,,-118.0,925.8,False,,False,True,,,,,False,,False,False,,False,False,,False,,False,,,False,False
