,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Alabama,35432,27156.0,25467.8,20728.0,28444.0,,26857.5,12760.0,22882.4,19365.0,23767.2,21146.6,,14653.4,15459.3,20723.2,26074.3,,17005.9,1703.0,15962.1,30441.0,24433.0,-8276.0,-9964.2,-14704.0,-6988.0,,-8574.5,-22672.0,-12549.6,-16067.0,-11664.8,-14285.4,,-20778.6,-19972.7,-14708.8,-9357.7,,-18426.1,-33729.0,-19469.9,-4991.0,-10999.0,False,False,True,,False,False,False,False,False,False,,False,False,False,False,,False,False,False,True,False
Alaska,7085,3400.0,3489.3,3279.0,3718.0,,2852.1,2298.0,2819.3,,4624.1,3742.9,5914.6,2138.8,4462.6,3135.8,4022.8,,3455.6,1400.2,2119.3,3340.1,2811.0,-3685.0,-3595.7,-3806.0,-3367.0,,-4232.9,-4787.0,-4265.7,,-2460.9,-3342.1,-1170.4,-4946.2,-2622.4,-3949.2,-3062.2,,-3629.4,-5684.8,-4965.7,-3744.9,-4274.0,True,False,True,,False,False,False,,True,True,True,False,True,False,True,,True,False,False,False,False
Arizona,25547,14292.0,14734.5,12013.0,15840.0,,15822.1,2047.0,12966.6,9190.0,18445.1,11327.6,27420.2,7992.1,13948.7,9066.8,11831.8,,5726.2,0.0,12445.7,29236.7,10607.0,-11255.0,-10812.5,-13534.0,-9707.0,,-9724.9,-23500.0,-12580.4,-16357.0,-7101.9,-14219.4,1873.2,-17554.9,-11598.3,-16480.2,-13715.2,,-19820.8,-25547.0,-13101.3,3689.7,-14940.0,True,False,True,,True,False,False,False,True,False,True,False,False,False,False,,False,False,False,True,False
Arkansas,25665,23080.0,23055.8,21162.0,21026.0,,24494.9,16558.0,15612.7,25165.0,33042.4,23276.7,21737.1,10499.0,31060.5,14428.2,20102.7,,10082.6,8539.4,16709.3,22040.8,20492.0,-2585.0,-2609.2,-4503.0,-4639.0,,-1170.1,-9107.0,-10052.3,-500.0,7377.4,-2388.3,-3927.9,-15166.0,5395.5,-11236.8,-5562.3,,-15582.4,-17125.6,-8955.7,-3624.2,-5173.0,False,False,False,,True,False,False,True,False,True,False,False,False,False,False,,False,False,False,False,False
California,102622,88280.0,89269.7,78104.0,81889.0,,86645.4,43607.0,89354.9,57655.0,84005.0,75971.7,156218.1,87973.1,58009.5,61869.7,92236.0,,60005.2,10442.4,61728.8,110853.3,80045.0,-14342.0,-13352.3,-24518.0,-20733.0,,-15976.6,-59015.0,-13267.1,-44967.0,-18617.0,-26650.3,53596.1,-14648.9,-44612.5,-40752.3,-10386.0,,-42616.8,-92179.6,-40893.2,8231.3,-22577.0,True,False,False,,False,False,True,False,False,False,False,False,False,False,True,,False,False,False,True,False
Colorado,34795,16176.0,15648.0,15509.0,16592.0,,17774.4,10777.0,20873.8,13069.0,27556.1,12829.4,19635.6,17428.1,13987.2,11841.4,16183.5,,10269.4,13111.1,10382.7,10634.8,14664.0,-18619.0,-19147.0,-19286.0,-18203.0,,-17020.6,-24018.0,-13921.2,-21726.0,-7238.9,-21965.6,-15159.4,-17366.9,-20807.8,-22953.6,-18611.5,,-24525.6,-21683.9,-24412.3,-24160.2,-20131.0,False,False,True,,True,False,True,False,True,False,True,True,False,False,True,,False,False,False,False,False
Connecticut,12910,6840.0,7022.5,5331.0,13427.0,,6054.8,1842.0,6959.0,4312.0,4520.0,5784.3,,10432.8,5511.6,3230.3,5775.3,,920.2,9445.6,5449.3,4310.9,6925.0,-6070.0,-5887.5,-7579.0,517.0,,-6855.2,-11068.0,-5951.0,-8598.0,-8390.0,-7125.7,,-2477.2,-7398.4,-9679.7,-7134.7,,-11989.8,-3464.4,-7460.7,-8599.1,-5985.0,True,False,True,,False,False,True,False,False,False,,True,False,False,False,,False,True,False,False,True
Delaware,3826,3876.0,3663.6,3140.0,6365.0,,3250.2,1075.0,4512.9,1975.0,3417.9,2753.2,,3380.4,2704.9,2722.2,4117.2,,4190.5,632.7,2813.8,3067.7,4052.0,50.0,-162.4,-686.0,2539.0,,-575.8,-2751.0,686.9,-1851.0,-408.1,-1072.8,,-445.6,-1121.1,-1103.8,291.2,,364.5,-3193.3,-1012.2,-758.3,226.0,False,False,False,,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False
District of Columbia,1793,1032.0,502.4,792.0,847.0,,1129.7,86.0,1625.2,722.0,1269.1,781.3,,1946.9,870.6,795.4,1189.9,,542.4,950.2,833.1,,869.0,-761.0,-1290.6,-1001.0,-946.0,,-663.3,-1707.0,-167.8,-1071.0,-523.9,-1011.7,,153.9,-922.4,-997.6,-603.1,,-1250.6,-842.8,-959.9,,-924.0,False,False,False,,True,False,True,False,True,False,,True,False,False,True,,False,False,False,,False
Florida,87956,63636.0,64074.5,56872.0,60704.0,,63656.4,17654.0,67136.8,43374.0,73266.1,52266.7,120237.5,67314.3,26843.8,40931.7,58777.7,,33408.7,0.0,47118.8,91423.0,50540.0,-24320.0,-23881.5,-31084.0,-27252.0,,-24299.6,-70302.0,-20819.2,-44582.0,-14689.9,-35689.3,32281.5,-20641.7,-61112.2,-47024.3,-29178.3,,-54547.3,-87956.0,-40837.2,3467.0,-37416.0,True,False,False,,True,False,True,False,True,False,False,True,False,False,False,,False,False,False,True,False
