,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,727,427.0,,,,,291.0,,549.1,274.1,,254.0,339.2,,,-300.0,,,,,-436.0,,-177.9,-452.9,,-473.0,-387.8,,,,,,,False,,True,False,,False,False,,
01003,2188,1470.0,,,,,706.0,,1312.5,1219.2,,1286.0,1483.8,,,-718.0,,,,,-1482.0,,-875.5,-968.8,,-902.0,-704.2,,,,,,,False,,False,False,,False,True,,
01005,441,28.0,,,,,174.0,,236.0,3.8,,3.5,,,,-413.0,,,,,-267.0,,-205.0,-437.2,,-437.5,,,,,,,,True,,True,False,,False,,,
01007,299,182.0,,,,,132.0,,474.8,47.7,,62.9,,,,-117.0,,,,,-167.0,,175.8,-251.3,,-236.1,,,,,,,,False,,False,False,,False,,,
01009,960,364.0,,,,,249.0,,648.7,247.5,,133.2,229.2,,,-596.0,,,,,-711.0,,-311.3,-712.5,,-826.9,-730.8,,,,,,,False,,True,False,,False,False,,
01011,101,56.0,,,,,184.0,,56.1,23.8,,12.8,,,,-45.0,,,,,83.0,,-44.9,-77.2,,-88.2,,,,,,,,False,,True,False,,False,,,
01013,163,84.0,,,,,110.0,,327.4,6.5,,40.7,,,,-79.0,,,,,-53.0,,164.4,-156.5,,-122.3,,,,,,,,True,,False,False,,False,,,
01015,2133,1267.0,,,,,622.0,,1338.2,922.0,,169.5,582.1,,,-866.0,,,,,-1511.0,,-794.8,-1211.0,,-1963.5,-1550.9,,,,,,,False,,True,False,,False,False,,
01017,527,70.0,,,,,153.0,,280.5,6.4,,13.7,,,,-457.0,,,,,-374.0,,-246.5,-520.6,,-513.3,,,,,,,,True,,True,False,,False,,,
01019,391,196.0,,,,,99.0,,379.5,187.9,,34.4,,,,-195.0,,,,,-292.0,,-11.5,-203.1,,-356.6,,,,,,,,False,,True,False,,False,,,
01021,704,588.0,,,,,235.0,,810.4,392.1,,141.6,277.7,,,-116.0,,,,,-469.0,,106.4,-311.9,,-562.4,-426.3,,,,,,,False,,True,False,,False,False,,
01023,71,28.0,,,,,46.0,,244.0,8.9,,5.7,,,,-43.0,,,,,-25.0,,173.0,-62.1,,-65.3,,,,,,,,True,,False,False,,False,,,
01025,460,56.0,,,,,179.0,,257.0,3.3,,19.3,,,,-404.0,,,,,-281.0,,-203.0,-456.7,,-440.7,,,,,,,,True,,True,False,,False,,,
01027,352,203.0,,,,,49.0,,438.4,105.5,,73.9,,,,-149.0,,,,,-303.0,,86.4,-246.5,,-278.1,,,,,,,,False,,True,False,,False,,,
01029,314,259.0,,,,,72.0,,666.3,206.8,,137.3,,,,-55.0,,,,,-242.0,,352.3,-107.2,,-176.7,,,,,,,,False,,False,False,,False,,,
01031,827,476.0,,,,,369.0,,453.8,321.9,,41.9,,,,-351.0,,,,,-458.0,,-373.2,-505.1,,-785.1,,,,,,,,False,,False,False,,False,,,
01033,644,231.0,,,,,340.0,,430.5,85.3,,12.5,284.5,,,-413.0,,,,,-304.0,,-213.5,-558.7,,-631.5,-359.5,,,,,,,True,,True,False,,False,True,,
01035,136,63.0,,,,,58.0,,47.9,6.3,0.0,9.7,,,,-73.0,,,,,-78.0,,-88.1,-129.7,-136.0,-126.3,,,,,,,,False,,False,False,False,False,,,
01037,108,35.0,,,,,57.0,,27.7,10.8,10.5,142.7,,,,-73.0,,,,,-51.0,,-80.3,-97.2,-97.5,34.7,,,,,,,,True,,False,False,False,True,,,
01039,1051,161.0,,,,,167.0,,324.1,63.6,44.4,75.4,,,,-890.0,,,,,-884.0,,-726.9,-987.4,-1006.6,-975.6,,,,,,,,True,,True,False,False,False,,,
01041,206,126.0,,,,,125.0,,275.5,32.6,0.0,1.5,,,,-80.0,,,,,-81.0,,69.5,-173.4,-206.0,-204.5,,,,,,,,False,,True,False,False,False,,,
01043,1275,364.0,,,,,527.0,,540.6,77.9,168.8,6.7,280.2,,,-911.0,,,,,-748.0,,-734.4,-1197.1,-1106.2,-1268.3,-994.8,,,,,,,True,,True,False,False,False,False,,
01045,819,441.0,,,,,290.0,,436.7,248.2,174.1,41.9,247.0,,,-378.0,,,,,-529.0,,-382.3,-570.8,-644.9,-777.1,-572.0,,,,,,,False,,False,False,False,False,False,,
01047,436,238.0,,,,,164.0,,392.6,50.4,1.3,108.1,180.1,,,-198.0,,,,,-272.0,,-43.4,-385.6,-434.7,-327.9,-255.9,,,,,,,False,,True,False,False,False,False,,
01049,1516,266.0,,,,,427.0,,501.9,191.0,81.6,113.2,294.9,,,-1250.0,,,,,-1089.0,,-1014.1,-1325.0,-1434.4,-1402.8,-1221.1,,,,,,,True,,True,False,False,False,True,,
01051,1123,651.0,,,,,374.0,,755.4,371.4,176.0,398.5,496.9,,,-472.0,,,,,-749.0,,-367.6,-751.6,-947.0,-724.5,-626.1,,,,,,,False,,True,False,False,False,False,,
01053,481,301.0,,,,,272.0,,445.8,90.5,0.5,68.6,145.6,,,-180.0,,,,,-209.0,,-35.2,-390.5,-480.5,-412.4,-335.4,,,,,,,False,,True,False,False,False,False,,
01055,1657,756.0,,,,,588.0,,827.6,561.9,302.6,344.5,482.0,,,-901.0,,,,,-1069.0,,-829.4,-1095.1,-1354.4,-1312.5,-1175.0,,,,,,,False,,True,False,False,False,False,,
01057,267,210.0,,,,,73.0,,393.1,243.5,78.9,130.5,,,,-57.0,,,,,-194.0,,126.1,-23.5,-188.1,-136.5,,,,,,,,False,,False,True,False,False,,,
01059,478,350.0,,,,,296.0,,416.0,203.6,15.7,128.9,224.2,,,-128.0,,,,,-182.0,,-62.0,-274.4,-462.3,-349.1,-253.8,,,,,,,False,,True,False,False,False,False,,
01061,560,112.0,,,,,146.0,,265.7,28.7,130.8,54.7,,,,-448.0,,,,,-414.0,,-294.3,-531.3,-429.2,-505.3,,,,,,,,True,,True,False,True,False,,,
01063,71,0.0,,,,,27.0,,29.4,0.3,0.0,15.0,,,,-71.0,,,,,-44.0,,-41.6,-70.7,-71.0,-56.0,,,,,,,,True,,True,True,True,True,,,
01065,243,105.0,,,,,86.0,,258.5,16.9,1.2,2.4,,,,-138.0,,,,,-157.0,,15.5,-226.1,-241.8,-240.6,,,,,,,,False,,True,False,False,False,,,
