,count,mean,median,std,min,25%,75%,max
JCB-PRM,51,294024121.3,75969916.9,499626902.3,472.4,15006452.5,322618603.9,2441601612.7
COVIDhub-baseline,51,348373707.4,82210489.0,719366171.0,80656.0,15723084.5,274782244.5,3494464996.0
JHUAPL-Bucky,51,383220493.3,72593279.8,799977486.7,8810.5,16222963.6,374674847.0,5107270809.0
Covid19Sim-Simulator,51,477637839.6,139122121.2,901523727.5,287.7,25654266.6,374471866.1,5393790155.6
CU-select,51,492345205.2,112275216.0,1348521926.8,74529.0,19650857.0,304083908.0,8624836900.0
IowaStateLW-STEM,49,538645131.8,102212100.0,1072163377.6,157609.0,21022946.3,391941606.5,4853908900.0
Karlen-pypm,51,538663640.3,175687072.1,1065848821.0,458.0,26236176.7,633810187.5,5681722279.8
UCLA-SuEIR,51,551843336.5,219349184.7,792834894.6,48308.1,84702502.2,612669533.9,3417390170.1
USC-SI_kJalpha,51,575151218.3,145395364.0,1069872425.0,2601.0,30333056.5,542589706.0,5259005361.0
USACE-ERDC_SEIR,51,600338699.5,115232425.7,1454864287.0,99993.6,11804345.2,396627638.5,9127129452.1
JHU_IDD-CovidSP,51,721894598.6,224178850.6,1850503099.2,2883.0,26189909.2,420751900.8,9474914016.3
LANL-GrowthRate,51,940178014.6,281867093.3,1868999105.8,116106.4,117745916.3,724452551.2,10362711907.2
RobertWalraven-ESG,48,1415983306.4,389887534.6,3243401447.7,144635.7,131473112.8,1071369401.6,20894569514.2
CovidAnalytics-DELPHI,51,1529569107.9,394896384.0,3014622867.9,146689.0,135361490.5,1467916562.5,14060504929.0
