,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Alabama,21476,14272.0,19190.7,13869.7,13870.0,15650.0,,13093.4,5675.0,14442.6,,10424.0,15063.5,11946.5,15636.7,5552.2,20993.2,11972.9,14779.9,15502.9,17036.0,,15278.9,1169.0,11975.2,14693.7,14241.0,-7204.0,-2285.3,-7606.3,-7606.0,-5826.0,,-8382.6,-15801.0,-7033.4,,-11052.0,-6412.5,-9529.5,-5839.3,-15923.8,-482.8,-9503.1,-6696.1,-5973.1,-4440.0,,-6197.1,-20307.0,-9500.8,-6782.3,-7235.0,True,False,False,True,,False,False,True,,False,True,False,True,False,True,False,True,True,True,,True,False,False,True,False
Alaska,4531,2658.0,10543.8,2671.8,2674.0,2024.0,,2675.1,1784.0,2456.9,,,2860.5,3608.5,3001.6,1251.2,4160.7,2465.6,2749.6,3325.3,3744.0,,2778.0,1142.4,1761.5,2912.4,2214.0,-1873.0,6012.8,-1859.2,-1857.0,-2507.0,,-1855.9,-2747.0,-2074.1,,,-1670.5,-922.5,-1529.4,-3279.8,-370.3,-2065.4,-1781.4,-1205.7,-787.0,,-1753.0,-3388.6,-2769.5,-1618.6,-2317.0,False,True,True,False,,True,False,False,,,True,True,True,False,True,False,True,True,True,,True,False,False,True,False
Arizona,15487,10962.0,23302.1,11126.3,9968.0,10390.0,,9967.4,809.0,11206.8,,7920.0,9078.7,8284.4,10050.1,3794.6,11310.2,9416.7,13080.0,13481.0,14925.0,,12146.4,1360.5,8860.0,15412.9,11959.0,-4525.0,7815.1,-4360.7,-5519.0,-5097.0,,-5519.6,-14678.0,-4280.2,,-7567.0,-6408.3,-7202.6,-5436.9,-11692.4,-4176.8,-6070.3,-2407.0,-2006.0,-562.0,,-3340.6,-14126.5,-6627.0,-74.1,-3528.0,False,True,False,False,,False,False,True,,False,False,False,False,False,True,False,True,True,True,,True,False,False,True,True
Arkansas,13768,12404.0,12410.4,12404.2,12367.0,12265.0,,11809.6,9424.0,12719.7,,14098.0,13932.8,12693.6,13206.9,5816.6,14131.5,10024.8,12389.2,12988.9,14875.0,,13265.1,3269.3,8648.2,12186.5,12289.0,-1364.0,-1357.6,-1363.8,-1401.0,-1503.0,,-1958.4,-4344.0,-1048.3,,330.0,164.8,-1074.4,-561.1,-7951.4,363.5,-3743.2,-1378.8,-779.1,1107.0,,-502.9,-10498.7,-5119.8,-1581.5,-1479.0,True,True,False,False,,False,False,True,,True,True,True,True,False,True,False,False,True,True,,True,False,False,False,False
California,58529,42408.0,51704.8,42550.1,40243.0,40243.0,,42687.1,32402.0,43486.1,,36491.0,48714.5,41546.3,44644.9,36901.2,46801.7,28285.2,36288.2,44314.7,44199.0,,34113.3,0.0,33531.0,48917.2,41945.0,-16121.0,-6824.2,-15978.9,-18286.0,-18286.0,,-15841.9,-26127.0,-15042.9,,-22038.0,-9814.5,-16982.7,-13884.1,-21627.8,-11727.3,-30243.8,-22240.8,-14214.3,-14330.0,,-24415.7,-58529.0,-24998.0,-9611.8,-16584.0,True,True,False,False,,True,False,True,,False,True,False,True,False,True,False,False,True,True,,False,False,False,True,False
Colorado,22981,13456.0,16418.1,13401.8,13398.0,16229.0,,12101.7,15072.0,15434.5,,10471.0,11377.6,10126.6,13959.7,12904.7,15007.9,12418.4,15976.7,13196.4,18985.0,,17256.7,6449.5,10344.5,14341.1,15404.0,-9525.0,-6562.9,-9579.2,-9583.0,-6752.0,,-10879.3,-7909.0,-7546.5,,-12510.0,-11603.4,-12854.4,-9021.3,-10076.3,-7973.1,-10562.6,-7004.3,-9784.6,-3996.0,,-5724.3,-16531.5,-12636.5,-8639.9,-7577.0,True,False,False,True,,False,True,True,,False,False,False,True,False,True,False,True,False,True,,True,False,False,True,True
Connecticut,8377,5584.0,3859.1,5484.1,4291.0,7086.0,,4291.3,1367.0,17871.1,,3881.0,3827.6,3956.5,6726.1,6024.8,8658.3,2157.4,4872.8,5955.1,6140.0,,4165.7,5260.2,4513.5,3330.0,5203.0,-2793.0,-4517.9,-2892.9,-4086.0,-1291.0,,-4085.7,-7010.0,9494.1,,-4496.0,-4549.4,-4420.5,-1650.9,-2352.2,281.3,-6219.6,-3504.2,-2421.9,-2237.0,,-4211.3,-3116.8,-3863.5,-5047.0,-3174.0,False,False,False,True,,False,False,False,,False,False,False,True,True,True,False,False,True,True,,False,False,False,False,False
Delaware,2009,1888.0,1393.3,1860.4,1735.0,2084.0,,1633.9,2199.0,2968.0,,1371.0,1989.3,1514.9,1851.0,1432.5,2216.5,1623.3,2052.0,2393.1,2058.0,,1717.3,254.7,1537.2,1659.8,1921.0,-121.0,-615.7,-148.6,-274.0,75.0,,-375.1,190.0,959.0,,-638.0,-19.7,-494.1,-158.0,-576.5,207.5,-385.7,43.0,384.1,49.0,,-291.7,-1754.3,-471.8,-349.2,-88.0,False,False,False,True,,False,False,False,,False,True,False,False,False,False,False,True,False,True,,False,False,False,False,True
District of Columbia,932,832.0,845.9,841.5,777.0,679.0,,789.4,132.0,941.4,,678.0,685.0,711.2,940.5,711.9,1132.3,644.2,841.8,,1159.0,,1120.1,362.2,651.5,,1044.0,-100.0,-86.1,-90.5,-155.0,-253.0,,-142.6,-800.0,9.4,,-254.0,-247.0,-220.8,8.5,-220.1,200.3,-287.8,-90.2,,227.0,,188.1,-569.8,-280.5,,112.0,True,True,False,False,,False,False,True,,False,False,False,True,False,False,False,True,,False,,False,False,False,,False
Florida,50066,47120.0,48805.6,49081.3,37307.0,65331.0,,35843.8,7777.0,36839.0,,29405.0,37218.8,31752.6,42004.8,28827.1,29232.5,34349.7,46471.9,33883.8,55166.0,,44291.6,9825.9,36824.8,56023.0,40578.0,-2946.0,-1260.4,-984.7,-12759.0,15265.0,,-14222.2,-42289.0,-13227.0,,-20661.0,-12847.2,-18313.4,-8061.2,-21238.9,-20833.5,-15716.3,-3594.1,-16182.2,5100.0,,-5774.4,-40240.1,-13241.2,5957.0,-9488.0,True,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
