,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,691,496.0,,,,705.0,,,236.5,436.2,,,-195.0,,,,14.0,,,-454.5,-254.8,,,,,,True,,,False,False,,
01003,2271,1880.0,,,,1338.0,,,573.3,2003.6,,,-391.0,,,,-933.0,,,-1697.7,-267.4,,,,,,False,,,False,True,,
01005,288,0.0,,,,341.0,,,8.1,31.1,,,-288.0,,,,53.0,,,-279.9,-256.9,,,,,,True,,,True,True,,
01007,301,216.0,,,,385.0,,,40.2,203.4,,,-85.0,,,,84.0,,,-260.8,-97.6,,,,,,True,,,False,False,,
01009,710,464.0,,,,580.0,,,187.0,282.0,,,-246.0,,,,-130.0,,,-523.0,-428.0,,,,,,True,,,False,False,,
01011,84,72.0,,,,278.0,,,42.3,64.9,,,-12.0,,,,194.0,,,-41.7,-19.1,,,,,,False,,,False,False,,
01013,144,208.0,,,,233.0,,,101.6,148.3,,,64.0,,,,89.0,,,-42.4,4.3,,,,,,False,,,True,True,,
01015,2086,1848.0,,,,1149.0,,,291.9,1243.1,,,-238.0,,,,-937.0,,,-1794.1,-842.9,,,,,,False,,,False,False,,
01017,337,0.0,,,,287.0,,,17.6,36.7,,,-337.0,,,,-50.0,,,-319.4,-300.3,,,,,,True,,,True,True,,
01019,333,184.0,,,,181.0,,,59.0,130.2,,,-149.0,,,,-152.0,,,-274.0,-202.8,,,,,,False,,,False,False,,
01021,673,912.0,,,,633.0,,,202.4,558.1,,,239.0,,,,-40.0,,,-470.6,-114.9,,,,,,True,,,False,True,,
01023,66,64.0,,,,91.0,,,0.6,57.7,,,-2.0,,,,25.0,,,-65.4,-8.3,,,,,,False,,,False,False,,
01025,397,104.0,,,,316.0,,,44.7,240.2,,,-293.0,,,,-81.0,,,-352.3,-156.8,,,,,,True,,,False,True,,
01027,363,400.0,,,,134.0,,,97.8,291.9,,,37.0,,,,-229.0,,,-265.2,-71.1,,,,,,False,,,False,False,,
01029,319,256.0,,,,120.0,,,14.2,234.7,,,-63.0,,,,-199.0,,,-304.8,-84.3,,,,,,False,,,False,False,,
01031,749,176.0,,,,746.0,,,36.1,201.5,,,-573.0,,,,-3.0,,,-712.9,-547.5,,,,,,True,,,False,True,,
01033,805,448.0,,,,816.0,,,15.8,361.0,,,-357.0,,,,11.0,,,-789.2,-444.0,,,,,,True,,,False,False,,
01035,85,0.0,,,,117.0,,0.0,27.6,14.0,,,-85.0,,,,32.0,,-85.0,-57.4,-71.0,,,,,,True,,True,True,True,,
01037,81,0.0,,,,81.0,,17.1,13.2,25.9,,,-81.0,,,,0.0,,-63.9,-67.8,-55.1,,,,,,True,,True,True,True,,
01039,727,48.0,,,,521.0,,72.0,17.8,64.9,,,-679.0,,,,-206.0,,-655.0,-709.2,-662.1,,,,,,True,,True,False,True,,
01041,137,88.0,,,,237.0,,0.0,1.9,260.9,,,-49.0,,,,100.0,,-137.0,-135.1,123.9,,,,,,False,,False,False,False,,
01043,1166,240.0,,,,1133.0,,195.0,66.9,271.0,,,-926.0,,,,-33.0,,-971.0,-1099.1,-895.0,,,,,,True,,False,False,True,,
01045,778,176.0,,,,587.0,,214.2,71.1,155.7,,,-602.0,,,,-191.0,,-563.8,-706.9,-622.3,,,,,,True,,True,False,False,,
01047,258,216.0,,,,498.0,,1.6,87.4,137.9,,,-42.0,,,,240.0,,-256.4,-170.6,-120.1,,,,,,False,,False,False,False,,
01049,1469,480.0,,,,762.0,,116.5,160.1,497.3,,,-989.0,,,,-707.0,,-1352.5,-1308.9,-971.7,,,,,,True,,False,False,True,,
01051,1025,824.0,,,,818.0,,198.2,391.1,726.9,,,-201.0,,,,-207.0,,-826.8,-633.9,-298.1,,,,,,False,,False,False,False,,
01053,328,288.0,,,,595.0,,0.7,115.7,146.1,,,-40.0,,,,267.0,,-327.3,-212.3,-181.9,,,,,,False,,False,False,False,,
01055,1507,824.0,,,,1085.0,,350.4,367.2,398.0,,,-683.0,,,,-422.0,,-1156.6,-1139.8,-1109.0,,,,,,True,,False,False,False,,
01057,246,216.0,,,,189.0,,95.4,104.6,220.0,,,-30.0,,,,-57.0,,-150.6,-141.4,-26.0,,,,,,False,,False,False,True,,
