,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,56447,40901.0,,51671.0,19537.0,,32510.0,18631.1,39096.5,27647.4,11374.9,21207.2,25128.4,20566.0,-15546.0,,-4776.0,-36910.0,,-23937.0,-37815.9,-17350.5,-28799.6,-45072.1,-35239.8,-31318.6,-35881.0,,True,False,,False,False,False,False,False,False,False,False
Alaska,9226,3710.0,,5571.8,2582.0,,,4932.2,4470.4,2360.4,2042.0,2160.6,4347.5,3584.0,-5516.0,,-3654.2,-6644.0,,,-4293.8,-4755.6,-6865.6,-7184.0,-7065.4,-4878.5,-5642.0,,True,False,,,True,True,False,False,False,True,False
Arizona,37818,18277.0,,21496.8,7087.0,,20149.0,19619.5,17031.2,9719.1,8363.3,21885.9,12339.7,12874.0,-19541.0,,-16321.2,-30731.0,,-17669.0,-18198.5,-20786.8,-28098.9,-29454.7,-15932.1,-25478.3,-24944.0,,True,False,,True,True,False,False,False,True,False,False
Arkansas,42480,35140.0,,27122.4,28323.0,,33492.0,41847.1,45341.6,23414.6,17110.2,24809.0,41394.1,30651.0,-7340.0,,-15357.6,-14157.0,,-8988.0,-632.9,2861.6,-19065.4,-25369.8,-17671.0,-1085.9,-11829.0,,False,False,,False,True,True,False,False,False,True,False
California,173210,165333.0,,122559.7,128261.0,,186106.0,116014.2,141172.1,67322.7,49842.7,130755.2,75306.5,60803.0,-7877.0,,-50650.3,-44949.0,,12896.0,-57195.8,-32037.9,-105887.3,-123367.3,-42454.8,-97903.5,-112407.0,,False,False,,False,False,False,False,False,False,False,False
Colorado,46454,13370.0,,13912.4,855.0,,11777.0,13769.2,12258.7,8908.0,8825.8,7365.9,24228.5,15591.0,-33084.0,,-32541.6,-45599.0,,-34677.0,-32684.8,-34195.3,-37546.0,-37628.2,-39088.1,-22225.5,-30863.0,,True,False,,False,True,False,False,False,False,True,True
Connecticut,16881,6727.0,,4607.2,31.0,,5379.0,3065.2,3688.2,2548.4,566.7,8839.5,4287.5,5468.0,-10154.0,,-12273.8,-16850.0,,-11502.0,-13815.8,-13192.8,-14332.6,-16314.3,-8041.5,-12593.5,-11413.0,,False,False,,False,False,False,False,False,True,False,False
Delaware,6225,5838.0,,7357.6,18.0,,3154.0,8362.3,3524.4,2683.8,3877.2,4297.6,6760.5,8214.0,-387.0,,1132.6,-6207.0,,-3071.0,2137.3,-2700.6,-3541.2,-2347.8,-1927.4,535.5,1989.0,,False,False,,False,False,False,False,False,False,False,False
District of Columbia,2773,1785.0,,1926.4,78.0,,2547.0,748.5,2112.9,1169.1,2047.0,1223.1,2272.7,698.0,-988.0,,-846.6,-2695.0,,-226.0,-2024.5,-660.1,-1603.9,-726.0,-1549.9,-500.3,-2075.0,,True,False,,True,False,True,False,True,False,True,False
Florida,140976,123928.0,,102087.9,38233.0,,138816.0,145584.5,110972.2,67189.4,43401.7,87753.9,68815.5,66339.0,-17048.0,,-38888.1,-102743.0,,-2160.0,4608.5,-30003.8,-73786.6,-97574.3,-53222.1,-72160.5,-74637.0,,False,False,,True,True,False,False,False,False,False,False
Georgia,67885,79499.0,,64898.1,51911.0,,69350.0,83143.4,75139.3,39976.0,28668.1,45688.7,46601.8,46286.0,11614.0,,-2986.9,-15974.0,,1465.0,15258.4,7254.3,-27909.0,-39216.9,-22196.3,-21283.2,-21599.0,,True,False,,True,False,True,False,False,False,False,False
Hawaii,4562,6265.0,,4637.9,5337.0,,,1826.9,8833.0,3110.7,1708.1,7049.2,1942.6,2576.0,1703.0,,75.9,775.0,,,-2735.1,4271.0,-1451.3,-2853.9,2487.2,-2619.4,-1986.0,,True,True,,,False,False,True,False,False,False,False
Idaho,29441,11851.0,,11783.7,9350.0,,15594.0,12243.4,16751.0,8078.4,2218.4,7482.6,15682.5,7204.0,-17590.0,,-17657.3,-20091.0,,-13847.0,-17197.6,-12690.0,-21362.6,-27222.5,-21958.4,-13758.5,-22237.0,,False,False,,True,True,True,False,False,False,True,False
Illinois,154548,83279.0,,67155.8,13708.0,,82303.0,102831.5,90771.2,37726.7,56224.9,59492.3,51780.3,57638.0,-71269.0,,-87392.2,-140840.0,,-72245.0,-51716.5,-63776.8,-116821.3,-98323.1,-95055.7,-102767.7,-96910.0,,False,False,,False,True,True,False,False,False,False,False
Indiana,74797,39200.0,,39299.5,30015.0,,36346.0,32753.6,44480.4,31804.3,20490.8,23971.8,56619.1,24674.0,-35597.0,,-35497.5,-44782.0,,-38451.0,-42043.4,-30316.6,-42992.7,-54306.2,-50825.2,-18177.9,-50123.0,,True,False,,False,False,True,False,False,False,True,False
Iowa,54305,31605.0,,29989.1,33003.0,,31269.0,17324.9,40912.6,15274.6,14270.9,17313.7,11859.2,12978.0,-22700.0,,-24315.9,-21302.0,,-23036.0,-36980.1,-13392.4,-39030.4,-40034.1,-36991.3,-42445.8,-41327.0,,False,True,,False,False,True,False,False,False,False,False
Kansas,38285,21014.0,,19563.4,23216.0,,23519.0,14414.6,38104.7,6586.3,6224.6,12664.6,5593.8,7795.0,-17271.0,,-18721.6,-15069.0,,-14766.0,-23870.4,-180.3,-31698.7,-32060.4,-25620.4,-32691.2,-30490.0,,False,True,,True,False,True,False,False,False,False,False
Kentucky,50804,27657.0,,30688.0,28994.0,,36336.0,33711.1,38535.6,17776.4,13846.9,14410.3,25576.0,14295.0,-23147.0,,-20116.0,-21810.0,,-14468.0,-17092.9,-12268.4,-33027.6,-36957.1,-36393.7,-25228.0,-36509.0,,True,True,,True,True,True,False,False,False,False,False
Louisiana,29540,32907.0,,16047.9,16223.0,,35780.0,12052.4,21246.5,20672.0,10719.5,27544.4,23584.1,11135.0,3367.0,,-13492.1,-13317.0,,6240.0,-17487.6,-8293.5,-8868.0,-18820.5,-1995.6,-5955.9,-18405.0,,False,False,,False,False,False,False,False,True,False,False
