,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,113,65.0,,67.6,,68.0,69.0,,,,,,86.1,,,71.0,,85.2,,29.4,70.0,,45.9,74.6,,78.0,32.0,,,,61.9,,,,61.0,,-48.0,,-45.4,,-45.0,-44.0,,,,,,-26.9,,,-42.0,,-27.8,,-83.6,-43.0,,-67.1,-38.4,,-35.0,-81.0,,,,-51.1,,,,-52.0,,,True,,True,True,,,,,,True,,,True,,True,,False,True,,False,True,,True,False,,,,False,,,,False,
01003,313,287.0,,328.7,,259.0,294.0,,,,,,250.5,,,408.0,,156.7,,130.8,224.0,,252.3,206.4,,308.0,654.0,,,,265.2,188.0,,,0.0,344.8,-26.0,,15.7,,-54.0,-19.0,,,,,,-62.5,,,95.0,,-156.3,,-182.2,-89.0,,-60.7,-106.6,,-5.0,341.0,,,,-47.8,-125.0,,,-313.0,31.8,,True,,False,True,,,,,,False,,,False,,False,,False,False,,False,False,,True,False,,,,False,False,,,False,False
01005,29,54.0,,53.2,,45.0,47.0,,,,,,83.0,,,36.0,,45.8,,16.4,,,27.2,43.5,,64.0,78.0,,,,,,,,34.0,64.5,25.0,,24.2,,16.0,18.0,,,,,,54.0,,,7.0,,16.8,,-12.6,,,-1.8,14.5,,35.0,49.0,,,,,,,,5.0,35.5,,True,,True,True,,,,,,False,,,True,,True,,True,,,True,True,,False,False,,,,,,,,True,False
01007,38,53.0,,51.2,,49.0,47.0,,,,,,41.1,,,36.0,,61.0,,13.2,,,45.5,57.3,,68.0,0.0,,,,,,,,68.0,42.4,15.0,,13.2,,11.0,9.0,,,,,,3.1,,,-2.0,,23.0,,-24.8,,,7.5,19.3,,30.0,-38.0,,,,,,,,30.0,4.4,,True,,True,True,,,,,,True,,,True,,False,,False,,,True,False,,False,False,,,,,,,,False,True
01009,162,118.0,,119.7,,106.0,162.0,,,,,,116.3,,,98.0,,130.6,,23.5,100.5,,79.8,106.2,,139.0,33.0,,,,103.2,,,,118.0,88.2,-44.0,,-42.3,,-56.0,0.0,,,,,,-45.7,,,-64.0,,-31.4,,-138.5,-61.5,,-82.2,-55.8,,-23.0,-129.0,,,,-58.8,,,,-44.0,-73.8,,True,,False,True,,,,,,False,,,False,,True,,False,False,,False,False,,True,False,,,,False,,,,False,False
01011,5,14.0,,14.0,,11.0,0.0,,,,,,31.8,,,15.0,,9.9,,6.2,,,5.5,11.8,,13.0,,,,,,,,,0.0,13.3,9.0,,9.0,,6.0,-5.0,,,,,,26.8,,,10.0,,4.9,,1.2,,,0.5,6.8,,8.0,,,,,,,,,-5.0,8.3,,False,,True,True,,,,,,False,,,False,,True,,True,,,True,True,,True,,,,,,,,,True,True
01013,14,17.0,,19.4,,18.0,0.0,,,,,,24.2,,,30.0,,25.7,,8.7,,,8.4,21.1,,30.0,0.0,,,,,,,,8.0,14.9,3.0,,5.4,,4.0,-14.0,,,,,,10.2,,,16.0,,11.7,,-5.3,,,-5.6,7.1,,16.0,-14.0,,,,,,,,-6.0,0.9,,False,,False,False,,,,,,False,,,False,,False,,False,,,False,False,,False,False,,,,,,,,False,True
01015,296,501.0,,507.8,,284.0,242.0,,,,,,1345.0,,,208.0,,226.6,,101.6,268.0,,485.4,284.0,,517.0,65.0,,,,452.7,,,,0.0,,205.0,,211.8,,-12.0,-54.0,,,,,,1049.0,,,-88.0,,-69.4,,-194.4,-28.0,,189.4,-12.0,,221.0,-231.0,,,,156.7,,,,-296.0,,,False,,True,True,,,,,,False,,,True,,True,,True,True,,True,True,,False,False,,,,True,,,,False,
01017,45,84.0,,86.5,,73.0,109.0,,,,,,54.6,,,48.0,,83.6,,17.2,52.0,,35.4,50.7,,79.0,2.0,,,,73.1,,,,99.0,,39.0,,41.5,,28.0,64.0,,,,,,9.6,,,3.0,,38.6,,-27.8,7.0,,-9.6,5.7,,34.0,-43.0,,,,28.1,,,,54.0,,,False,,True,False,,,,,,True,,,True,,True,,True,True,,True,True,,True,False,,,,True,,,,False,
01019,50,20.0,,19.6,,22.0,25.0,,,,,,22.1,,,49.0,,41.8,,17.8,,,11.6,29.9,,33.0,15.0,,,,,,,,29.0,,-30.0,,-30.4,,-28.0,-25.0,,,,,,-27.9,,,-1.0,,-8.2,,-32.2,,,-38.4,-20.1,,-17.0,-35.0,,,,,,,,-21.0,,,False,,True,True,,,,,,True,,,True,,True,,False,,,False,True,,True,False,,,,,,,,True,
