,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,493,1446.0,1704.0,,,,,801.0,,582.4,127.9,1500.7,,254.5,725.2,,,953.0,1211.0,,,,,308.0,,89.4,-365.1,1007.7,,-238.5,232.2,,,False,,,,,True,,True,True,False,,True,True,,
01003,1926,1770.0,3771.0,,,,,1093.0,,180.3,830.1,1436.2,,275.3,1432.8,,,-156.0,1845.0,,,,,-833.0,,-1745.7,-1095.9,-489.8,,-1650.7,-493.2,,,False,,,,,False,,False,False,False,,False,False,,
01005,228,1260.0,132.0,,,,,304.0,,698.7,56.4,809.4,,1.2,,,,1032.0,-96.0,,,,,76.0,,470.7,-171.6,581.4,,-226.8,,,,True,,,,,True,,True,True,True,,True,,,
01007,254,312.0,60.0,,,,,380.0,,463.0,87.8,119.7,,70.2,,,,58.0,-194.0,,,,,126.0,,209.0,-166.2,-134.3,,-183.8,,,,False,,,,,False,,False,False,False,,False,,,
01009,545,2568.0,901.0,,,,,775.0,,1399.1,330.0,3093.9,,66.8,1041.7,,,2023.0,356.0,,,,,230.0,,854.1,-215.0,2548.9,,-478.2,496.7,,,True,,,,,True,,True,True,False,,True,True,,
01011,67,198.0,0.0,,,,,219.0,,5.2,24.0,19.3,,0.0,,,,131.0,-67.0,,,,,152.0,,-61.8,-43.0,-47.7,,-67.0,,,,True,,,,,False,,True,True,True,,True,,,
01013,126,258.0,5.0,,,,,240.0,,235.9,31.9,68.1,,27.9,,,,132.0,-121.0,,,,,114.0,,109.9,-94.1,-57.9,,-98.1,,,,True,,,,,True,,True,True,True,,True,,,
01015,1594,3552.0,13484.0,,,,,1424.0,,1553.8,786.1,3146.1,,186.1,2569.1,,,1958.0,11890.0,,,,,-170.0,,-40.2,-807.9,1552.1,,-1407.9,975.1,,,False,,,,,True,,True,True,True,,True,True,,
01017,271,1560.0,5.0,,,,,315.0,,905.7,92.9,953.5,,30.3,,,,1289.0,-266.0,,,,,44.0,,634.7,-178.1,682.5,,-240.7,,,,True,,,,,True,,True,True,True,,True,,,
01019,233,978.0,594.0,,,,,250.0,,875.5,130.0,1242.0,,301.4,,,,745.0,361.0,,,,,17.0,,642.5,-103.0,1009.0,,68.4,,,,True,,,,,True,,True,True,False,,True,,,
01021,477,1422.0,3778.0,,,,,850.0,,847.8,224.5,1460.1,,413.3,669.5,,,945.0,3301.0,,,,,373.0,,370.8,-252.5,983.1,,-63.7,192.5,,,False,,,,,True,,True,True,False,,True,True,,
01023,56,96.0,0.0,,,,,96.0,,202.6,28.3,8.6,,54.2,,,,40.0,-56.0,,,,,40.0,,146.6,-27.7,-47.4,,-1.8,,,,False,,,,,False,,False,True,False,,True,,,
