,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,2567455.0,2918256,-350801.0,-12.0%
IowaStateLW-STEM,2332310.0,2918256,-585946.0,-20.1%
COVIDhub-baseline,2271008.0,2918256,-647248.0,-22.2%
IBF-TimeSeries,1983956.9,2918256,-934299.1,-32.0%
USACE-ERDC_SEIR,1791872.0,2918256,-1126384.0,-38.6%
JCB-PRM,1649450.9,2918256,-1268805.1,-43.5%
Covid19Sim-Simulator,1451433.9,2918256,-1466822.1,-50.3%
USC-SI_kJalpha,1402438.0,2918256,-1515818.0,-51.9%
UCLA-SuEIR,1323346.4,2918256,-1594909.6,-54.7%
RobertWalraven-ESG,900819.5,2918256,-2017436.5,-69.1%
