,predicted_cases,actual_cases,error,perc_error
OliverWyman-Navigator,1316710.0,1437149,-120439.0,-8.4%
QJHong-Encounter,1207665.9,1437149,-229483.1,-16.0%
JCB-PRM,1186714.6,1437149,-250434.4,-17.4%
LNQ-ens1,1181446.0,1437149,-255703.0,-17.8%
CU-select,1167870.0,1437149,-269279.0,-18.7%
DDS-NBDS,1157617.2,1437149,-279531.8,-19.5%
USACE-ERDC_SEIR,1131632.2,1437149,-305516.8,-21.3%
Karlen-pypm,1084262.9,1437149,-352886.1,-24.6%
UMich-RidgeTfReg,1058609.7,1437149,-378539.3,-26.3%
Columbia_UNC-SurvCon,1046656.8,1437149,-390492.2,-27.2%
USC-SI_kJalpha,1025886.0,1437149,-411263.0,-28.6%
Covid19Sim-Simulator,1017274.4,1437149,-419874.6,-29.2%
COVIDhub-baseline,1006773.0,1437149,-430376.0,-29.9%
CEID-Walk,1005828.6,1437149,-431320.4,-30.0%
COVIDhub-ensemble,998884.0,1437149,-438265.0,-30.5%
JHUAPL-Bucky,932275.3,1437149,-504873.7,-35.1%
IBF-TimeSeries,904332.0,1437149,-532817.0,-37.1%
RobertWalraven-ESG,859084.2,1437149,-578064.8,-40.2%
UCLA-SuEIR,820449.8,1437149,-616699.2,-42.9%
IowaStateLW-STEM,813849.0,1437149,-623300.0,-43.4%
JHU_IDD-CovidSP,753393.7,1437149,-683755.3,-47.6%
LANL-GrowthRate,748546.3,1437149,-688602.7,-47.9%
CovidAnalytics-DELPHI,535887.0,1437149,-901262.0,-62.7%
TTU-squider,498316.7,1437149,-938832.3,-65.3%
Google_Harvard-CPF,,1437149,,
