,predicted_cases,actual_cases,error,perc_error
OliverWyman-Navigator,969589.0,1049109,-79520.0,-7.6%
DDS-NBDS,900187.5,1049109,-148921.5,-14.2%
QJHong-Encounter,892860.2,1049109,-156248.8,-14.9%
BPagano-RtDriven,889602.0,1049109,-159507.0,-15.2%
Karlen-pypm,886692.8,1049109,-162416.2,-15.5%
LNQ-ens1,881146.0,1049109,-167963.0,-16.0%
CU-select,870134.0,1049109,-178975.0,-17.1%
RobertWalraven-ESG,860695.0,1049109,-188414.0,-18.0%
UMich-RidgeTfReg,854150.1,1049109,-194958.9,-18.6%
Columbia_UNC-SurvCon,827975.7,1049109,-221133.3,-21.1%
USC-SI_kJalpha,793804.0,1049109,-255305.0,-24.3%
IBF-TimeSeries,783658.0,1049109,-265451.0,-25.3%
CEID-Walk,778736.2,1049109,-270372.8,-25.8%
COVIDhub-ensemble,777290.0,1049109,-271819.0,-25.9%
COVIDhub-baseline,776904.0,1049109,-272205.0,-25.9%
JHUAPL-Bucky,760748.4,1049109,-288360.6,-27.5%
JCB-PRM,759983.7,1049109,-289125.3,-27.6%
MSRA-DeepST,694679.6,1049109,-354429.4,-33.8%
Covid19Sim-Simulator,656019.6,1049109,-393089.4,-37.5%
IowaStateLW-STEM,653139.0,1049109,-395970.0,-37.7%
UCLA-SuEIR,643355.3,1049109,-405753.7,-38.7%
LANL-GrowthRate,581790.1,1049109,-467318.9,-44.5%
JHU_IDD-CovidSP,551713.4,1049109,-497395.6,-47.4%
CovidAnalytics-DELPHI,375850.0,1049109,-673259.0,-64.2%
TTU-squider,354944.1,1049109,-694164.9,-66.2%
JHU_CSSE-DECOM,,1049109,,
