,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
New Jersey,25009,15903.0,15780.0,15842.0,19973.0,,16503.3,5082.0,20486.7,10157.5,,11812.0,21242.7,11655.0,32625.9,21506.6,13176.4,18831.7,17065.0,,14463.2,8926.6,14144.0,11765.0,17315.5,20872.0,-9106.0,-9229.0,-9167.0,-5036.0,,-8505.7,-19927.0,-4522.3,-14851.5,,-13197.0,-3766.3,-13354.0,7616.9,-3502.4,-11832.6,-6177.3,-7944.0,,-10545.8,-16082.4,-10865.0,-13244.0,-7693.5,-4137.0,False,False,True,,True,False,True,False,,False,True,False,True,True,False,True,True,,False,False,False,False,True,True
New Mexico,13768,7278.0,7257.0,7002.0,10306.0,,6340.5,1760.0,7491.7,3746.2,,5208.0,11920.9,7064.2,5660.1,5735.1,6431.6,8905.6,12072.0,,6240.1,3393.1,5274.5,7488.2,12324.7,9001.0,-6490.0,-6511.0,-6766.0,-3462.0,,-7427.5,-12008.0,-6276.3,-10021.8,,-8560.0,-1847.1,-6703.8,-8107.9,-8032.9,-7336.4,-4862.4,-1696.0,,-7527.9,-10374.9,-8493.5,-6279.8,-1443.3,-4767.0,False,False,True,,False,False,True,False,,False,True,False,False,False,False,True,True,,False,False,False,True,True,True
New York,34400,29349.0,28400.9,28758.0,41481.0,,27509.4,9760.0,34502.6,11731.5,,19030.0,49335.8,24310.7,47528.5,53101.1,21293.7,32504.8,32709.0,,35359.4,16231.5,24858.8,21562.2,38188.2,42435.0,-5051.0,-5999.1,-5642.0,7081.0,,-6890.6,-24640.0,102.6,-22668.5,,-15370.0,14935.8,-10089.3,13128.5,18701.1,-13106.3,-1895.2,-1691.0,,959.4,-18168.5,-9541.2,-12837.8,3788.2,8035.0,False,False,False,,False,False,True,False,,False,False,False,False,False,False,True,True,,True,False,False,False,True,False
North Carolina,44883,38598.0,37413.8,37038.0,56864.0,,29023.9,21402.0,36626.4,21280.4,,33003.0,54033.1,37069.6,21512.8,40053.0,31081.0,46261.7,60779.0,,37331.3,14392.2,39355.3,35056.1,53378.9,48948.0,-6285.0,-7469.2,-7845.0,11981.0,,-15859.1,-23481.0,-8256.6,-23602.6,,-11880.0,9150.1,-7813.4,-23370.2,-4830.0,-13802.0,1378.7,15896.0,,-7551.7,-30490.8,-5527.7,-9826.9,8495.9,4065.0,False,False,False,,False,False,False,False,,False,False,False,False,True,False,True,False,,False,False,True,False,False,True
North Dakota,17289,10479.0,10661.7,10584.0,9094.0,,8656.7,8195.0,12716.1,12170.9,,8231.0,12776.3,11328.1,3769.6,13841.6,10686.7,12301.1,13142.0,,8196.6,7371.8,11740.6,13302.9,12581.9,11738.0,-6810.0,-6627.3,-6705.0,-8195.0,,-8632.3,-9094.0,-4572.9,-5118.1,,-9058.0,-4512.7,-5960.9,-13519.4,-3447.4,-6602.3,-4987.9,-4147.0,,-9092.4,-9917.2,-5548.4,-3986.1,-4707.1,-5551.0,True,True,False,,False,False,True,True,,False,True,True,False,True,True,True,True,,False,False,True,True,True,True
Ohio,48239,28476.0,28039.0,27908.0,37971.0,,23960.0,17959.0,30248.2,19982.1,,24907.0,30989.6,28358.7,39106.7,38035.6,22627.6,36602.4,41961.0,,23033.8,8908.6,20045.4,28683.0,38684.1,29680.0,-19763.0,-20200.0,-20331.0,-10268.0,,-24279.0,-30280.0,-17990.8,-28256.9,,-23332.0,-17249.4,-19880.3,-9132.3,-10203.4,-25611.4,-11636.6,-6278.0,,-25205.2,-39330.4,-28193.6,-19556.0,-9554.9,-18559.0,False,False,True,,False,False,True,False,,False,True,False,True,True,False,True,True,,False,False,False,True,True,True
Oklahoma,24141,23619.0,23110.4,23167.0,27546.0,,23035.0,17993.0,29201.9,27367.9,,22291.0,28956.2,21344.0,13531.6,27464.8,17129.9,25731.0,31875.0,,21849.5,15814.5,14625.7,25083.9,26262.8,22528.0,-522.0,-1030.6,-974.0,3405.0,,-1106.0,-6148.0,5060.9,3226.9,,-1850.0,4815.2,-2797.0,-10609.4,3323.8,-7011.1,1590.0,7734.0,,-2291.5,-8326.5,-9515.3,942.9,2121.8,-1613.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Oregon,7997,7239.0,7199.4,7096.0,8850.0,,6568.4,3778.0,7649.1,5896.9,,4812.0,9260.5,7719.9,8266.5,6469.0,6121.4,8338.9,11053.0,,5988.4,3237.3,5006.6,7227.0,10467.8,8516.0,-758.0,-797.6,-901.0,853.0,,-1428.6,-4219.0,-347.9,-2100.1,,-3185.0,1263.5,-277.1,269.5,-1528.0,-1875.6,341.9,3056.0,,-2008.6,-4759.7,-2990.4,-770.0,2470.8,519.0,False,False,False,,False,False,True,False,,False,False,True,True,False,False,True,False,,False,False,False,False,False,True
Pennsylvania,36994,28677.0,28622.2,28058.0,47541.0,,21660.6,7410.0,28906.6,17329.9,,19199.0,30519.2,23378.0,36459.3,41978.5,19173.0,28969.8,36592.0,,25350.0,19957.4,32987.4,22147.7,32658.6,26770.0,-8317.0,-8371.8,-8936.0,10547.0,,-15333.4,-29584.0,-8087.4,-19664.1,,-17795.0,-6474.8,-13616.0,-534.7,4984.5,-17821.0,-8024.2,-402.0,,-11644.0,-17036.6,-4006.6,-14846.3,-4335.4,-10224.0,False,False,False,,False,False,True,False,,False,True,False,True,True,False,True,True,,False,False,True,False,True,False
Rhode Island,6580,3654.0,3680.0,2435.0,3793.0,,2579.2,874.0,5042.0,1470.5,,3097.0,3142.4,3372.3,3015.9,2793.2,1885.7,3572.4,3692.0,,167.0,2761.3,2784.8,2673.1,2019.4,4746.0,-2926.0,-2900.0,-4145.0,-2787.0,,-4000.8,-5706.0,-1538.0,-5109.5,,-3483.0,-3437.6,-3207.7,-3564.1,-3786.8,-4694.3,-3007.6,-2888.0,,-6413.0,-3818.7,-3795.2,-3906.9,-4560.6,-1834.0,True,False,True,,False,False,True,False,,False,False,False,False,False,False,False,True,,False,False,False,False,False,True
South Carolina,19991,17190.0,18178.1,16176.0,19241.0,,18067.7,9229.0,23385.9,10164.4,,16749.0,24406.1,16367.3,6675.1,22354.9,13536.9,16441.8,19536.0,,11698.7,15995.4,11303.8,17323.8,14928.6,14974.0,-2801.0,-1812.9,-3815.0,-750.0,,-1923.3,-10762.0,3394.9,-9826.6,,-3242.0,4415.1,-3623.7,-13315.9,2363.9,-6454.1,-3549.2,-455.0,,-8292.3,-3995.6,-8687.2,-2667.2,-5062.4,-5017.0,True,False,True,,True,False,False,False,,False,False,False,False,True,False,False,True,,False,False,False,True,False,False
South Dakota,18045,11883.0,12023.8,11453.0,11916.0,,9443.0,8281.0,13426.5,10530.3,,9872.0,16767.4,13596.0,4105.1,12616.8,12504.5,12767.3,16849.0,,9113.2,10388.9,7455.6,16554.8,14646.6,10131.0,-6162.0,-6021.2,-6592.0,-6129.0,,-8602.0,-9764.0,-4618.5,-7514.7,,-8173.0,-1277.6,-4449.0,-13939.9,-5428.2,-5540.5,-5277.7,-1196.0,,-8931.8,-7656.1,-10589.4,-1490.2,-3398.4,-7914.0,True,False,True,,False,False,True,False,,False,True,True,False,True,True,True,True,,False,False,False,True,True,False
Tennessee,48023,39162.0,40007.5,31057.0,54201.0,,30562.3,18744.0,37864.6,17611.4,,27030.0,31029.4,36871.7,15252.6,18318.5,30814.5,41185.8,50222.0,,25865.9,9281.3,28476.2,35044.5,41999.0,37527.0,-8861.0,-8015.5,-16966.0,6178.0,,-17460.7,-29279.0,-10158.4,-30411.6,,-20993.0,-16993.6,-11151.3,-32770.4,-29704.5,-17208.5,-6837.2,2199.0,,-22157.1,-38741.7,-19546.8,-12978.5,-6024.0,-10496.0,True,False,True,,False,False,False,False,,False,False,False,False,False,False,True,True,,False,False,False,False,True,False
Texas,118721,85470.0,72832.7,73988.0,96376.0,,104842.5,40148.0,99285.5,59197.1,,101466.0,107577.3,82292.6,65371.1,109640.9,49881.7,73359.3,104348.0,,69357.0,60638.5,60983.6,93592.2,65033.1,78928.0,-33251.0,-45888.3,-44733.0,-22345.0,,-13878.5,-78573.0,-19435.5,-59523.9,,-17255.0,-11143.7,-36428.4,-53349.9,-9080.1,-68839.3,-45361.7,-14373.0,,-49364.0,-58082.5,-57737.4,-25128.8,-53687.9,-39793.0,False,False,True,,True,False,True,False,,True,True,False,False,True,False,False,True,,False,False,False,True,False,False
Utah,30012,25257.0,24307.3,22252.0,26219.0,,26899.4,8137.0,37082.1,15159.8,,18546.0,30836.6,17370.8,14218.7,30361.1,21795.8,24654.9,36876.0,,15798.3,10347.1,15755.6,23495.8,23554.9,23385.0,-4755.0,-5704.7,-7760.0,-3793.0,,-3112.6,-21875.0,7070.1,-14852.2,,-11466.0,824.6,-12641.2,-15793.3,349.1,-8216.2,-5357.1,6864.0,,-14213.7,-19664.9,-14256.4,-6516.2,-6457.1,-6627.0,False,False,True,,True,False,False,False,,False,True,False,False,True,False,False,False,,False,False,False,False,False,False
Vermont,322,237.0,235.1,186.0,250.0,,223.2,52.0,185.3,135.0,,122.0,200.9,406.6,333.9,90.4,142.7,242.2,428.0,,45.7,113.4,202.1,129.7,316.8,410.0,-85.0,-86.9,-136.0,-72.0,,-98.8,-270.0,-136.7,-187.0,,-200.0,-121.1,84.6,11.9,-231.6,-179.3,-79.8,106.0,,-276.3,-208.6,-119.9,-192.3,-5.2,88.0,False,False,True,,False,False,False,False,,False,False,True,True,False,False,True,False,,False,False,False,False,True,False
Virginia,23285,21078.0,20756.7,18632.0,31336.0,,16315.1,8508.0,19003.6,14197.4,,14817.0,17264.8,20320.4,15849.7,17133.1,16099.7,21408.7,28066.0,,19739.2,18030.1,19141.9,19754.5,30545.9,26856.0,-2207.0,-2528.3,-4653.0,8051.0,,-6969.9,-14777.0,-4281.4,-9087.6,,-8468.0,-6020.2,-2964.6,-7435.3,-6151.9,-7185.3,-1876.3,4781.0,,-3545.8,-5254.9,-4143.1,-3530.5,7260.9,3571.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,,False,False,False,False,False,False
Washington,14466,10848.0,10943.2,9623.0,10929.0,,9624.4,14024.0,9388.7,7885.0,,7476.0,15508.9,10469.8,11142.4,8634.0,5639.3,9998.1,16114.0,,16770.6,5585.5,7474.6,11240.3,6231.2,10975.0,-3618.0,-3522.8,-4843.0,-3537.0,,-4841.6,-442.0,-5077.3,-6581.0,,-6990.0,1042.9,-3996.2,-3323.6,-5832.0,-8826.7,-4467.9,1648.0,,2304.6,-8880.5,-6991.4,-3225.7,-8234.8,-3491.0,True,False,True,,False,True,False,False,,False,True,False,True,False,False,False,True,,True,False,False,True,False,True
West Virginia,6533,4338.0,4367.6,4399.0,4953.0,,3688.9,4402.0,5791.7,6351.8,,2831.0,3892.4,5460.4,3906.9,4658.0,4021.9,4794.9,6054.0,,2586.6,5930.4,2761.6,4758.9,6189.7,4483.0,-2195.0,-2165.4,-2134.0,-1580.0,,-2844.1,-2131.0,-741.3,-181.2,,-3702.0,-2640.6,-1072.6,-2626.1,-1875.0,-2511.1,-1738.1,-479.0,,-3946.4,-602.6,-3771.4,-1774.1,-343.3,-2050.0,True,True,True,,False,True,True,True,,False,False,True,False,True,False,True,True,,False,True,False,True,True,True
Wisconsin,90309,50286.0,51658.7,50455.0,53140.0,,53351.3,26164.0,74451.1,49149.6,,45601.0,69664.8,49761.1,24873.4,61586.6,48176.3,55265.4,69993.0,,51290.6,31290.2,34372.2,46291.5,52566.1,46294.0,-40023.0,-38650.3,-39854.0,-37169.0,,-36957.7,-64145.0,-15857.9,-41159.4,,-44708.0,-20644.2,-40547.9,-65435.6,-28722.4,-42132.7,-35043.6,-20316.0,,-39018.4,-59018.8,-55936.8,-44017.5,-37742.9,-44015.0,True,True,True,,True,False,True,False,,False,True,False,False,True,False,True,True,,True,False,False,False,True,False
Wyoming,5843,3270.0,3264.4,3282.0,3233.0,,3177.1,1934.0,4927.2,3212.2,,2905.0,3623.6,4112.6,1161.5,2949.8,2978.1,3483.8,5113.0,,2716.1,2299.3,2105.6,4995.6,4163.1,3898.0,-2573.0,-2578.6,-2561.0,-2610.0,,-2665.9,-3909.0,-915.8,-2630.8,,-2938.0,-2219.4,-1730.4,-4681.5,-2893.2,-2864.9,-2359.2,-730.0,,-3126.9,-3543.7,-3737.4,-847.4,-1679.9,-1945.0,False,True,False,,False,False,True,False,,False,True,True,False,False,False,True,True,,False,False,False,True,True,True
US,1428693,1006773.0,1005828.6,998884.0,1167870.0,1046656.8,1017274.4,535887.0,1157617.2,,904332.0,813849.0,1186714.6,932275.3,753393.7,1084262.9,748546.3,1181446.0,1316710.0,1207665.9,859084.2,498316.7,820449.8,1058609.7,1131632.2,1025886.0,-421920.0,-422864.4,-429809.0,-260823.0,-382036.2,-411418.6,-892806.0,-271075.8,,-524361.0,-614844.0,-241978.4,-496417.7,-675299.3,-344430.1,-680146.7,-247247.0,-111983.0,-221027.1,-569608.8,-930376.3,-608243.2,-370083.3,-297060.8,-402807.0,False,False,True,True,True,False,True,,False,False,True,False,False,True,False,True,True,True,False,False,False,True,True,True
