,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,30521,24300.0,24059.0,19395.0,33289.0,,23539.4,14408.0,24954.2,11098.6,,16908.0,24255.5,22167.1,16465.1,19039.4,19895.8,26601.3,29553.0,,17721.3,1923.2,18565.6,26953.9,16070.5,23901.0,-6221.0,-6462.0,-11126.0,2768.0,,-6981.6,-16113.0,-5566.8,-19422.4,,-13613.0,-6265.5,-8353.9,-14055.9,-11481.6,-10625.2,-3919.7,-968.0,,-12799.7,-28597.8,-11955.4,-3567.1,-14450.5,-6620.0,False,False,True,,False,False,True,False,,False,False,False,False,False,False,True,True,,False,False,False,True,False,False
Hawaii,1719,1911.0,1911.9,1904.0,2401.0,,1993.8,844.0,1366.5,3674.8,,,2539.3,2020.3,3152.8,1836.5,1698.4,2118.8,1793.0,,814.0,963.5,1206.7,1790.2,2046.9,892.0,192.0,192.9,185.0,682.0,,274.8,-875.0,-352.5,1955.8,,,820.3,301.3,1433.8,117.5,-20.6,399.8,74.0,,-905.0,-755.5,-512.3,71.2,327.9,-827.0,False,True,False,,False,False,False,False,,,False,False,False,True,True,False,True,,False,False,False,True,False,False
Idaho,16907,11997.0,11956.6,9829.0,13269.0,,11035.0,4277.0,19476.6,7345.2,,8274.0,16862.6,12517.5,5090.4,9417.7,8489.7,12588.5,18816.0,,7841.1,2884.8,7310.2,11446.0,11163.3,10089.0,-4910.0,-4950.4,-7078.0,-3638.0,,-5872.0,-12630.0,2569.6,-9561.8,,-8633.0,-44.4,-4389.5,-11816.6,-7489.3,-8417.3,-4318.5,1909.0,,-9065.9,-14022.2,-9596.8,-5461.0,-5743.7,-6818.0,False,False,True,,False,False,True,False,,False,True,True,False,False,False,True,True,,False,False,False,False,False,False
Illinois,97096,50007.0,50770.9,44583.0,60366.0,,43936.8,14912.0,49414.5,41728.4,,38681.0,61094.0,42353.6,31656.6,36783.5,45940.4,59786.5,66565.0,,50170.1,52693.7,45151.1,44519.1,75529.0,49903.0,-47089.0,-46325.1,-52513.0,-36730.0,,-53159.2,-82184.0,-47681.5,-55367.6,,-58415.0,-36002.0,-54742.4,-65439.4,-60312.5,-51155.6,-37309.5,-30531.0,,-46925.9,-44402.3,-51944.9,-52576.9,-21567.0,-47193.0,True,False,True,,False,False,False,False,,False,True,False,False,False,False,True,True,,True,True,False,False,True,False
Indiana,45947,28056.0,27695.5,26605.0,36778.0,,23509.6,15196.0,27923.5,20984.1,,20280.0,32993.1,24276.0,24399.7,30536.9,27861.9,35966.4,41749.0,,32360.7,28360.8,19862.4,35292.4,51253.8,35761.0,-17891.0,-18251.5,-19342.0,-9169.0,,-22437.4,-30751.0,-18023.5,-24962.9,,-25667.0,-12953.9,-21671.0,-21547.3,-15410.1,-18085.1,-9980.6,-4198.0,,-13586.3,-17586.2,-26084.6,-10654.6,5306.8,-10186.0,False,False,True,,False,False,False,False,,False,True,False,False,True,False,True,True,,True,True,False,True,True,True
Iowa,29468,20223.0,20118.0,19974.0,20773.0,,20014.4,14385.0,24609.3,19868.9,,15768.0,23397.6,19384.2,8834.7,24216.2,17899.3,22363.7,25295.0,,14032.0,5733.1,13636.0,20227.5,22809.1,21540.0,-9245.0,-9350.0,-9494.0,-8695.0,,-9453.6,-15083.0,-4858.7,-9599.1,,-13700.0,-6070.4,-10083.8,-20633.3,-5251.8,-11568.7,-7104.3,-4173.0,,-15436.0,-23734.9,-15832.0,-9240.5,-6658.9,-7928.0,False,False,True,,False,False,True,False,,False,True,False,False,True,False,True,True,,False,False,False,True,True,True
Kansas,19584,12942.0,13134.9,12680.0,12812.0,,12782.4,13177.0,15115.9,8678.2,,12492.0,9522.5,16367.9,8043.3,13369.2,8096.3,12636.7,15192.0,,10282.6,12130.0,11627.4,13522.5,10062.5,11575.0,-6642.0,-6449.1,-6904.0,-6772.0,,-6801.6,-6407.0,-4468.1,-10905.8,,-7092.0,-10061.5,-3216.1,-11540.7,-6214.8,-11487.7,-6947.3,-4392.0,,-9301.4,-7454.0,-7956.6,-6061.5,-9521.5,-8009.0,True,False,False,,False,True,True,False,,False,False,True,False,True,False,False,True,,False,False,False,True,False,False
Kentucky,27774,22332.0,21800.2,21047.0,19078.0,,20402.1,15513.0,35557.0,19158.7,,18724.0,24319.5,24989.5,13109.0,28486.5,16704.4,22632.9,32602.0,,16912.0,16801.7,21372.4,22599.6,24299.5,28071.0,-5442.0,-5973.8,-6727.0,-8696.0,,-7371.9,-12261.0,7783.0,-8615.3,,-9050.0,-3454.5,-2784.5,-14665.0,712.5,-11069.6,-5141.1,4828.0,,-10862.0,-10972.3,-6401.6,-5174.4,-3474.5,297.0,False,False,False,,False,False,False,False,,False,True,True,False,True,False,True,True,,False,False,False,True,True,True
Louisiana,13243,10431.0,10395.2,9730.0,12127.0,,10341.8,4508.0,26573.3,2682.0,,10796.0,5291.7,10084.3,9554.1,8000.6,9814.2,11302.8,9839.0,,2438.2,62.5,6804.2,15130.9,8549.9,7363.0,-2812.0,-2847.8,-3513.0,-1116.0,,-2901.2,-8735.0,13330.3,-10561.0,,-2447.0,-7951.3,-3158.7,-3688.9,-5242.4,-3428.8,-1940.2,-3404.0,,-10804.8,-13180.5,-6438.8,1887.9,-4693.1,-5880.0,False,False,True,,False,False,False,False,,True,False,False,False,False,False,True,False,,False,False,False,True,False,False
Maine,967,633.0,620.3,636.0,848.0,,636.8,410.0,830.9,711.8,,751.0,601.1,630.3,1193.2,829.5,458.4,667.0,786.0,,350.2,465.2,560.2,605.5,566.1,607.0,-334.0,-346.7,-331.0,-119.0,,-330.2,-557.0,-136.1,-255.2,,-216.0,-365.9,-336.7,226.2,-137.5,-508.6,-300.0,-181.0,,-616.8,-501.8,-406.8,-361.5,-400.9,-360.0,False,True,True,,True,False,True,True,,True,False,False,True,True,False,True,True,,False,False,False,False,False,False
