,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,261,240.0,295.8,,198.0,170.0,,,,,442.7,,132.0,,184.6,64.1,,170.8,197.2,,208.0,,,,213.9,,,,197.0,261.0,,-21.0,34.8,,-63.0,-91.0,,,,,181.7,,-129.0,,-76.4,-196.9,,-90.2,-63.8,,-53.0,,,,-47.1,,,,-64.0,0.0,,False,,False,False,,,,,False,,False,,False,False,,False,False,,False,,,,False,,,,False,True,
01003,750,426.0,429.3,,434.0,573.0,,,,,1652.0,,577.0,,362.9,603.5,,208.3,430.4,,,,,,338.2,578.0,,,0.0,1226.9,,-324.0,-320.7,,-316.0,-177.0,,,,,902.0,,-173.0,,-387.1,-146.5,,-541.7,-319.6,,,,,,-411.8,-172.0,,,-750.0,476.9,,True,,True,True,,,,,False,,True,,False,True,,False,True,,,,,,False,True,,,False,False,
01005,119,63.0,14.2,,57.0,55.0,,,,,189.7,,56.0,,74.0,38.2,,19.6,45.5,,70.0,,,,,,,,73.0,131.6,,-56.0,-104.8,,-62.0,-64.0,,,,,70.7,,-63.0,,-45.0,-80.8,,-99.4,-73.5,,-49.0,,,,,,,,-46.0,12.6,,False,,False,False,,,,,False,,False,,True,False,,False,False,,True,,,,,,,,True,True,
01007,147,144.0,135.9,,119.0,72.0,,,,,200.9,,59.0,,118.9,36.4,,107.0,124.3,,221.0,,,,,,,,191.0,314.9,,-3.0,-11.1,,-28.0,-75.0,,,,,53.9,,-88.0,,-28.1,-110.6,,-40.0,-22.7,,74.0,,,,,,,,44.0,167.9,,False,,False,False,,,,,False,,False,,False,False,,False,False,,False,,,,,,,,False,False,
01009,370,147.0,104.8,,129.0,78.0,,,,,358.1,,202.0,,112.8,80.3,,115.2,154.3,,108.0,,,,133.9,,,,76.0,378.0,1195.9,-223.0,-265.2,,-241.0,-292.0,,,,,-11.9,,-168.0,,-257.2,-289.7,,-254.8,-215.7,,-262.0,,,,-236.1,,,,-294.0,8.0,825.9,False,,False,False,,,,,True,,True,,False,False,,False,True,,False,,,,False,,,,False,True,False
01011,30,30.0,23.1,,24.0,0.0,,,,,132.5,,23.0,,25.1,11.9,,8.1,28.9,,15.0,,,,,,,,0.0,46.2,,0.0,-6.9,,-6.0,-30.0,,,,,102.5,,-7.0,,-4.9,-18.1,,-21.9,-1.1,,-15.0,,,,,,,,-30.0,16.2,,False,,False,False,,,,,False,,False,,False,False,,False,False,,False,,,,,,,,False,False,
01013,71,84.0,93.7,,60.0,0.0,,,,,202.2,,46.0,,54.8,15.9,,49.3,84.3,,107.0,,,,,,,,94.0,125.1,,13.0,22.7,,-11.0,-71.0,,,,,131.2,,-25.0,,-16.2,-55.1,,-21.7,13.3,,36.0,,,,,,,,23.0,54.1,,False,,True,False,,,,,False,,False,,False,False,,False,False,,False,,,,,,,,False,False,
01015,1038,489.0,298.7,,417.0,478.0,,,,,871.7,,389.0,,427.7,322.5,,287.3,392.4,,375.0,,,,477.5,,,,14.0,1090.7,,-549.0,-739.3,,-621.0,-560.0,,,,,-166.3,,-649.0,,-610.3,-715.5,,-750.7,-645.6,,-663.0,,,,-560.5,,,,-1024.0,52.7,,False,,False,False,,,,,True,,False,,False,False,,False,False,,False,,,,False,,,,False,True,
01017,147,114.0,166.4,,86.0,215.0,,,,,487.5,,67.0,,114.0,53.4,,53.9,77.9,,47.0,,,,68.2,,,,180.0,117.2,,-33.0,19.4,,-61.0,68.0,,,,,340.5,,-80.0,,-33.0,-93.6,,-93.1,-69.1,,-100.0,,,,-78.8,,,,33.0,-29.8,,True,,False,False,,,,,False,,False,,True,False,,False,False,,False,,,,False,,,,False,True,
01019,117,81.0,41.8,,82.0,86.0,,,,,182.6,,86.0,,80.1,46.7,,50.2,79.2,,58.0,,,,,,,,69.0,277.4,,-36.0,-75.2,,-35.0,-31.0,,,,,65.6,,-31.0,,-36.9,-70.3,,-66.8,-37.8,,-59.0,,,,,,,,-48.0,160.4,,False,,True,True,,,,,False,,True,,False,False,,False,False,,False,,,,,,,,False,False,
